Órgão;Unidade;Categoria Econômica;Grupo de despesa;Elemento;Subelemento;Dotação Inicial;Dotação Atualizada;Empenhado (P);Liquidado;Pago (P);P/E
;;;;;"SEM APLICACAO";3.955.000,00;1.413.070,00;1.413.060,68;1.413.060,68;1.314.244,19;93,01
;;;;"Outras Despesas Variaveis   Pessoal Civil";;1.265.000,00;1.870.400,00;1.802.862,51;1.802.862,51;1.612.352,59;89,43
;;;;;"SEM APLICACAO";1.265.000,00;1.870.400,00;1.802.862,51;1.802.862,51;1.612.352,59;89,43
;;;;"Vencimentos e Vantagens Fixas   Pessoal Civil";;30.653.000,00;46.351.120,00;45.839.712,25;45.839.712,25;42.190.234,45;92,04
;;;;;"SEM APLICACAO";30.653.000,00;46.351.120,00;45.839.712,25;45.839.712,25;42.190.234,45;92,04
;;"DESPESAS DE CAPITAL";;;;4.422.700,00;4.271.020,00;4.232.938,71;3.593.422,86;3.085.228,74;72,89
;;;"INVESTIMENTOS";;;4.422.700,00;4.271.020,00;4.232.938,71;3.593.422,86;3.085.228,74;72,89
;;;;"Despesas de Exercicios Anteriores";;0,00;51.740,00;51.737,68;51.737,68;51.737,68;100,00
;;;;;"SEM APLICACAO";0,00;51.740,00;51.737,68;51.737,68;51.737,68;100,00
;;;;"Equipamentos e Material Permanente";;232.000,00;2.815.070,00;2.777.020,84;2.137.504,99;1.629.310,87;58,67
;;;;;"SEM APLICACAO";232.000,00;2.815.070,00;2.777.020,84;2.137.504,99;1.629.310,87;58,67
;;;;"Obras e Instalacoes";;4.190.700,00;1.404.210,00;1.404.180,19;1.404.180,19;1.404.180,19;100,00
;;;;;"SEM APLICACAO";4.190.700,00;1.404.210,00;1.404.180,19;1.404.180,19;1.404.180,19;100,00
;"SECRETARIA MUNICIPAL DE SAUDE   ADMINISTRACAO DIRETA";;;;;3.000,00;2.047.100,00;46.349,70;46.349,70;46.349,70;100,00
;;"DESPESAS CORRENTES";;;;3.000,00;2.047.100,00;46.349,70;46.349,70;46.349,70;100,00
;;;"OUTRAS DESPESAS CORRENTES";;;2.000,00;2.047.100,00;46.349,70;46.349,70;46.349,70;100,00
;;;;"Indenizacoes e Restituicoes";;1.000,00;47.000,00;46.349,70;46.349,70;46.349,70;100,00
;;;;;"SEM APLICACAO";1.000,00;47.000,00;46.349,70;46.349,70;46.349,70;100,00
;;;;"Material de Consumo";;1.000,00;702.300,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";1.000,00;0,00;0,00;0,00;0,00;0,00
;;;"PESSOAL E ENCARGOS SOCIAIS";;;1.000,00;0,00;0,00;0,00;0,00;0,00
;;;;"Vencimentos e Vantagens Fixas   Pessoal Civil";;1.000,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";1.000,00;0,00;0,00;0,00;0,00;0,00
"Instituto de Previdencia Social do Municipio de Paulista   Plano Financeiro";;;;;;74.014.000,00;77.621.540,00;77.439.236,88;77.430.862,68;71.297.268,38;92,07
;"INSTITUTO DE PREVIDENCIA SOCIAL DO MUNICIPIO DO PAULISTA   PLANO FINANCEIRO";;;;;74.014.000,00;77.621.540,00;77.439.236,88;77.430.862,68;71.297.268,38;92,07
;;"DESPESAS CORRENTES";;;;73.974.000,00;77.614.710,00;77.432.407,88;77.424.033,68;71.290.439,38;92,07
;;;"OUTRAS DESPESAS CORRENTES";;;1.893.800,00;1.326.210,00;1.326.102,05;1.317.727,85;1.255.826,33;94,70
;;;;"Despesas de Exercicios Anteriores";;2.000,00;1.220,00;1.215,78;1.215,78;1.215,78;100,00
;;;;;"SEM APLICACAO";2.000,00;1.220,00;1.215,78;1.215,78;1.215,78;100,00
;;;;"Diarias   Civil";;18.000,00;19.900,00;19.895,00;19.895,00;19.895,00;100,00
;;;;;"SEM APLICACAO";18.000,00;19.900,00;19.895,00;19.895,00;19.895,00;100,00
;;;;"Indenizacoes e Restituicoes";;3.000,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";3.000,00;0,00;0,00;0,00;0,00;0,00
;;;;"Material de Consumo";;36.000,00;32.170,00;32.168,97;32.168,97;31.948,47;99,31
;;;;;"SEM APLICACAO";36.000,00;32.170,00;32.168,97;32.168,97;31.948,47;99,31
;;;;"Obrigacoes Tributarias e Contributivas";;7.600,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";7.600,00;0,00;0,00;0,00;0,00;0,00
;;;;"Outros Servicos de Terceiros   Pessoa Fisica";;75.000,00;4.790,00;4.783,60;4.783,60;4.783,60;100,00
;;;;;"SEM APLICACAO";75.000,00;4.790,00;4.783,60;4.783,60;4.783,60;100,00
;;;;"Outros Servicos de Terceiros   Pessoa Juridica";;1.105.000,00;1.002.570,00;1.002.489,39;994.115,19;936.734,17;93,44
;;;;;"SEM APLICACAO";1.105.000,00;1.002.570,00;1.002.489,39;994.115,19;936.734,17;93,44
;;;;"Passagens e Despesas com Locomocao";;33.000,00;51.730,00;51.727,45;51.727,45;51.727,45;100,00
;;;;;"SEM APLICACAO";33.000,00;51.730,00;51.727,45;51.727,45;51.727,45;100,00
;;;;"Servicos de Consultoria";;614.200,00;213.830,00;213.821,86;213.821,86;209.521,86;97,99
;;;;;"SEM APLICACAO";614.200,00;213.830,00;213.821,86;213.821,86;209.521,86;97,99
;;;"PESSOAL E ENCARGOS SOCIAIS";;;72.080.200,00;76.288.500,00;76.106.305,83;76.106.305,83;70.034.613,05;92,02
;;;;"Aposentadorias  Reserva Remunerada e Reformas";;61.986.500,00;65.525.130,00;65.361.379,50;65.361.379,50;60.010.571,57;91,81
;;;;;"SEM APLICACAO";61.986.500,00;65.525.130,00;65.361.379,50;65.361.379,50;60.010.571,57;91,81
;;;;"Indenizacoes e Restituicoes Trabalhistas";;10.000,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";10.000,00;0,00;0,00;0,00;0,00;0,00
;;;;"Obrigacoes Patronais";;103.000,00;116.870,00;116.862,64;116.862,64;107.591,56;92,07
;;;;;"SEM APLICACAO";103.000,00;116.870,00;116.862,64;116.862,64;107.591,56;92,07
;;;;"Outras Despesas Variaveis   Pessoal Civil";;12.500,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";12.500,00;0,00;0,00;0,00;0,00;0,00
;;;;"Outros Benefic.Previd.Servidor ou Milita";;10.300,00;7.630,00;7.620,44;7.620,44;7.620,44;100,00
;;;;;"SEM APLICACAO";10.300,00;7.630,00;7.620,44;7.620,44;7.620,44;100,00
;;;;"Pensoes";;8.857.900,00;8.967.340,00;8.949.701,16;8.949.701,16;8.238.087,39;92,05
;;;;;"SEM APLICACAO";8.857.900,00;8.967.340,00;8.949.701,16;8.949.701,16;8.238.087,39;92,05
;;;;"Sentencas Judiciais";;0,00;434.620,00;434.601,75;434.601,75;434.601,75;100,00
;;;;;"SEM APLICACAO";0,00;434.620,00;434.601,75;434.601,75;434.601,75;100,00
;;;;"Vencimentos e Vantagens Fixas   Pessoal Civil";;1.100.000,00;1.236.910,00;1.236.140,34;1.236.140,34;1.236.140,34;100,00
;;;;;"SEM APLICACAO";1.100.000,00;1.236.910,00;1.236.140,34;1.236.140,34;1.236.140,34;100,00
;;"DESPESAS DE CAPITAL";;;;40.000,00;6.830,00;6.829,00;6.829,00;6.829,00;100,00
;;;"INVESTIMENTOS";;;40.000,00;6.830,00;6.829,00;6.829,00;6.829,00;100,00
;;;;"Aquisicao de Imoveis";;10.000,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";10.000,00;0,00;0,00;0,00;0,00;0,00
;;;;"Equipamentos e Material Permanente";;20.000,00;6.830,00;6.829,00;6.829,00;6.829,00;100,00
;;;;;"SEM APLICACAO";20.000,00;6.830,00;6.829,00;6.829,00;6.829,00;100,00
;;;;"Obras e Instalacoes";;10.000,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";10.000,00;0,00;0,00;0,00;0,00;0,00
"Instituto de Previdencia Social do Municipio de Paulista   Plano Previdenciario";;;;;;2.667.000,00;0,00;0,00;0,00;0,00;0,00
;"INSTITUTO DE PREVIDENCIA SOCIAL DO MUNICIPIO DO PAULISTA   PLANO PREVIDENCIARIO";;;;;2.667.000,00;0,00;0,00;0,00;0,00;0,00
;;"Reserva de Contingencia";;;;2.667.000,00;0,00;0,00;0,00;0,00;0,00
;;;"Reserva de Contingencia";;;2.667.000,00;0,00;0,00;0,00;0,00;0,00
;;;;"Reserva do RPPS";;2.667.000,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";2.667.000,00;0,00;0,00;0,00;0,00;0,00
"Prefeitura da Cidade do Paulista";;;;;;341.971.200,00;360.435.031,57;316.523.312,51;306.869.862,10;280.334.755,15;88,57
;"ENCARGOS SOB A SUPERVISAO DA SECRETARIA DE FINANCAS";;;;;7.650.000,00;7.743.200,00;7.743.144,42;7.743.144,42;7.743.144,42;100,00
;;"DESPESAS CORRENTES";;;;6.990.000,00;7.204.140,00;7.204.093,24;7.204.093,24;7.204.093,24;100,00
;;;"JUROS E ENCARGOS DA DIVIDA";;;715.000,00;439.870,00;439.866,33;439.866,33;439.866,33;100,00
;;;;"Encargos sobre Operacoes de Credito por Antecipacao da Receita";;700.000,00;439.870,00;439.866,33;439.866,33;439.866,33;100,00
;;;;;"SEM APLICACAO";700.000,00;439.870,00;439.866,33;439.866,33;439.866,33;100,00
;;;;"Juros sobre a Divida por Contrato";;10.000,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";10.000,00;0,00;0,00;0,00;0,00;0,00
;;;;"Outros Encargos sobre a Divida por Contrato";;5.000,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";5.000,00;0,00;0,00;0,00;0,00;0,00
;;;"OUTRAS DESPESAS CORRENTES";;;6.275.000,00;6.764.270,00;6.764.226,91;6.764.226,91;6.764.226,91;100,00
;;;;"Despesas de Exercicios Anteriores";;1.990.000,00;2.250.070,00;2.250.063,90;2.250.063,90;2.250.063,90;100,00
;;;;;"SEM APLICACAO";1.990.000,00;2.250.070,00;2.250.063,90;2.250.063,90;2.250.063,90;100,00
;;;;"Obrigacoes Tributarias e Contributivas";;4.285.000,00;4.514.200,00;4.514.163,01;4.514.163,01;4.514.163,01;100,00
;;;;;"SEM APLICACAO";4.285.000,00;4.514.200,00;4.514.163,01;4.514.163,01;4.514.163,01;100,00
;;"DESPESAS DE CAPITAL";;;;660.000,00;539.060,00;539.051,18;539.051,18;539.051,18;100,00
;;;"AMORTIZACAO DA DIVIDA";;;660.000,00;539.060,00;539.051,18;539.051,18;539.051,18;100,00
;;;;"Principal Corrigido da Divida Contratual Refinanciado";;510.000,00;224.480,00;224.472,80;224.472,80;224.472,80;100,00
;;;;;"SEM APLICACAO";510.000,00;224.480,00;224.472,80;224.472,80;224.472,80;100,00
;;;;"Principal da Divida Contratual Resgatado";;150.000,00;314.580,00;314.578,38;314.578,38;314.578,38;100,00
;;;;;"SEM APLICACAO";150.000,00;314.580,00;314.578,38;314.578,38;314.578,38;100,00
;"ENCARGOS SOB SUPERVISAO DA SECRETARIA DE ADMINISTRACAO";;;;;21.188.300,00;23.297.090,00;23.283.529,99;23.227.786,45;20.525.866,80;88,16
;;"DESPESAS CORRENTES";;;;21.187.300,00;23.297.090,00;23.283.529,99;23.227.786,45;20.525.866,80;88,16
;;;"OUTRAS DESPESAS CORRENTES";;;3.393.300,00;4.676.590,00;4.676.564,29;4.631.464,96;4.382.266,21;93,71
;;;;"Aporte para Cobertura de Defit Atuarial do RPPS";;1.000,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";1.000,00;0,00;0,00;0,00;0,00;0,00
;;;;"Auxilio Alimentacao";;7.000,00;480,00;480,00;480,00;480,00;100,00
;;;;;"SEM APLICACAO";7.000,00;480,00;480,00;480,00;480,00;100,00
;;;;"Auxilio Transporte";;2.300.000,00;3.027.090,00;3.027.080,83;3.027.080,83;2.781.114,68;91,87
;;;;;"SEM APLICACAO";2.300.000,00;3.027.090,00;3.027.080,83;3.027.080,83;2.781.114,68;91,87
;;;;"Despesas de Exercicios Anteriores";;95.000,00;95.800,00;95.793,38;95.793,38;95.793,38;100,00
;;;;;"SEM APLICACAO";95.000,00;95.800,00;95.793,38;95.793,38;95.793,38;100,00
;;;;"Material de Consumo";;1.000,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";1.000,00;0,00;0,00;0,00;0,00;0,00
;;;;"Outros Beneficios Assistenciais";;50.000,00;59.250,00;59.250,00;59.250,00;59.250,00;100,00
;;;;;"SEM APLICACAO";50.000,00;59.250,00;59.250,00;59.250,00;59.250,00;100,00
;;;;"Outros Servicos de Terceiros   Pessoa Juridica";;939.300,00;1.493.970,00;1.493.960,08;1.448.860,75;1.445.628,15;96,76
;;;;;"SEM APLICACAO";939.300,00;1.493.970,00;1.493.960,08;1.448.860,75;1.445.628,15;96,76
;;;"PESSOAL E ENCARGOS SOCIAIS";;;17.794.000,00;18.620.500,00;18.606.965,70;18.596.321,49;16.143.600,59;86,76
;;;;"Contribuicoes Patronais  19  I ";;12.933.000,00;13.905.750,00;13.905.743,12;13.905.743,12;11.878.752,84;85,42
;;;;;"SEM APLICACAO";8.838.000,00;9.969.660,00;9.969.658,25;9.969.658,25;8.267.015,48;82,92
;;;;"Despesas de Exercicios Anteriores";;108.000,00;27.690,00;27.683,34;27.683,34;27.683,34;100,00
;;;;;"SEM APLICACAO";108.000,00;27.690,00;27.683,34;27.683,34;27.683,34;100,00
;;;;"Indenizacoes e Restituicoes Trabalhistas";;276.000,00;221.280,00;207.770,90;197.126,69;140.841,95;67,79
;;;;;"SEM APLICACAO";276.000,00;221.280,00;207.770,90;197.126,69;140.841,95;67,79
;;;;"Obrigacoes Patronais";;12.933.000,00;13.905.750,00;13.905.743,12;13.905.743,12;11.878.752,84;85,42
;;;;;"SEM APLICACAO";4.095.000,00;3.936.090,00;3.936.084,87;3.936.084,87;3.611.737,36;91,76
;;;;"Outras Despesas Variaveis   Pessoal Civil";;244.000,00;274.810,00;274.804,52;274.804,52;235.424,13;85,67
;;;;;"SEM APLICACAO";244.000,00;274.810,00;274.804,52;274.804,52;235.424,13;85,67
;;;;"Vencimentos e Vantagens Fixas   Pessoal Civil";;4.233.000,00;4.190.970,00;4.190.963,82;4.190.963,82;3.860.898,33;92,12
;;;;;"SEM APLICACAO";4.233.000,00;4.190.970,00;4.190.963,82;4.190.963,82;3.860.898,33;92,12
;;"DESPESAS DE CAPITAL";;;;1.000,00;0,00;0,00;0,00;0,00;0,00
;;;"INVERSOES FINANCEIRAS";;;1.000,00;0,00;0,00;0,00;0,00;0,00
;;;;"Contribuicoes";;1.000,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";1.000,00;0,00;0,00;0,00;0,00;0,00
;"FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL   ADMINISTRACAO DIRETA";;;;;8.479.200,00;11.462.820,00;11.340.013,62;10.900.798,62;9.938.854,63;87,64
;;"DESPESAS CORRENTES";;;;8.465.200,00;11.419.090,00;11.296.288,92;10.874.071,92;9.912.127,93;87,75
;;;"OUTRAS DESPESAS CORRENTES";;;5.727.500,00;7.852.890,00;7.730.195,33;7.307.978,33;6.655.544,43;86,10
;;;;"Auxilio Alimentacao";;110.000,00;93.840,00;93.833,33;93.833,33;90.183,33;96,11
;;;;;"SEM APLICACAO";110.000,00;93.840,00;93.833,33;93.833,33;90.183,33;96,11
;;;;"Despesas de Exercicios Anteriores";;11.000,00;5.190,00;5.175,92;5.175,92;5.175,92;100,00
;;;;;"SEM APLICACAO";11.000,00;5.190,00;5.175,92;5.175,92;5.175,92;100,00
;;;;"Diarias   Civil";;22.000,00;9.840,00;9.840,00;9.840,00;9.840,00;100,00
;;;;;"SEM APLICACAO";22.000,00;9.840,00;9.840,00;9.840,00;9.840,00;100,00
;;;;"Indenizacoes e Restituicoes";;2.000,00;99.770,00;81.188,19;81.188,19;78.370,76;96,53
;;;;;"SEM APLICACAO";2.000,00;99.770,00;81.188,19;81.188,19;78.370,76;96,53
;;;;"Material de Consumo";;637.500,00;256.880,00;257.836,80;250.073,40;240.747,11;93,37
;;;;;"SEM APLICACAO";637.500,00;256.880,00;257.836,80;250.073,40;240.747,11;93,37
;;;;"Material de Distribuicao Gratuita";;500.000,00;226.280,00;226.274,90;226.274,90;226.274,90;100,00
;;;;;"SEM APLICACAO";500.000,00;226.280,00;226.274,90;226.274,90;226.274,90;100,00
;;;;"Obrigacoes Tributarias e Contributivas";;10.000,00;2.640,00;2.640,00;2.640,00;2.420,00;91,67
;;;;;"SEM APLICACAO";10.000,00;2.640,00;2.640,00;2.640,00;2.420,00;91,67
;;;;"Outros Auxilios Financeiros a Pessoas Fisicas";;1.669.000,00;1.916.030,00;1.916.030,00;1.901.219,00;1.729.769,00;90,28
