Função;Subfunção;Programa;Projeto/Atividade/Operações Especiais;Ação;Dotação Inicial;Dotação Atualizada;Empenhado (E);Liquidado;Pago (P);P/E;ano
administracao;administracao geral;gestao da politica das financas do municipio ;supervisao e coordenacao das acoes da secretaria ;supervisao e coordenacao das acoes da secretaria ;824000.0;823985.2;671255.88;671255.88;641025.88;95.5;2016
administracao;administracao geral;gestao da politica de acao de assistencia social ;direcao  supervisao e coordenacao das acoes da se;direcao  supervisao e coordenacao das acoes da se;844100.0;895520.0;357560.88;356700.88;323804.88;90.56;2016
administracao;administracao geral;gestao da politica de desenvolvimento economico d;direcao  supervisao e coordenacao das acoes da se;direcao  supervisao e coordenacao das acoes da se;634300.0;984500.0;447861.52;440732.9;416095.44;92.91;2016
administracao;administracao geral;gestao das acoes administrativas do municipio ;direcao  supervisao e coordenacao das acoes da se;direcao  supervisao e coordenacao das acoes da se;314100.0;667490.0;442753.68;442386.15;363204.03;82.03;2016
administracao;administracao geral;gestao das acoes das administracoes regionais ;apoio as  administracoes regionais do municipio ;apoio as  administracoes regionais do municipio ;15000.0;14600.0;13648.8;13648.8;7906.8;57.93;2016
administracao;administracao geral;gestao das acoes das administracoes regionais ;supervisao e coordenacao das acoes da coordenador;supervisao e coordenacao das acoes da coordenador;1228900.0;2547220.0;1809801.06;1788535.05;1648583.21;91.09;2016
administracao;administracao geral;gestao das acoes da secretaria de articulacao pol;direcao  supervisao e coordenacao das acoes da se;direcao  supervisao e coordenacao das acoes da se;428300.0;800380.0;556646.93;517760.02;475862.02;85.49;2016
administracao;administracao geral;gestao das acoes da secretaria de assuntos juridi;direcao  supervisao e coordenacao das acoes da se;direcao  supervisao e coordenacao das acoes da se;689700.0;662330.0;650872.12;649288.12;592281.32;91.0;2016
administracao;administracao geral;gestao das politicas de acao de turismo e cultura;direcao  supervisao e coordenacao da secretaria d;direcao  supervisao e coordenacao da secretaria d;202300.0;340540.0;52770.0;50880.0;48486.0;91.88;2016
administracao;administracao geral;gestao dos processos administrativos do municipio;administracao de pessoal ;administracao de pessoal ;1565700.0;1817480.0;1362596.78;1362596.78;1253209.51;91.97;2016
administracao;administracao geral;gestao dos processos administrativos do municipio;administracao e controle do patrimonio do municip;administracao e controle do patrimonio do municip;453300.0;675190.0;388630.99;388630.99;359926.66;92.61;2016
administracao;administracao geral;gestao dos processos administrativos do municipio;gestao dos processos de compras e suprimentos ;gestao dos processos de compras e suprimentos ;526600.0;513560.0;400262.67;400262.67;369212.59;92.24;2016
administracao;administracao geral;gestao dos processos administrativos do municipio;modernizacao administrativa da secretaria de admi;modernizacao administrativa da secretaria de admi;836500.0;2000.0;0.0;0.0;0.0;0.0;2016
administracao;administracao geral;gestao superior da administracao municipal ;comunicacao social  e divulgacao oficial dos atos;comunicacao social  e divulgacao oficial dos atos;1037000.0;1018193.0;796585.83;664993.26;477031.33;59.88;2016
administracao;administracao geral;gestao superior da administracao municipal ;direcao  supervisao e coordenacao das acoes do ga;direcao  supervisao e coordenacao das acoes do ga;3585300.0;3569800.0;3288082.19;3232620.81;3025717.08;92.02;2016
administracao;administracao geral;gestao superior da administracao municipal ;servico de protocolo do gabinete do prefeito ;servico de protocolo do gabinete do prefeito ;18000.0;0.0;0.0;0.0;0.0;0.0;2016
administracao;administracao geral;melhoria dos predios publicos ;conservacao de predios publicos ;conservacao de predios publicos ;285000.0;285000.0;96266.0;57751.7;57751.7;59.99;2016
administracao;administracao geral;planejamento  da politica de acao de saude do mun;regularizacao de saldos de recursos de convenios ;regularizacao de saldos de recursos de convenios ;300.0;0.0;0.0;0.0;0.0;0.0;2016
administracao;controle interno;gestao das acoes da controladoria geral e ouvidor;assessoramento controle das acoes da controladori;assessoramento controle das acoes da controladori;541300.0;494750.0;433485.12;428438.11;387076.62;89.29;2016
administracao;controle interno;gestao das acoes da controladoria geral e ouvidor;assessoramento controle das acoes da controladori;assessoramento controle das acoes da controladori;400000.0;0.01;0.0;0.0;0.0;0.0;2016
administracao;controle interno;gestao das acoes da controladoria geral e ouvidor;direcao  supervisao e coordenacao das acoes da co;direcao  supervisao e coordenacao das acoes da co;452800.0;400420.0;342046.55;326969.91;285259.78;83.4;2016
administracao;controle interno;gestao do sistema de controle interno do municipi;modernizacao do sistema  financeiro  e contabil d;modernizacao do sistema  financeiro  e contabil d;20000.0;0.0;0.0;0.0;0.0;0.0;2016
administracao;formacao de recursos humanos;gestao dos processos administrativos do municipio;capacitacao de recursos humanos para os orgaos mu;capacitacao de recursos humanos para os orgaos mu;19600.0;2730.0;2730.0;2730.0;1365.0;50.0;2016
administracao;normatizacao e fiscalizacao;gestao do sistema tributario do municipio ;administracao tributaria do municipio ;administracao tributaria do municipio ;7095500.0;15137029.31;7652693.25;7033817.73;6537399.41;85.43;2016
administracao;normatizacao e fiscalizacao;gestao do sistema tributario do municipio ;modernizacao do sistema tributario do municipio  ;modernizacao do sistema tributario do municipio  ;154000.0;0.0;0.0;0.0;0.0;0.0;2016
administracao;normatizacao e fiscalizacao;otimizacao das feiras e mercados publicos ;manutencao e ordenamento de feiras e mercados pub;manutencao e ordenamento de feiras e mercados pub;119000.0;119000.0;52424.01;52424.01;48244.17;92.03;2016
administracao;planejamento e orcamento;fortalecimento das acoes de planejamento estrateg;direcao  supervisao e coordenacao das acoes da se;direcao  supervisao e coordenacao das acoes da se;530400.0;501140.0;471894.98;471891.08;436499.33;92.5;2016
administracao;planejamento e orcamento;fortalecimento das acoes de planejamento estrateg;elaboracao e gestao dos instrumentos de planejame;elaboracao e gestao dos instrumentos de planejame;140800.0;76690.0;70709.0;70709.0;55401.5;78.35;2016
administracao;planejamento e orcamento;fortalecimento das acoes de planejamento estrateg;otimizacao do planejamento estrategico   pmat;otimizacao do planejamento estrategico   pmat;816800.0;167960.0;0.0;0.0;0.0;0.0;2016
administracao;tecnologia da informatizacao;gestao dos processos administrativos do municipio;gestao da politica de informatica municipal ;gestao da politica de informatica municipal ;465500.0;922160.0;722157.08;689057.08;565514.96;78.31;2016
administracao;turismo;promocao do turismo no municipio ;acoes de fomento ao turismo ;acoes de fomento ao turismo ;3000.0;0.0;0.0;0.0;0.0;0.0;2016
agricultura;abastecimento;desenvolvimento da pesca no municipio ;apoio as atividades pesqueiras ;apoio as atividades pesqueiras ;5000.0;5000.0;0.0;0.0;0.0;0.0;2016
agricultura;extensao rural;estimulo ao desenvolvimento economico do municipi;incentivo e apoio ao pequeno produtor rural ;incentivo e apoio ao pequeno produtor rural ;7000.0;10000.0;7336.8;7336.8;3840.0;52.34;2016
assistencia social;administracao geral;apoio e assistencia as acoes da secretaria especi;direcao  supervisao e coordenacao das acoes da se;direcao  supervisao e coordenacao das acoes da se;355000.0;356460.0;274948.83;264318.83;244816.83;89.04;2016
assistencia social;assistencia a crianca a ao adolescente;acoes jovens ;promocao de eventos e acoes para o publico jovem;promocao de eventos e acoes para o publico jovem;2000.0;800.0;0.0;0.0;0.0;0.0;2016
assistencia social;assistencia a crianca a ao adolescente;assistencia a crianca e ao adolescente ;atividades do conselho municipal da crianca e do ;atividades do conselho municipal da crianca e do ;404300.0;527774.3;512659.76;314267.92;314267.92;61.3;2016
assistencia social;assistencia a crianca a ao adolescente;assistencia a crianca e ao adolescente ;atividades do fundo da crianca e do adolescente ;atividades do fundo da crianca e do adolescente ;1030000.0;1469736.37;1366264.37;805042.6;805042.6;58.92;2016
assistencia social;assistencia a crianca a ao adolescente;assistencia a crianca e ao adolescente ;regularizacao de saldos de convenios do conselho ;regularizacao de saldos de convenios do conselho ;2000.0;2000.0;0.0;0.0;0.0;0.0;2016
assistencia social;assistencia a crianca a ao adolescente;protecao a crianca e ao adolescente ;acoes de apoio a crianca e ao adolescente;acoes de apoio a crianca e ao adolescente;1914500.0;1850967.0;1411203.74;1384625.89;1249290.4;88.53;2016
assistencia social;assistencia a crianca a ao adolescente;protecao a crianca e ao adolescente ;apoio e manutencao ao acolhimento para crianca e ;apoio e manutencao ao acolhimento para crianca e ;1103000.0;1027000.0;844527.27;756502.75;559410.56;66.24;2016
assistencia social;assistencia ao idoso;apoio e assistencia a pessoa idosa ;promocao e protecao da integracao social da pesso;promocao e protecao da integracao social da pesso;526000.0;253171.83;217800.0;217800.0;199650.0;91.67;2016
assistencia social;assistencia ao portador de deficiencia;apoio e integracao social das pessoas com deficie;acoes educativas e integracao social para pessoas;acoes educativas e integracao social para pessoas;424000.0;193200.0;190476.0;190476.0;171717.0;90.15;2016
assistencia social;assistencia comunitaria;cidade segura para as mulheres;prevencao e enfrentamento a violencia contra as m;prevencao e enfrentamento a violencia contra as m;102100.0;53750.0;50868.73;46772.06;36609.87;71.97;2016
assistencia social;assistencia comunitaria;gestao da politica de acao de assistencia social ;apoio e manutencao das acoes dos conselhos;apoio e manutencao das acoes dos conselhos;190000.0;923135.72;580655.17;544615.17;489979.03;84.38;2016
assistencia social;assistencia comunitaria;se liga mulher;promocao e valorizacao da mulher;promocao e valorizacao da mulher;99000.0;344560.0;222086.16;186043.27;169738.97;76.43;2016
assistencia social;assistencia comunitaria;servico de assistencia social geral ;acoes de assistencia social;acoes de assistencia social;4770800.0;5729307.21;5022128.51;4981402.84;4182936.65;83.29;2016
assistencia social;assistencia comunitaria;servico de assistencia social geral ;acoes e servicos da protecao social basica;acoes e servicos da protecao social basica;637000.0;309782.65;89847.9;77407.9;56805.9;63.22;2016
assistencia social;assistencia comunitaria;servico de assistencia social geral ;acoes e servicos da protecao social especial;acoes e servicos da protecao social especial;733200.0;407887.55;267612.97;267052.97;226417.47;84.61;2016
assistencia social;planejamento e orcamento;gestao da politica de acao de assistencia social ;planejamento  orcamentacao e monitoramento das ac;planejamento  orcamentacao e monitoramento das ac;2000.0;2000.0;0.0;0.0;0.0;0.0;2016
ciencia e tecnologia;difusao do conhecimento cient. e tec.;programa de inclusao digital ;implantacao do centro de tecnologia da informacao;implantacao do centro de tecnologia da informacao;251600.0;247500.0;0.0;0.0;0.0;0.0;2016
comercio e servicos;difusao cultural;promocao e preservacao da cultura municipal ;promocao da cultura do municipio ;promocao da cultura do municipio ;27000.0;14190.0;14087.5;14087.5;6187.5;43.92;2016
comercio e servicos;planejamento e orcamento;gestao das politicas de acao de turismo e cultura;planejamento  orcamento e monitoramento das acoes;planejamento  orcamento e monitoramento das acoes;17000.0;1300.0;1293.4;1293.4;0.0;0.0;2016
comercio e servicos;promocao comercial;promocao e apoio as atividades comerciais ;apoio ao desenvolvimento do comercio do municipio;apoio ao desenvolvimento do comercio do municipio;2000.0;2000.0;0.0;0.0;0.0;0.0;2016
comercio e servicos;turismo;promocao do turismo no municipio ;promocao de eventos e acoes turisticas ;promocao de eventos e acoes turisticas ;935600.0;999350.0;856990.0;855750.0;843325.0;98.41;2016
cultura;pat. historico  artistico e arqueologico;promocao e preservacao da cultura municipal ;obras de preservacao de areas culturais e sitios ;obras de preservacao de areas culturais e sitios ;1400.0;0.0;0.0;0.0;0.0;0.0;2016
desporto e lazer;administracao geral;acoes de promocoes de lazer e desporto;promocao de lazer e desporto;promocao de lazer e desporto;159700.0;2454660.0;1613415.0;1608175.0;1265645.0;78.45;2016
desporto e lazer;lazer;melhoria do paisagismo urbano ;construcao e recuperacao de pracas e areas de laz;construcao e recuperacao de pracas e areas de laz;1237700.0;1066115.0;953549.93;389648.21;121566.36;12.75;2016
direitos da cidadania;direitos individuais  colet. e difusos;defesa dos direitos do cidadao ;promocao da defesa dos direitos do consumidor;promocao da defesa dos direitos do consumidor;40000.0;0.0;0.0;0.0;0.0;0.0;2016
educacao;administracao geral;apoio administrativo as acoes da secretaria de ed;ampliar ou reformar  predio da secretaria de educ;ampliar ou reformar  predio da secretaria de educ;2000.0;0.0;0.0;0.0;0.0;0.0;2016
educacao;administracao geral;apoio administrativo as acoes da secretaria de ed;contribuicao patronal da secretaria de educacao p;contribuicao patronal da secretaria de educacao p;565300.0;4380085.14;1504427.89;1504272.93;1445855.85;96.11;2016
educacao;administracao geral;apoio administrativo as acoes da secretaria de ed;gestao administrativa das acoes da secretaria de ;gestao administrativa das acoes da secretaria de ;2546900.0;25290648.91;3309957.08;3307563.08;3134605.27;94.7;2016
educacao;administracao geral;apoio administrativo as acoes da secretaria de ed;regularizacao de saldos de recursos de convenios ;regularizacao de saldos de recursos de convenios ;7000.0;826170.5;823932.43;823932.43;823932.43;100.0;2016
educacao;administracao geral;democratizacao da gestao  transparencia e control;direcao  supervisao e coordenacao das acoes da se;direcao  supervisao e coordenacao das acoes da se;1339600.0;1952190.0;1780971.91;1659586.51;1607936.26;90.28;2016
educacao;administracao geral;democratizacao da gestao  transparencia e control;fortalecimento dos conselhos municipais de educac;fortalecimento dos conselhos municipais de educac;8300.0;0.0;0.0;0.0;0.0;0.0;2016
educacao;administracao geral;democratizacao da gestao  transparencia e control;planejamento  orcamentacao e monitoramento das ac;planejamento  orcamentacao e monitoramento das ac;2000.0;0.0;0.0;0.0;0.0;0.0;2016
educacao;administracao geral;musica para todos;manutencao e desenvolvimento do ensino musical;manutencao e desenvolvimento do ensino musical;104200.0;154660.0;88472.12;88363.87;81883.92;92.55;2016
educacao;alimentacao e nutricao;alimentacao escolar saudavel ;alimentacao nas escolas ;alimentacao nas escolas ;2301000.0;3440064.65;2502413.15;2350590.74;2305348.97;92.13;2016
educacao;difusao cultural;promocao e divulgacao das acoes educacionais ;promocao de eventos educacionais ;promocao de eventos educacionais ;132000.0;165150.0;164072.4;113992.4;34992.4;21.33;2016
educacao;educacao de jovens e adultos;jovens e adultos na escola ;manutencao e desenvolvimento da educacao de joven;manutencao e desenvolvimento da educacao de joven;2643200.0;4222470.0;3770614.87;3697434.64;3434700.17;91.09;2016
educacao;educacao especial;inclusao escolar para pessoas portadoras de neces;adequacao dos espacos fisicos  e equipagem das es;adequacao dos espacos fisicos  e equipagem das es;17000.0;0.0;0.0;0.0;0.0;0.0;2016
educacao;educacao especial;inclusao escolar para pessoas portadoras de neces;manutencao e desenvolvimento da educacao especial;manutencao e desenvolvimento da educacao especial;1468600.0;2214822.0;1770372.41;1770364.41;1631959.94;92.18;2016
educacao;educacao infantil;educacao infantil cidada ;aquisicao  construcao  ampliacao  adequacao e equ;aquisicao  construcao  ampliacao  adequacao e equ;267000.0;447710.0;447705.85;437421.87;437421.87;97.7;2016
educacao;educacao infantil;educacao infantil cidada ;manutencao e desenvolvimento da educacao infantil;manutencao e desenvolvimento da educacao infantil;4500400.0;5666284.0;4931000.93;4900386.91;4341669.49;88.05;2016
educacao;ensino fundamental;ensino fundamental de qualidade ;aquisicao  construcao  ampliacao  adequacao e equ;aquisicao  construcao  ampliacao  adequacao e equ;254000.0;456760.0;102380.0;102377.44;90442.76;88.34;2016
educacao;ensino fundamental;ensino fundamental de qualidade ;contribuicao adicional do fundeb para a previpaul;contribuicao adicional do fundeb para a previpaul;6200.0;6200.0;0.0;0.0;0.0;0.0;2016
educacao;ensino fundamental;ensino fundamental de qualidade ;contribuicao patronal do fundeb  para a previpaul;contribuicao patronal do fundeb  para a previpaul;11688300.0;9526768.71;6386180.44;5939656.34;5321926.11;83.34;2016
educacao;ensino fundamental;ensino fundamental de qualidade ;encargos com vale transportes dos servidores do e;encargos com vale transportes dos servidores do e;3490700.0;4244662.6;3242590.1;3090570.53;2811992.28;86.72;2016
educacao;ensino fundamental;ensino fundamental de qualidade ;manutencao e desenvolvimento do ensino fundamenta;manutencao e desenvolvimento do ensino fundamenta;61283500.0;83868796.35;71691057.96;62134402.32;56672982.26;79.05;2016
educacao;outros encargos especiais;apoio administrativo as acoes da secretaria de ed;contribuicao adicional da secretaria de educacao ;contribuicao adicional da secretaria de educacao ;5000.0;0.0;0.0;0.0;0.0;0.0;2016
educacao;protecao e beneficios ao trabalhador;apoio administrativo as acoes da secretaria de ed;encargos com vale transporte para os servidores d;encargos com vale transporte para os servidores d;538700.0;634810.0;584986.7;584986.7;571765.8;97.74;2016
encargos especiais;outros encargos especiais;apoio administrativo as acoes da camara municipal;contribuicao patronal da camara de vereadores par;contribuicao patronal da camara de vereadores par;480000.0;481000.0;480569.07;480569.07;480569.07;100.0;2016
encargos especiais;outros encargos especiais;apoio administrativo as acoes da secretaria de in;regularizacao de saldos de recursos de convenios ;regularizacao de saldos de recursos de convenios ;1000.0;1000.0;0.0;0.0;0.0;0.0;2016
encargos especiais;outros encargos especiais;apoio aos compromissos da divida ;contribuicao para o pasep ;contribuicao para o pasep ;3801000.0;4220000.0;3909738.92;3599738.92;3355041.67;85.81;2016
encargos especiais;outros encargos especiais;encargos administrativos do municipio ;contribuicao patronal da prefeitura ao previ paul;contribuicao patronal da prefeitura ao previ paul;4768000.0;9624188.26;5012094.13;5012094.13;4610030.86;91.98;2016
encargos especiais;outros encargos especiais;encargos administrativos do municipio ;encargos com obrigacoes patronais ;encargos com obrigacoes patronais ;4600000.0;5205230.8;4424458.23;4424458.23;3513613.55;79.41;2016
encargos especiais;outros encargos especiais;encargos administrativos do municipio ;encargos com recisao de contrato  indenizacoes tr;encargos com recisao de contrato  indenizacoes tr;1260000.0;722178.4;492044.46;485919.37;415671.96;84.48;2016
encargos especiais;protecao e beneficios ao trabalhador;apoio administrativo as acoes da camara municipal;encargos com auxilio  transporte para os servidor;encargos com auxilio  transporte para os servidor;100000.0;68000.0;67731.57;67731.57;67731.57;100.0;2016
encargos especiais;refinanciamento da divida interna;apoio aos compromissos da divida ;parcelamento de debitos com a previ paulista ;parcelamento de debitos com a previ paulista ;3000.0;3000.0;0.0;0.0;0.0;0.0;2016
encargos especiais;refinanciamento da divida interna;apoio aos compromissos da divida ;parcelamento de debitos com o fgts ;parcelamento de debitos com o fgts ;905200.0;0.0;0.0;0.0;0.0;0.0;2016
encargos especiais;refinanciamento da divida interna;apoio aos compromissos da divida ;parcelamento de debitos com o inss ;parcelamento de debitos com o inss ;2422300.0;1847098.54;1781598.54;1670799.27;1670799.27;93.78;2016
encargos especiais;refinanciamento da divida interna;apoio aos compromissos da divida ;parcelamento de debitos com o pasep ;parcelamento de debitos com o pasep ;905000.0;1882573.35;1084104.83;68033.85;59214.57;5.46;2016
encargos especiais;servico da divida interna;apoio aos compromissos da divida ;encargos com a divida publica ;encargos com a divida publica ;8438600.0;6590690.0;2709331.98;2709331.98;2709331.98;100.0;2016
gestao ambiental;administracao geral;promocao das acoes de meio ambiente no municipio ;direcao  supervisao e coordenacao das acoes da se;direcao  supervisao e coordenacao das acoes da se;477600.0;490562.0;279565.7;236641.67;220126.51;78.74;2016
gestao ambiental;administracao geral;promocao das acoes de meio ambiente no municipio ;gestao administrativa das acoes da secretaria de ;gestao administrativa das acoes da secretaria de ;230300.0;674620.0;309241.09;309241.09;297816.21;96.31;2016
gestao ambiental;controle ambiental;drenagem urbana ;construcao e ou recuperacao de obras de micro e m;construcao e ou recuperacao de obras de micro e m;15672000.0;30548701.82;13297607.25;8778977.2;7581109.83;57.01;2016
gestao ambiental;controle ambiental;promocao das acoes de meio ambiente no municipio ;apoio as acoes de desenvolvimento sustentavel;apoio as acoes de desenvolvimento sustentavel;57700.0;57700.0;258.8;129.4;129.4;50.0;2016
gestao ambiental;controle ambiental;promocao das acoes de meio ambiente no municipio ;licenciamento e gestao da destinacao de residuos ;licenciamento e gestao da destinacao de residuos ;101100.0;101100.0;0.0;0.0;0.0;0.0;2016
gestao ambiental;preservacao e conservacao ambiental;promocao das acoes de meio ambiente no municipio ;gestao e preservacao do meio ambiente ;gestao e preservacao do meio ambiente ;1045700.0;3420727.36;696359.2;679971.6;618442.73;88.81;2016
gestao ambiental;preservacao e conservacao ambiental;promocao das acoes de meio ambiente no municipio ;manutencao da sementeira;manutencao da sementeira;9600.0;8400.0;0.0;0.0;0.0;0.0;2016
gestao ambiental;recuperacao de areas degradadas;contencao das encostas ;obras de protecao de encostas;obras de protecao de encostas;3755800.0;3255800.0;3141.7;3141.7;0.0;0.0;2016
gestao ambiental;recuperacao de areas degradadas;valorizacao da orla do paulista ;construcao de obras de protecao litoranea contra ;construcao de obras de protecao litoranea contra ;854000.0;508700.0;351841.83;351841.83;351841.83;100.0;2016
habitacao;administracao geral;apoio administrativo as acoes da secretaria de ha;gestao administrativa das acoes da secretaria de ;gestao administrativa das acoes da secretaria de ;83600.0;83240.0;51852.54;51852.54;42749.57;82.44;2016
habitacao;administracao geral;gestao da politica de acao da secretaria de habit;direcao  supervisao e coordenacao da secretaria d;direcao  supervisao e coordenacao da secretaria d;190100.0;240100.0;115506.65;115506.65;106706.65;92.38;2016
habitacao;habitacao rural;melhoria de moradia para a populacao de baixa ren;projeto  construcao e reforma de predios caixoes;projeto  construcao e reforma de predios caixoes;15000.0;5000.0;0.0;0.0;0.0;0.0;2016
habitacao;habitacao rural;melhoria de moradia para a populacao de baixa ren;regularizacao de assentamentos habitacionais ;regularizacao de assentamentos habitacionais ;15200.0;15200.0;0.0;0.0;0.0;0.0;2016
habitacao;habitacao urbana;habitacao com qualidade;promocao da politica habitacional do municipio;promocao da politica habitacional do municipio;10700.0;10700.0;0.0;0.0;0.0;0.0;2016
habitacao;planejamento e orcamento;gestao das politicas habitacionais do municipio;planejamento  orcamentacao e monitoramento das ac;planejamento  orcamentacao e monitoramento das ac;14500.0;14500.0;0.0;0.0;0.0;0.0;2016
industria; promocao industrial;estimulo ao desenvolvimento economico do municipi;apoio a empreendimentos para o desenvovimento eco;apoio a empreendimentos para o desenvovimento eco;11000.0;21700.0;16564.26;16564.26;7514.06;45.36;2016
judiciario;acao judiciaria;promocao das acoes judiciais do municipio ;execucao da cobranca da divida ativa do municipio;execucao da cobranca da divida ativa do municipio;45000.0;11770.0;11748.0;11748.0;0.0;0.0;2016
judiciario;def. interesse publ. no proc. judiciario;defesa dos direitos do cidadao ;acoes da defensoria publica municipal;acoes da defensoria publica municipal;170000.0;121360.0;113650.0;82550.0;82550.0;72.64;2016
judiciario;def. interesse publ. no proc. judiciario;promocao das acoes judiciais do municipio ;acoes de assessoramento juridico;acoes de assessoramento juridico;3969400.0;9572573.36;5617751.81;4784078.88;4376985.47;77.91;2016
judiciario;def. interesse publ. no proc. judiciario;promocao das acoes judiciais do municipio ;compromissos com sentencas judiciais;compromissos com sentencas judiciais;1600000.0;5541244.69;3249901.29;3232860.42;1524031.02;46.89;2016
legislativa;acao legislativa;apoio administrativo as acoes da camara municipal;conservacao fisica das dependencias do legislativ;conservacao fisica das dependencias do legislativ;50000.0;0.0;0.0;0.0;0.0;0.0;2016
legislativa;acao legislativa;gestao legislativa eficaz ;acoes legislativas ;acoes legislativas ;3485000.0;3679000.0;3676701.3;3676701.3;3676701.3;100.0;2016
legislativa;administracao geral;apoio administrativo as acoes da camara municipal;gestao administrativa da camara de vereadores ;gestao administrativa da camara de vereadores ;7275000.0;7407160.0;7187884.75;7187884.75;7187884.75;100.0;2016
legislativa;administracao geral;apoio administrativo as acoes da camara municipal;informatizacao dos processos administrativos da c;informatizacao dos processos administrativos da c;90000.0;71000.0;67454.36;67454.36;67454.36;100.0;2016
previdencia social;administracao geral;gestao das acoes do instituto de previdencia prev;direcao  supervisao e coordenacao das acoes do in;direcao  supervisao e coordenacao das acoes do in;1924300.0;2167231.97;2140773.27;2107988.75;1988921.54;92.91;2016
previdencia social;administracao geral;gestao das acoes do instituto de previdencia prev;implantacao da sede propria do previpaulista ;implantacao da sede propria do previpaulista ;170500.0;80280.0;30470.0;30470.0;30470.0;100.0;2016
previdencia social;previdencia do regime estatutario;gestao das acoes do instituto de previdencia prev;encargos com inativos e pensionistas da camara de;encargos com inativos e pensionistas da camara de;3065800.0;3568725.69;3568725.13;3568725.13;3276483.44;91.81;2016
previdencia social;previdencia do regime estatutario;gestao das acoes do instituto de previdencia prev;encargos com inativos e pensionistas da secretari;encargos com inativos e pensionistas da secretari;3026000.0;3678435.65;3662963.82;3662963.82;3344556.94;91.31;2016
