Órgão;Unidade;Categoria Econômica;Grupo de despesa;Elemento;Subelemento;Dotação Inicial;Dotação Atualizada;Empenhado (P);Liquidado;Pago (P);P/E;ano
camara da cidade do paulista;camara municipal do paulista ;despesas correntes;pessoal e encargos sociais;vencimentos e vantagens fixas   pessoal civil;sem aplicacao;8150000.0;8126500.0;8126199.64;8126199.64;8126199.64;100.0;2016
camara da cidade do paulista;camara municipal do paulista ;despesas de capital;investimentos;equipamentos e material permanente;sem aplicacao;60000.0;8500.0;7785.41;7785.41;7785.41;100.0;2016
camara da cidade do paulista;camara municipal do paulista ;despesas de capital;investimentos;obras e instalacoes;sem aplicacao;50000.0;0.0;0.0;0.0;0.0;0.0;2016
conselho municipal dos direitos da crianca e do adolecente da cidade do paulista;conselho fundo municipal da crianca e do adolesce;despesas correntes;outras despesas correntes;diarias   civil;sem aplicacao;2000.0;100.0;0.0;0.0;0.0;0.0;2016
conselho municipal dos direitos da crianca e do adolecente da cidade do paulista;conselho fundo municipal da crianca e do adolesce;despesas correntes;outras despesas correntes;indenizacoes e restituicoes;sem aplicacao;4200.0;44732.38;42632.38;42632.38;42632.38;100.0;2016
conselho municipal dos direitos da crianca e do adolecente da cidade do paulista;conselho fundo municipal da crianca e do adolesce;despesas correntes;outras despesas correntes;material de consumo;sem aplicacao;10000.0;10000.0;8699.57;8699.57;8699.57;100.0;2016
conselho municipal dos direitos da crianca e do adolecente da cidade do paulista;conselho fundo municipal da crianca e do adolesce;despesas correntes;outras despesas correntes;obrigacoes tributarias e contributivas;sem aplicacao;2000.0;2000.0;520.86;520.86;520.86;100.0;2016
conselho municipal dos direitos da crianca e do adolecente da cidade do paulista;conselho fundo municipal da crianca e do adolesce;despesas correntes;outras despesas correntes;outros servicos de terceiros   pessoa fisica;sem aplicacao;3000.0;7897.92;7794.36;7794.36;7794.36;100.0;2016
conselho municipal dos direitos da crianca e do adolecente da cidade do paulista;conselho fundo municipal da crianca e do adolesce;despesas correntes;outras despesas correntes;outros servicos de terceiros   pessoa juridica;sem aplicacao;377600.0;459444.0;449612.59;251220.75;251220.75;55.87;2016
conselho municipal dos direitos da crianca e do adolecente da cidade do paulista;conselho fundo municipal da crianca e do adolesce;despesas correntes;outras despesas correntes;passagens e despesas com locomocao;sem aplicacao;2000.0;100.0;0.0;0.0;0.0;0.0;2016
conselho municipal dos direitos da crianca e do adolecente da cidade do paulista;conselho fundo municipal da crianca e do adolesce;despesas correntes;outras despesas correntes;servicos de consultoria;sem aplicacao;2000.0;2000.0;0.0;0.0;0.0;0.0;2016
conselho municipal dos direitos da crianca e do adolecente da cidade do paulista;conselho fundo municipal da crianca e do adolesce;despesas correntes;outras despesas correntes;subvencoes sociais;sem aplicacao;1030000.0;1469736.37;1366264.37;805042.6;805042.6;58.92;2016
conselho municipal dos direitos da crianca e do adolecente da cidade do paulista;conselho fundo municipal da crianca e do adolesce;despesas de capital;investimentos;equipamentos e material permanente;sem aplicacao;3500.0;3500.0;3400.0;3400.0;3400.0;100.0;2016
fundo de saude da cidade do paulista;fundo municipal de saude ;despesas correntes;outras despesas correntes;auxilio transporte;sem aplicacao;1973000.0;2659940.0;2160546.8;2160546.8;2016010.1;93.31;2016
fundo de saude da cidade do paulista;fundo municipal de saude ;despesas correntes;outras despesas correntes;despesas de exercicios anteriores;sem aplicacao;0.0;158407.01;156596.76;156596.76;156596.76;100.0;2016
fundo de saude da cidade do paulista;fundo municipal de saude ;despesas correntes;outras despesas correntes;diarias   civil;sem aplicacao;83000.0;50590.0;2825.0;2825.0;2825.0;100.0;2016
fundo de saude da cidade do paulista;fundo municipal de saude ;despesas correntes;outras despesas correntes;indenizacoes e restituicoes;sem aplicacao;50000.0;45000.0;0.0;0.0;0.0;0.0;2016
fundo de saude da cidade do paulista;fundo municipal de saude ;despesas correntes;outras despesas correntes;locacao de mao de obra;sem aplicacao;1880000.0;1925314.55;1863051.04;1744496.82;1706935.72;91.62;2016
fundo de saude da cidade do paulista;fundo municipal de saude ;despesas correntes;outras despesas correntes;material de consumo;sem aplicacao;10964000.0;9112519.64;5089999.52;4784442.14;4581931.02;90.02;2016
fundo de saude da cidade do paulista;fundo municipal de saude ;despesas correntes;outras despesas correntes;obrigacoes tributarias e contributivas;sem aplicacao;62000.0;59000.0;12292.82;12292.82;12292.82;100.0;2016
fundo de saude da cidade do paulista;fundo municipal de saude ;despesas correntes;outras despesas correntes;outros auxilios financeiros a pessoas fisicas;sem aplicacao;700000.0;785100.0;649800.0;649800.0;649800.0;100.0;2016
fundo de saude da cidade do paulista;fundo municipal de saude ;despesas correntes;outras despesas correntes;outros servicos de terceiros   pessoa fisica;sem aplicacao;369500.0;430900.89;376226.07;371651.14;339120.37;90.14;2016
fundo de saude da cidade do paulista;fundo municipal de saude ;despesas correntes;outras despesas correntes;outros servicos de terceiros   pessoa juridica;sem aplicacao;17263200.0;18701134.4;13973732.97;12669047.83;11679826.51;83.58;2016
fundo de saude da cidade do paulista;fundo municipal de saude ;despesas correntes;outras despesas correntes;passagens e despesas com locomocao;sem aplicacao;120000.0;79250.0;6200.18;6200.18;5953.78;96.03;2016
fundo de saude da cidade do paulista;fundo municipal de saude ;despesas correntes;outras despesas correntes;servicos de consultoria;sem aplicacao;27900.0;11000.0;0.0;0.0;0.0;0.0;2016
fundo de saude da cidade do paulista;fundo municipal de saude ;despesas correntes;pessoal e encargos sociais;contratacao por tempo determinado;sem aplicacao;11893000.0;25681550.56;14085958.29;14085958.29;12939415.75;91.86;2016
fundo de saude da cidade do paulista;fundo municipal de saude ;despesas correntes;pessoal e encargos sociais;contribuicoes patronais  19  i ;sem aplicacao;5718000.0;6754000.0;3841755.78;3841755.78;3560288.84;92.67;2016
fundo de saude da cidade do paulista;fundo municipal de saude ;despesas correntes;pessoal e encargos sociais;contribuicoes patronais  19  i ;sem aplicacao;3533000.0;4566156.32;3551021.47;3551021.47;3264222.27;91.92;2016
fundo de saude da cidade do paulista;fundo municipal de saude ;despesas correntes;pessoal e encargos sociais;outras despesas variaveis   pessoal civil;sem aplicacao;1148100.0;3734035.48;1409087.1;1409087.1;1273206.13;90.36;2016
fundo de saude da cidade do paulista;fundo municipal de saude ;despesas correntes;pessoal e encargos sociais;vencimentos e vantagens fixas   pessoal civil;sem aplicacao;27203300.0;44831789.0;28303784.96;28303784.96;26147419.7;92.38;2016
fundo de saude da cidade do paulista;fundo municipal de saude ;despesas de capital;investimentos;despesas de exercicios anteriores;sem aplicacao;0.0;106360.0;79285.83;79285.83;79285.83;100.0;2016
fundo de saude da cidade do paulista;fundo municipal de saude ;despesas de capital;investimentos;equipamentos e material permanente;sem aplicacao;277000.0;1880713.6;1343232.59;642612.8;599522.8;44.63;2016
fundo de saude da cidade do paulista;fundo municipal de saude ;despesas de capital;investimentos;obras e instalacoes;sem aplicacao;1032100.0;915150.0;267116.02;256308.19;256308.19;95.95;2016
fundo de saude da cidade do paulista;fundo municipal de saude ;despesas de capital;investimentos;servicos de consultoria;sem aplicacao;1000.0;0.0;0.0;0.0;0.0;0.0;2016
instituto de previdencia social do municipio de paulista   plano financeiro;instituto de previdencia previpaulista;despesas correntes;outras despesas correntes;despesas de exercicios anteriores;sem aplicacao;64500.0;42580.0;39871.36;39871.36;39871.36;100.0;2016
instituto de previdencia social do municipio de paulista   plano financeiro;instituto de previdencia previpaulista;despesas correntes;outras despesas correntes;diarias   civil;sem aplicacao;35000.0;25000.0;17010.0;17010.0;15430.0;90.71;2016
instituto de previdencia social do municipio de paulista   plano financeiro;instituto de previdencia previpaulista;despesas correntes;outras despesas correntes;indenizacoes e restituicoes;sem aplicacao;3000.0;1923.0;1922.23;1922.23;1922.23;100.0;2016
instituto de previdencia social do municipio de paulista   plano financeiro;instituto de previdencia previpaulista;despesas correntes;outras despesas correntes;material de consumo;sem aplicacao;40000.0;33853.32;33601.8;33505.8;32977.8;98.14;2016
instituto de previdencia social do municipio de paulista   plano financeiro;instituto de previdencia previpaulista;despesas correntes;outras despesas correntes;obrigacoes tributarias e contributivas;sem aplicacao;16000.0;6000.0;4860.4;4860.4;4580.4;94.24;2016
instituto de previdencia social do municipio de paulista   plano financeiro;instituto de previdencia previpaulista;despesas correntes;outras despesas correntes;outros servicos de terceiros   pessoa fisica;sem aplicacao;26500.0;24495.0;24494.4;24494.4;22776.0;92.98;2016
instituto de previdencia social do municipio de paulista   plano financeiro;instituto de previdencia previpaulista;despesas correntes;outras despesas correntes;outros servicos de terceiros   pessoa juridica;sem aplicacao;450000.0;534861.6;534861.6;509187.74;487239.04;91.1;2016
instituto de previdencia social do municipio de paulista   plano financeiro;instituto de previdencia previpaulista;despesas correntes;outras despesas correntes;passagens e despesas com locomocao;sem aplicacao;30000.0;30000.0;28622.34;28622.34;20140.03;70.36;2016
instituto de previdencia social do municipio de paulista   plano financeiro;instituto de previdencia previpaulista;despesas correntes;outras despesas correntes;servicos de consultoria;sem aplicacao;300000.0;485700.0;476828.0;469838.0;457803.0;96.01;2016
instituto de previdencia social do municipio de paulista   plano financeiro;instituto de previdencia previpaulista;despesas correntes;pessoal e encargos sociais;aposentadorias e reformas;sem aplicacao;42186900.0;44414266.15;44183197.87;44183197.87;40495292.46;91.65;2016
instituto de previdencia social do municipio de paulista   plano financeiro;instituto de previdencia previpaulista;despesas correntes;pessoal e encargos sociais;indenizacoes e restituicoes trabalhistas;sem aplicacao;12000.0;0.0;0.0;0.0;0.0;0.0;2016
instituto de previdencia social do municipio de paulista   plano financeiro;instituto de previdencia previpaulista;despesas correntes;pessoal e encargos sociais;obrigacoes patronais;sem aplicacao;64000.0;99210.28;99210.28;99210.28;91906.48;92.64;2016
instituto de previdencia social do municipio de paulista   plano financeiro;instituto de previdencia previpaulista;despesas correntes;pessoal e encargos sociais;outras despesas variaveis   pessoal civil;sem aplicacao;32000.0;0.0;0.0;0.0;0.0;0.0;2016
instituto de previdencia social do municipio de paulista   plano financeiro;instituto de previdencia previpaulista;despesas correntes;pessoal e encargos sociais;outros benefic.previd.servidor ou milita;sem aplicacao;21300.0;15500.0;11382.09;11357.43;11357.43;99.78;2016
instituto de previdencia social do municipio de paulista   plano financeiro;instituto de previdencia previpaulista;despesas correntes;pessoal e encargos sociais;pensoes;sem aplicacao;6086000.0;7635281.95;7635245.18;7635245.18;7076361.03;92.68;2016
instituto de previdencia social do municipio de paulista   plano financeiro;instituto de previdencia previpaulista;despesas correntes;pessoal e encargos sociais;vencimentos e vantagens fixas   pessoal civil;sem aplicacao;730000.0;868108.77;868108.77;868108.77;802917.77;92.49;2016
instituto de previdencia social do municipio de paulista   plano financeiro;instituto de previdencia previpaulista;despesas de capital;investimentos;aquisicao de imoveis;sem aplicacao;80500.0;9810.0;0.0;0.0;0.0;0.0;2016
instituto de previdencia social do municipio de paulista   plano financeiro;instituto de previdencia previpaulista;despesas de capital;investimentos;equipamentos e material permanente;sem aplicacao;150000.0;30470.0;30470.0;30470.0;30470.0;100.0;2016
instituto de previdencia social do municipio de paulista   plano financeiro;instituto de previdencia previpaulista;despesas de capital;investimentos;obras e instalacoes;sem aplicacao;40000.0;40000.0;0.0;0.0;0.0;0.0;2016
prefeitura da cidade do paulista;controladoria geral e ouvidoria   administracao d;despesas correntes;outras despesas correntes;despesas de exercicios anteriores;sem aplicacao;2000.0;470.0;463.18;463.18;463.18;100.0;2016
prefeitura da cidade do paulista;controladoria geral e ouvidoria   administracao d;despesas correntes;outras despesas correntes;diarias   civil;sem aplicacao;9000.0;0.0;0.0;0.0;0.0;0.0;2016
prefeitura da cidade do paulista;controladoria geral e ouvidoria   administracao d;despesas correntes;outras despesas correntes;material de consumo;sem aplicacao;10000.0;9670.0;8658.21;8658.21;4737.3;54.71;2016
prefeitura da cidade do paulista;controladoria geral e ouvidoria   administracao d;despesas correntes;outras despesas correntes;obrigacoes tributarias e contributivas;sem aplicacao;6000.0;0.0;0.0;0.0;0.0;0.0;2016
prefeitura da cidade do paulista;controladoria geral e ouvidoria   administracao d;despesas correntes;outras despesas correntes;outros servicos de terceiros   pessoa fisica;sem aplicacao;11000.0;0.0;0.0;0.0;0.0;0.0;2016
prefeitura da cidade do paulista;controladoria geral e ouvidoria   administracao d;despesas correntes;outras despesas correntes;outros servicos de terceiros   pessoa juridica;sem aplicacao;105000.0;96560.0;96552.45;81475.81;60006.3;62.15;2016
prefeitura da cidade do paulista;controladoria geral e ouvidoria   administracao d;despesas correntes;outras despesas correntes;passagens e despesas com locomocao;sem aplicacao;9000.0;0.0;0.0;0.0;0.0;0.0;2016
prefeitura da cidade do paulista;controladoria geral e ouvidoria   administracao d;despesas correntes;outras despesas correntes;servicos de consultoria;sem aplicacao;40000.0;27690.0;12683.0;12683.0;10146.4;80.0;2016
prefeitura da cidade do paulista;controladoria geral e ouvidoria   administracao d;despesas correntes;pessoal e encargos sociais;outras despesas variaveis   pessoal civil;sem aplicacao;127900.0;106900.0;73551.16;68504.15;64558.8;87.77;2016
prefeitura da cidade do paulista;controladoria geral e ouvidoria   administracao d;despesas correntes;pessoal e encargos sociais;vencimentos e vantagens fixas   pessoal civil;sem aplicacao;656200.0;652800.0;582543.67;582543.67;531344.42;91.21;2016
prefeitura da cidade do paulista;controladoria geral e ouvidoria   administracao d;despesas de capital;investimentos;equipamentos e material permanente;sem aplicacao;53000.0;1080.0;1080.0;1080.0;1080.0;100.0;2016
prefeitura da cidade do paulista;controladoria geral e ouvidoria   administracao d;despesas de capital;investimentos;outros servicos de terceiros   pessoa juridica;sem aplicacao;365000.0;0.01;0.0;0.0;0.0;0.0;2016
prefeitura da cidade do paulista;encargos sob a supervisao da secretaria de financ;despesas correntes;juros e encargos da divida;encargos sobre operacoes de credito por antecipacao da receita;sem aplicacao;4900000.0;3620440.0;1691354.7;1691354.7;1691354.7;100.0;2016
prefeitura da cidade do paulista;encargos sob a supervisao da secretaria de financ;despesas correntes;juros e encargos da divida;juros sobre a divida por contrato;sem aplicacao;54200.0;1200.0;0.0;0.0;0.0;0.0;2016
prefeitura da cidade do paulista;encargos sob a supervisao da secretaria de financ;despesas correntes;juros e encargos da divida;outros encargos sobre a divida por contrato;sem aplicacao;53200.0;0.0;0.0;0.0;0.0;0.0;2016
prefeitura da cidade do paulista;encargos sob a supervisao da secretaria de financ;despesas correntes;outras despesas correntes;despesas de exercicios anteriores;sem aplicacao;3488000.0;3730671.89;2865703.37;1738833.12;1730013.84;60.37;2016
prefeitura da cidade do paulista;encargos sob a supervisao da secretaria de financ;despesas correntes;outras despesas correntes;obrigacoes tributarias e contributivas;sem aplicacao;3801000.0;4220000.0;3909738.92;3599738.92;3355041.67;85.81;2016
prefeitura da cidade do paulista;encargos sob a supervisao da secretaria de financ;despesas de capital;amortizacao da divida;principal corrigido da divida contratual refinanciado;sem aplicacao;4178700.0;2971050.0;1017977.28;1017977.28;1017977.28;100.0;2016
prefeitura da cidade do paulista;encargos sob supervisao da secretaria de administ;despesas correntes;outras despesas correntes;aporte para cobertura de defict atuarial do rpps;sem aplicacao;11600000.0;28600000.0;28600000.0;22156979.03;21156979.03;73.98;2016
prefeitura da cidade do paulista;encargos sob supervisao da secretaria de administ;despesas correntes;outras despesas correntes;auxilio alimentacao;sem aplicacao;1700.0;1220.0;693.0;693.0;693.0;100.0;2016
prefeitura da cidade do paulista;encargos sob supervisao da secretaria de administ;despesas correntes;outras despesas correntes;auxilio transporte;sem aplicacao;3100000.0;3064250.0;2573651.33;2573651.33;2434044.23;94.58;2016
prefeitura da cidade do paulista;encargos sob supervisao da secretaria de administ;despesas correntes;outras despesas correntes;despesas de exercicios anteriores;sem aplicacao;35000.0;55970.0;55963.54;55963.54;55963.54;100.0;2016
prefeitura da cidade do paulista;encargos sob supervisao da secretaria de administ;despesas correntes;outras despesas correntes;material de consumo;sem aplicacao;5000.0;3770.0;0.0;0.0;0.0;0.0;2016
prefeitura da cidade do paulista;encargos sob supervisao da secretaria de administ;despesas correntes;outras despesas correntes;outros beneficios assistenciais;sem aplicacao;110000.0;91500.0;91492.0;91492.0;73892.0;80.76;2016
prefeitura da cidade do paulista;encargos sob supervisao da secretaria de administ;despesas correntes;outras despesas correntes;outros servicos de terceiros   pessoa juridica;sem aplicacao;834300.0;2561920.0;1311360.13;1311360.13;1116298.97;85.13;2016
prefeitura da cidade do paulista;encargos sob supervisao da secretaria de administ;despesas correntes;pessoal e encargos sociais;contribuicoes patronais  19  i ;sem aplicacao;4768000.0;9624188.26;5012094.13;5012094.13;4610030.86;91.98;2016
prefeitura da cidade do paulista;encargos sob supervisao da secretaria de administ;despesas correntes;pessoal e encargos sociais;despesas de exercicios anteriores;sem aplicacao;1050000.0;505848.4;275726.9;272837.58;239910.47;87.01;2016
prefeitura da cidade do paulista;encargos sob supervisao da secretaria de administ;despesas correntes;pessoal e encargos sociais;indenizacoes e restituicoes trabalhistas;sem aplicacao;100000.0;124830.0;124825.56;121589.79;101869.49;81.61;2016
prefeitura da cidade do paulista;encargos sob supervisao da secretaria de administ;despesas correntes;pessoal e encargos sociais;obrigacoes patronais;sem aplicacao;4600000.0;5205230.8;4424458.23;4424458.23;3513613.55;79.41;2016
prefeitura da cidade do paulista;encargos sob supervisao da secretaria de administ;despesas correntes;pessoal e encargos sociais;outras despesas variaveis   pessoal civil;sem aplicacao;370000.0;478819.48;399796.49;399796.49;360764.96;90.24;2016
prefeitura da cidade do paulista;encargos sob supervisao da secretaria de administ;despesas correntes;pessoal e encargos sociais;vencimentos e vantagens fixas   pessoal civil;sem aplicacao;3200000.0;6536192.0;4534188.89;4534188.89;4195804.89;92.54;2016
prefeitura da cidade do paulista;encargos sob supervisao da secretaria de administ;despesas de capital;inversoes financeiras;vencimentos e vantagens fixas   pessoal civil;sem aplicacao;2000.0;0.0;0.0;0.0;0.0;0.0;2016
prefeitura da cidade do paulista;encargos sob supervisao da secretaria de administ;despesas de capital;inversoes financeiras;vencimentos e vantagens fixas   pessoal civil;sem aplicacao;2000.0;0.0;0.0;0.0;0.0;0.0;2016
prefeitura da cidade do paulista;fundo municipal de assitencia social   administra;despesas correntes;outras despesas correntes;auxilio alimentacao;sem aplicacao;0.0;9000.0;9000.0;9000.0;9000.0;100.0;2016
prefeitura da cidade do paulista;fundo municipal de assitencia social   administra;despesas correntes;outras despesas correntes;despesas de exercicios anteriores;sem aplicacao;0.0;11290.0;11279.8;11279.8;11279.8;100.0;2016
prefeitura da cidade do paulista;fundo municipal de assitencia social   administra;despesas correntes;outras despesas correntes;diarias   civil;sem aplicacao;18700.0;18400.0;14735.0;14735.0;14615.0;99.19;2016
prefeitura da cidade do paulista;fundo municipal de assitencia social   administra;despesas correntes;outras despesas correntes;indenizacoes e restituicoes;sem aplicacao;2000.0;2310.0;2302.5;2302.5;2302.5;100.0;2016
prefeitura da cidade do paulista;fundo municipal de assitencia social   administra;despesas correntes;outras despesas correntes;material de consumo;sem aplicacao;1612000.0;1254436.07;731916.47;607030.77;513734.3;70.19;2016
prefeitura da cidade do paulista;fundo municipal de assitencia social   administra;despesas correntes;outras despesas correntes;material de distribuicao gratuita;sem aplicacao;600000.0;540000.0;319139.7;319139.7;285681.6;89.52;2016
prefeitura da cidade do paulista;fundo municipal de assitencia social   administra;despesas correntes;outras despesas correntes;obrigacoes tributarias e contributivas;sem aplicacao;90000.0;119900.0;115012.66;113012.66;91260.0;79.35;2016
prefeitura da cidade do paulista;fundo municipal de assitencia social   administra;despesas correntes;outras despesas correntes;outros auxilios financeiros a pessoas fisicas;sem aplicacao;1600000.0;2399720.72;1969134.52;1931444.52;1608414.64;81.68;2016
prefeitura da cidade do paulista;fundo municipal de assitencia social   administra;despesas correntes;outras despesas correntes;outros servicos de terceiros   pessoa fisica;sem aplicacao;1295800.0;1020875.0;874239.64;874239.64;744761.21;85.19;2016
prefeitura da cidade do paulista;fundo municipal de assitencia social   administra;despesas correntes;outras despesas correntes;outros servicos de terceiros   pessoa juridica;sem aplicacao;1501600.0;1429165.17;1038472.44;1022025.1;870409.36;83.82;2016
prefeitura da cidade do paulista;fundo municipal de assitencia social   administra;despesas correntes;outras despesas correntes;passagens e despesas com locomocao;sem aplicacao;19400.0;19690.0;6971.02;6971.02;6971.02;100.0;2016
prefeitura da cidade do paulista;fundo municipal de assitencia social   administra;despesas correntes;outras despesas correntes;servicos de consultoria;sem aplicacao;800.0;500.0;0.0;0.0;0.0;0.0;2016
prefeitura da cidade do paulista;fundo municipal de assitencia social   administra;despesas correntes;outras despesas correntes;subvencoes sociais;sem aplicacao;1610000.0;1478320.0;1412316.33;1409816.33;1179939.33;83.55;2016
prefeitura da cidade do paulista;fundo municipal de assitencia social   administra;despesas correntes;pessoal e encargos sociais;contratacao por tempo determinado;sem aplicacao;2218500.0;2199420.0;1720213.96;1720213.96;1592433.31;92.57;2016
prefeitura da cidade do paulista;fundo municipal de assitencia social   administra;despesas correntes;pessoal e encargos sociais;outras despesas variaveis   pessoal civil;sem aplicacao;36300.0;50600.0;29822.79;28962.79;27161.04;91.07;2016
prefeitura da cidade do paulista;fundo municipal de assitencia social   administra;despesas correntes;pessoal e encargos sociais;vencimentos e vantagens fixas   pessoal civil;sem aplicacao;1526000.0;1970360.0;1250698.77;1250698.77;1148035.39;91.79;2016
prefeitura da cidade do paulista;fundo municipal de assitencia social   administra;despesas de capital;investimentos;equipamentos e material permanente;sem aplicacao;20000.0;435405.0;431645.0;410800.0;231750.0;53.69;2016
prefeitura da cidade do paulista;fundo municipal de iluminacao publica   administr;despesas correntes;outras despesas correntes;despesas de exercicios anteriores;sem aplicacao;0.0;591620.0;591617.41;591617.41;591617.41;100.0;2016
prefeitura da cidade do paulista;fundo municipal de iluminacao publica   administr;despesas correntes;outras despesas correntes;diarias   civil;sem aplicacao;1000.0;1000.0;0.0;0.0;0.0;0.0;2016
prefeitura da cidade do paulista;fundo municipal de iluminacao publica   administr;despesas correntes;outras despesas correntes;material de consumo;sem aplicacao;531000.0;531000.0;0.0;0.0;0.0;0.0;2016
prefeitura da cidade do paulista;fundo municipal de iluminacao publica   administr;despesas correntes;outras despesas correntes;outros servicos de terceiros   pessoa juridica;sem aplicacao;13810000.0;14199683.04;13298924.14;13112707.27;11481896.38;86.34;2016
prefeitura da cidade do paulista;fundo municipal de iluminacao publica   administr;despesas correntes;outras despesas correntes;passagens e despesas com locomocao;sem aplicacao;1000.0;1000.0;0.0;0.0;0.0;0.0;2016
prefeitura da cidade do paulista;fundo municipal de iluminacao publica   administr;despesas correntes;pessoal e encargos sociais;obrigacoes patronais;sem aplicacao;150000.0;150000.0;0.0;0.0;0.0;0.0;2016
prefeitura da cidade do paulista;fundo municipal de iluminacao publica   administr;despesas correntes;pessoal e encargos sociais;vencimentos e vantagens fixas   pessoal civil;sem aplicacao;851000.0;1900000.0;1900000.0;0.0;0.0;0.0;2016
prefeitura da cidade do paulista;fundo municipal de iluminacao publica   administr;despesas de capital;investimentos;equipamentos e material permanente;sem aplicacao;545000.0;545000.0;0.0;0.0;0.0;0.0;2016
prefeitura da cidade do paulista;fundo municipal de iluminacao publica   administr;despesas de capital;investimentos;outros servicos de terceiros   pessoa juridica;sem aplicacao;546000.0;546000.0;0.0;0.0;0.0;0.0;2016
prefeitura da cidade do paulista;fundo municipal de limpeza urbana e manejo de res;despesas correntes;outras despesas correntes;outros servicos de terceiros   pessoa juridica;sem aplicacao;21600400.0;23265804.46;23100951.83;22233227.01;16878353.98;73.06;2016
prefeitura da cidade do paulista;fundo municipal de seguranca publica cidada   adm;despesas correntes;outras despesas correntes;despesas de exercicios anteriores;sem aplicacao;1000.0;1000.0;619.76;619.76;619.76;100.0;2016
prefeitura da cidade do paulista;fundo municipal de seguranca publica cidada   adm;despesas correntes;outras despesas correntes;diarias   civil;sem aplicacao;5000.0;5000.0;0.0;0.0;0.0;0.0;2016
prefeitura da cidade do paulista;fundo municipal de seguranca publica cidada   adm;despesas correntes;outras despesas correntes;material de consumo;sem aplicacao;16600.0;16600.0;0.0;0.0;0.0;0.0;2016
prefeitura da cidade do paulista;fundo municipal de seguranca publica cidada   adm;despesas correntes;outras despesas correntes;outros servicos de terceiros   pessoa juridica;sem aplicacao;243300.0;432500.0;328028.68;328028.68;210614.78;64.21;2016
prefeitura da cidade do paulista;fundo municipal de seguranca publica cidada   adm;despesas correntes;outras despesas correntes;passagens e despesas com locomocao;sem aplicacao;3000.0;3000.0;0.0;0.0;0.0;0.0;2016
prefeitura da cidade do paulista;fundo municipal de seguranca publica cidada   adm;despesas correntes;outras despesas correntes;servicos de consultoria;sem aplicacao;2000.0;2000.0;0.0;0.0;0.0;0.0;2016
prefeitura da cidade do paulista;fundo municipal de seguranca publica cidada   adm;despesas correntes;pessoal e encargos sociais;outras despesas variaveis   pessoal civil;sem aplicacao;54700.0;56800.0;11627.64;10577.64;10098.18;86.85;2016
prefeitura da cidade do paulista;fundo municipal de seguranca publica cidada   adm;despesas correntes;pessoal e encargos sociais;vencimentos e vantagens fixas   pessoal civil;sem aplicacao;603100.0;535265.0;373484.25;364529.25;334436.08;89.54;2016
prefeitura da cidade do paulista;fundo municipal de seguranca publica cidada   adm;despesas de capital;investimentos;equipamentos e material permanente;sem aplicacao;2000.0;2000.0;0.0;0.0;0.0;0.0;2016
prefeitura da cidade do paulista;gabinete do prefeito   administracao direta ;despesas correntes;outras despesas correntes;auxilio alimentacao;sem aplicacao;0.0;730.0;729.0;729.0;729.0;100.0;2016
prefeitura da cidade do paulista;gabinete do prefeito   administracao direta ;despesas correntes;outras despesas correntes;contribuicoes;sem aplicacao;55000.0;110000.0;108873.0;81373.0;81373.0;74.74;2016
