Órgão;Unidade;Categoria Econômica;Grupo de despesa;Elemento;Subelemento;Dotação Inicial;Dotação Atualizada;Empenhado (P);Liquidado;Pago (P);P/E
;;;;;"SEM APLICACAO";1.000,00;1.000,00;0,00;0,00;0,00;0,00
;;;;"Servicos de Consultoria";;1.000,00;1.000,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";1.000,00;1.000,00;0,00;0,00;0,00;0,00
;;;;"Subvencoes Sociais";;989.300,00;989.300,00;959.111,95;959.111,95;959.111,95;100,00
;;;;;"SEM APLICACAO";989.300,00;989.300,00;959.111,95;959.111,95;959.111,95;100,00
;;"DESPESAS DE CAPITAL";;;;3.700,00;21.050,00;3.370,58;3.370,58;3.370,58;100,00
;;;"INVESTIMENTOS";;;3.700,00;21.050,00;3.370,58;3.370,58;3.370,58;100,00
;;;;"Equipamentos e Material Permanente";;3.700,00;21.050,00;3.370,58;3.370,58;3.370,58;100,00
;;;;;"SEM APLICACAO";3.700,00;21.050,00;3.370,58;3.370,58;3.370,58;100,00
"Fundo de Saude da Cidade do Paulista";;;;;;104.822.600,00;122.815.150,00;117.668.331,95;111.683.951,47;110.008.314,76;93,49
;"FUNDO MUNICIPAL DE SAUDE";;;;;104.822.600,00;122.815.150,00;117.668.331,95;111.683.951,47;110.008.314,76;93,49
;;"DESPESAS CORRENTES";;;;101.530.600,00;116.233.910,38;111.432.087,57;105.558.541,09;104.001.666,60;93,33
;;;"OUTRAS DESPESAS CORRENTES";;;40.141.600,00;42.216.360,38;38.937.398,63;36.696.329,17;36.217.838,80;93,02
;;;;"Auxilio Alimentacao";;0,00;377.790,00;377.773,80;345.816,50;345.816,50;91,54
;;;;;"SEM APLICACAO";0,00;377.790,00;377.773,80;345.816,50;345.816,50;91,54
;;;;"Auxilio Fardamento";;0,00;79.240,00;79.236,00;79.236,00;79.236,00;100,00
;;;;;"SEM APLICACAO";0,00;79.240,00;79.236,00;79.236,00;79.236,00;100,00
;;;;"Auxilio Transporte";;2.885.000,00;2.750.000,00;2.750.000,00;2.568.587,81;2.568.587,81;93,40
;;;;;"SEM APLICACAO";2.885.000,00;2.750.000,00;2.750.000,00;2.568.587,81;2.568.587,81;93,40
;;;;"Despesas de Exercicios Anteriores";;141.000,00;98.219,47;98.123,65;97.988,17;97.988,17;99,86
;;;;;"SEM APLICACAO";141.000,00;98.219,47;98.123,65;97.988,17;97.988,17;99,86
;;;;"Diarias   Civil";;33.000,00;1.580,00;1.580,00;1.580,00;1.580,00;100,00
;;;;;"SEM APLICACAO";33.000,00;1.580,00;1.580,00;1.580,00;1.580,00;100,00
;;;;"Indenizacoes e Restituicoes";;85.000,00;508.930,00;478.030,05;448.030,05;448.030,05;93,72
;;;;;"SEM APLICACAO";85.000,00;508.930,00;478.030,05;448.030,05;448.030,05;93,72
;;;;"Locacao de Mao de Obra";;3.449.600,00;3.702.200,00;3.695.066,52;3.614.099,51;3.350.858,39;90,68
;;;;;"SEM APLICACAO";3.449.600,00;3.702.200,00;3.695.066,52;3.614.099,51;3.350.858,39;90,68
;;;;"Material de Consumo";;10.489.000,00;13.012.998,48;11.388.873,67;11.008.497,14;10.982.682,74;96,43
;;;;;"SEM APLICACAO";10.489.000,00;13.012.998,48;11.388.873,67;11.008.497,14;10.982.682,74;96,43
;;;;"Material de Distribuicao Gratuita";;0,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";0,00;0,00;0,00;0,00;0,00;0,00
;;;;"Obrigacoes Tributarias e Contributivas";;8.000,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";8.000,00;0,00;0,00;0,00;0,00;0,00
;;;;"Outros Auxilios Financeiros a Pessoas Fisicas";;900.000,00;776.900,00;776.900,00;776.900,00;776.900,00;100,00
;;;;;"SEM APLICACAO";900.000,00;776.900,00;776.900,00;776.900,00;776.900,00;100,00
;;;;"Outros Servicos de Terceiros   Pessoa Fisica";;852.000,00;938.100,00;344.413,28;312.646,76;312.646,76;90,78
;;;;;"SEM APLICACAO";852.000,00;938.100,00;344.413,28;312.646,76;312.646,76;90,78
;;;;"Outros Servicos de Terceiros   Pessoa Juridica";;21.234.000,00;19.966.282,43;18.943.284,94;17.438.830,51;17.249.395,66;91,06
;;;;;"SEM APLICACAO";21.234.000,00;19.966.282,43;18.943.284,94;17.438.830,51;17.249.395,66;91,06
;;;;"Passagens e Despesas com Locomocao";;65.000,00;4.120,00;4.116,72;4.116,72;4.116,72;100,00
;;;;;"SEM APLICACAO";65.000,00;4.120,00;4.116,72;4.116,72;4.116,72;100,00
;;;"PESSOAL E ENCARGOS SOCIAIS";;;61.389.000,00;74.017.550,00;72.494.688,94;68.862.211,92;67.783.827,80;93,50
;;;;"Contratacao por Tempo Determinado";;183.000,00;4.163.520,00;4.067.429,16;3.792.661,47;3.536.257,09;86,94
;;;;;"SEM APLICACAO";183.000,00;4.163.520,00;4.067.429,16;3.792.661,47;3.536.257,09;86,94
;;;;"Contribuicoes Patronais  19  I ";;9.819.000,00;11.703.620,00;11.703.600,09;11.703.600,09;10.942.106,03;93,49
;;;;;"SEM APLICACAO";8.300.000,00;9.692.020,00;9.692.010,58;9.692.010,58;8.930.516,52;92,14
;;;;"Indenizacoes e Restituicoes Trabalhistas";;30.000,00;530.500,00;525.684,90;525.684,90;524.651,57;99,80
;;;;;"SEM APLICACAO";30.000,00;530.500,00;525.684,90;525.684,90;524.651,57;99,80
;;;;"Obrigacoes Patronais";;9.819.000,00;11.703.620,00;11.703.600,09;11.703.600,09;10.942.106,03;93,49
;;;;;"SEM APLICACAO";1.519.000,00;2.011.600,00;2.011.589,51;2.011.589,51;2.011.589,51;100,00
;;;;"Outras Despesas Variaveis   Pessoal Civil";;2.334.000,00;2.225.810,00;2.199.806,56;2.064.577,49;2.063.501,17;93,80
;;;;;"SEM APLICACAO";2.334.000,00;2.225.810,00;2.199.806,56;2.064.577,49;2.063.501,17;93,80
;;;;"Vencimentos e Vantagens Fixas   Pessoal Civil";;49.023.000,00;55.394.100,00;53.998.168,23;50.775.687,97;50.717.311,94;93,92
;;;;;"SEM APLICACAO";49.023.000,00;55.394.100,00;53.998.168,23;50.775.687,97;50.717.311,94;93,92
;;"DESPESAS DE CAPITAL";;;;3.292.000,00;6.581.239,62;6.236.244,38;6.125.410,38;6.006.648,16;96,32
;;;"INVESTIMENTOS";;;3.292.000,00;6.581.239,62;6.236.244,38;6.125.410,38;6.006.648,16;96,32
;;;;"Despesas de Exercicios Anteriores";;0,00;16.256,00;16.256,00;16.256,00;16.256,00;100,00
;;;;;"SEM APLICACAO";0,00;16.256,00;16.256,00;16.256,00;16.256,00;100,00
;;;;"Equipamentos e Material Permanente";;484.000,00;3.180.533,62;2.987.951,67;2.877.117,67;2.872.833,67;96,15
;;;;;"SEM APLICACAO";484.000,00;3.180.533,62;2.987.951,67;2.877.117,67;2.872.833,67;96,15
;;;;"Obras e Instalacoes";;2.808.000,00;3.384.450,00;3.232.036,71;3.232.036,71;3.117.558,49;96,46
;;;;;"SEM APLICACAO";2.808.000,00;3.384.450,00;3.232.036,71;3.232.036,71;3.117.558,49;96,46
"Instituto de Previdencia Social do Municipio de Paulista   Plano Financeiro";;;;;;81.139.700,00;89.234.750,00;89.105.633,63;89.105.633,63;89.092.831,14;99,99
;"INSTITUTO DE PREVIDENCIA SOCIAL DO MUNICIPIO DO PAULISTA   PLANO FINANCEIRO";;;;;81.139.700,00;89.234.750,00;89.105.633,63;89.105.633,63;89.092.831,14;99,99
;;"DESPESAS CORRENTES";;;;81.094.700,00;89.233.450,00;89.104.333,63;89.104.333,63;89.091.531,14;99,99
;;;"OUTRAS DESPESAS CORRENTES";;;1.584.600,00;1.217.680,00;1.167.893,36;1.167.893,36;1.167.893,36;100,00
;;;;"Despesas de Exercicios Anteriores";;2.700,00;42.580,00;42.578,88;42.578,88;42.578,88;100,00
;;;;;"SEM APLICACAO";2.700,00;42.580,00;42.578,88;42.578,88;42.578,88;100,00
;;;;"Diarias   Civil";;19.600,00;790,00;790,00;790,00;790,00;100,00
;;;;;"SEM APLICACAO";19.600,00;790,00;790,00;790,00;790,00;100,00
;;;;"Indenizacoes e Restituicoes";;3.000,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";3.000,00;0,00;0,00;0,00;0,00;0,00
;;;;"Material de Consumo";;75.000,00;8.720,00;8.718,64;8.718,64;8.718,64;100,00
;;;;;"SEM APLICACAO";75.000,00;8.720,00;8.718,64;8.718,64;8.718,64;100,00
;;;;"Obrigacoes Tributarias e Contributivas";;5.000,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";5.000,00;0,00;0,00;0,00;0,00;0,00
;;;;"Outros Servicos de Terceiros   Pessoa Fisica";;25.000,00;4.200,00;4.200,00;4.200,00;4.200,00;100,00
;;;;;"SEM APLICACAO";25.000,00;4.200,00;4.200,00;4.200,00;4.200,00;100,00
;;;;"Outros Servicos de Terceiros   Pessoa Juridica";;755.000,00;528.870,00;528.290,63;528.290,63;528.290,63;100,00
;;;;;"SEM APLICACAO";755.000,00;528.870,00;528.290,63;528.290,63;528.290,63;100,00
;;;;"Passagens e Despesas com Locomocao";;43.000,00;2.000,00;1.994,77;1.994,77;1.994,77;100,00
;;;;;"SEM APLICACAO";43.000,00;2.000,00;1.994,77;1.994,77;1.994,77;100,00
;;;;"Servicos de Consultoria";;437.300,00;294.560,00;245.370,00;245.370,00;245.370,00;100,00
;;;;;"SEM APLICACAO";437.300,00;294.560,00;245.370,00;245.370,00;245.370,00;100,00
;;;;"Servicos de Tecnologia da Informacao e Comunicacao";;219.000,00;335.960,00;335.950,44;335.950,44;335.950,44;100,00
;;;;;"SEM APLICACAO";219.000,00;335.960,00;335.950,44;335.950,44;335.950,44;100,00
;;;"PESSOAL E ENCARGOS SOCIAIS";;;79.510.100,00;88.015.770,00;87.936.440,27;87.936.440,27;87.923.637,78;99,99
;;;;"Aposentadorias  Reserva Remunerada e Reformas";;68.193.300,00;76.864.456,00;76.864.423,89;76.864.423,89;76.864.423,89;100,00
;;;;;"SEM APLICACAO";68.193.300,00;76.864.456,00;76.864.423,89;76.864.423,89;76.864.423,89;100,00
;;;;"Indenizacoes e Restituicoes Trabalhistas";;10.000,00;4.700,00;4.691,67;4.691,67;4.691,67;100,00
;;;;;"SEM APLICACAO";10.000,00;4.700,00;4.691,67;4.691,67;4.691,67;100,00
;;;;"Obrigacoes Patronais";;131.500,00;269.550,00;261.617,93;261.617,93;248.815,44;95,11
;;;;;"SEM APLICACAO";131.500,00;269.550,00;261.617,93;261.617,93;248.815,44;95,11
;;;;"Outras Despesas Variaveis   Pessoal Civil";;10.000,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";10.000,00;0,00;0,00;0,00;0,00;0,00
;;;;"Outros Beneficios Assistenciais  3  I ";;8.500,00;10.330,00;9.761,00;9.761,00;9.761,00;100,00
;;;;;"SEM APLICACAO";8.500,00;10.330,00;9.761,00;9.761,00;9.761,00;100,00
;;;;"Pensoes";;9.513.800,00;9.590.874,00;9.590.855,64;9.590.855,64;9.590.855,64;100,00
;;;;;"SEM APLICACAO";9.513.800,00;9.590.874,00;9.590.855,64;9.590.855,64;9.590.855,64;100,00
;;;;"Sentencas Judiciais";;301.000,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";301.000,00;0,00;0,00;0,00;0,00;0,00
;;;;"Vencimentos e Vantagens Fixas   Pessoal Civil";;1.342.000,00;1.275.860,00;1.205.090,14;1.205.090,14;1.205.090,14;100,00
;;;;;"SEM APLICACAO";1.342.000,00;1.275.860,00;1.205.090,14;1.205.090,14;1.205.090,14;100,00
;;"DESPESAS DE CAPITAL";;;;45.000,00;1.300,00;1.300,00;1.300,00;1.300,00;100,00
;;;"INVESTIMENTOS";;;45.000,00;1.300,00;1.300,00;1.300,00;1.300,00;100,00
;;;;"Aquisicao de Imoveis";;10.000,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";10.000,00;0,00;0,00;0,00;0,00;0,00
;;;;"Equipamentos e Material Permanente";;25.000,00;1.300,00;1.300,00;1.300,00;1.300,00;100,00
;;;;;"SEM APLICACAO";25.000,00;1.300,00;1.300,00;1.300,00;1.300,00;100,00
;;;;"Obras e Instalacoes";;10.000,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";10.000,00;0,00;0,00;0,00;0,00;0,00
"Instituto de Previdencia Social do Municipio de Paulista   Plano Previdenciario";;;;;;10.493.000,00;2.397.950,00;347,02;347,02;347,02;100,00
;"INSTITUTO DE PREVIDENCIA SOCIAL DO MUNICIPIO DO PAULISTA   PLANO PREVIDENCIARIO";;;;;10.493.000,00;2.397.950,00;347,02;347,02;347,02;100,00
;;"DESPESAS CORRENTES";;;;230.000,00;1.000,00;347,02;347,02;347,02;100,00
;;;"OUTRAS DESPESAS CORRENTES";;;5.000,00;1.000,00;347,02;347,02;347,02;100,00
;;;;"Outros Servicos de Terceiros   Pessoa Juridica";;5.000,00;1.000,00;347,02;347,02;347,02;100,00
;;;;;"SEM APLICACAO";5.000,00;1.000,00;347,02;347,02;347,02;100,00
;;;"PESSOAL E ENCARGOS SOCIAIS";;;225.000,00;0,00;0,00;0,00;0,00;0,00
;;;;"Aposentadorias  Reserva Remunerada e Reformas";;100.000,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";100.000,00;0,00;0,00;0,00;0,00;0,00
;;;;"Obrigacoes Patronais";;0,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";0,00;0,00;0,00;0,00;0,00;0,00
;;;;"Outros Benefic.Previd.Servidor ou Milita";;5.000,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";5.000,00;0,00;0,00;0,00;0,00;0,00
;;;;"Pensoes";;120.000,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";120.000,00;0,00;0,00;0,00;0,00;0,00
;;"Reserva de Contingencia";;;;10.263.000,00;2.396.950,00;0,00;0,00;0,00;0,00
;;;"Reserva de Contingencia";;;10.263.000,00;2.396.950,00;0,00;0,00;0,00;0,00
;;;;"Reserva do RPPS";;10.263.000,00;2.396.950,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";10.263.000,00;2.396.950,00;0,00;0,00;0,00;0,00
"Prefeitura da Cidade do Paulista";;;;;;477.575.900,00;486.962.959,04;375.969.220,46;363.008.113,64;360.035.728,56;95,76
;"ENCARGOS SOB A SUPERVISAO DA SECRETARIA DE FINANCAS";;;;;11.080.000,00;10.957.950,00;10.917.474,24;10.529.174,24;10.525.321,64;96,41
;;"DESPESAS CORRENTES";;;;10.561.000,00;10.378.740,00;10.372.970,86;9.984.670,86;9.980.818,26;96,22
;;;"JUROS E ENCARGOS DA DIVIDA";;;3.612.000,00;189.500,00;189.496,43;189.496,43;189.496,43;100,00
;;;;"Encargos sobre Operacoes de Credito por Antecipacao da Receita";;456.000,00;189.500,00;189.496,43;189.496,43;189.496,43;100,00
;;;;;"SEM APLICACAO";456.000,00;189.500,00;189.496,43;189.496,43;189.496,43;100,00
;;;;"Juros sobre a Divida por Contrato";;3.151.000,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";3.151.000,00;0,00;0,00;0,00;0,00;0,00
;;;;"Outros Encargos sobre a Divida por Contrato";;5.000,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";5.000,00;0,00;0,00;0,00;0,00;0,00
;;;"OUTRAS DESPESAS CORRENTES";;;6.949.000,00;10.189.240,00;10.183.474,43;9.795.174,43;9.791.321,83;96,15
;;;;"Despesas de Exercicios Anteriores";;1.749.000,00;3.663.240,00;3.657.483,58;3.657.483,58;3.657.483,58;100,00
;;;;;"SEM APLICACAO";1.749.000,00;3.663.240,00;3.657.483,58;3.657.483,58;3.657.483,58;100,00
;;;;"Obrigacoes Tributarias e Contributivas";;5.200.000,00;6.526.000,00;6.525.990,85;6.137.690,85;6.133.838,25;93,99
;;;;;"SEM APLICACAO";5.200.000,00;6.526.000,00;6.525.990,85;6.137.690,85;6.133.838,25;93,99
;;"DESPESAS DE CAPITAL";;;;519.000,00;579.210,00;544.503,38;544.503,38;544.503,38;100,00
;;;"AMORTIZACAO DA DIVIDA";;;519.000,00;579.210,00;544.503,38;544.503,38;544.503,38;100,00
;;;;"Principal Corrigido da Divida Contratual Refinanciado";;267.000,00;129.000,00;105.051,88;105.051,88;105.051,88;100,00
;;;;;"SEM APLICACAO";267.000,00;129.000,00;105.051,88;105.051,88;105.051,88;100,00
;;;;"Principal da Divida Contratual Resgatado";;252.000,00;450.210,00;439.451,50;439.451,50;439.451,50;100,00
;;;;;"SEM APLICACAO";252.000,00;450.210,00;439.451,50;439.451,50;439.451,50;100,00
;"ENCARGOS SOB SUPERVISAO DA SECRETARIA DE ADMINISTRACAO";;;;;23.847.000,00;28.222.480,00;28.105.638,98;27.258.294,42;26.824.612,17;95,44
;;"DESPESAS CORRENTES";;;;23.846.000,00;28.222.480,00;28.105.638,98;27.258.294,42;26.824.612,17;95,44
;;;"OUTRAS DESPESAS CORRENTES";;;4.929.700,00;3.475.630,00;3.359.058,46;3.225.931,22;3.210.303,45;95,57
;;;;"Aporte para Cobertura de Defit Atuarial do RPPS";;5.000,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";5.000,00;0,00;0,00;0,00;0,00;0,00
;;;;"Auxilio Alimentacao";;5.000,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";5.000,00;0,00;0,00;0,00;0,00;0,00
;;;;"Auxilio Transporte";;3.590.900,00;1.757.350,00;1.757.337,37;1.757.337,37;1.757.337,37;100,00
;;;;;"SEM APLICACAO";3.590.900,00;1.757.350,00;1.757.337,37;1.757.337,37;1.757.337,37;100,00
;;;;"Despesas de Exercicios Anteriores";;95.000,00;148.460,00;148.449,34;146.982,94;146.982,94;99,01
;;;;;"SEM APLICACAO";95.000,00;148.460,00;148.449,34;146.982,94;146.982,94;99,01
;;;;"Material de Consumo";;1.000,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";1.000,00;0,00;0,00;0,00;0,00;0,00
;;;;"Outros Beneficios Assistenciais";;50.000,00;58.480,00;58.472,00;56.394,00;43.854,00;75,00
;;;;;"SEM APLICACAO";50.000,00;58.480,00;58.472,00;56.394,00;43.854,00;75,00
;;;;"Outros Servicos de Terceiros   Pessoa Juridica";;1.182.800,00;1.511.340,00;1.394.799,75;1.265.216,91;1.262.129,14;90,49
;;;;;"SEM APLICACAO";1.182.800,00;1.511.340,00;1.394.799,75;1.265.216,91;1.262.129,14;90,49
;;;"PESSOAL E ENCARGOS SOCIAIS";;;18.916.300,00;24.746.850,00;24.746.580,52;24.032.363,20;23.614.308,72;95,42
;;;;"Contribuicoes Patronais  19  I ";;14.259.100,00;16.633.000,00;16.632.981,64;16.267.453,12;16.030.720,79;96,38
;;;;;"SEM APLICACAO";10.093.100,00;12.839.420,00;12.839.413,08;12.839.413,08;12.839.413,08;100,00
;;;;"Despesas de Exercicios Anteriores";;5.000,00;4.170,00;4.156,00;4.156,00;4.156,00;100,00
;;;;;"SEM APLICACAO";5.000,00;4.170,00;4.156,00;4.156,00;4.156,00;100,00
;;;;"Indenizacoes e Restituicoes Trabalhistas";;5.000,00;2.604.560,00;2.604.333,87;2.255.645,07;2.074.322,92;79,65
;;;;;"SEM APLICACAO";5.000,00;2.604.560,00;2.604.333,87;2.255.645,07;2.074.322,92;79,65
;;;;"Obrigacoes Patronais";;14.259.100,00;16.633.000,00;16.632.981,64;16.267.453,12;16.030.720,79;96,38
;;;;;"SEM APLICACAO";4.166.000,00;3.793.580,00;3.793.568,56;3.428.040,04;3.191.307,71;84,12
;;;;"Outras Despesas Variaveis   Pessoal Civil";;235.800,00;179.180,00;179.178,41;179.178,41;179.178,41;100,00
;;;;;"SEM APLICACAO";235.800,00;179.180,00;179.178,41;179.178,41;179.178,41;100,00
;;;;"Vencimentos e Vantagens Fixas   Pessoal Civil";;4.411.400,00;5.325.940,00;5.325.930,60;5.325.930,60;5.325.930,60;100,00
;;;;;"SEM APLICACAO";4.411.400,00;5.325.940,00;5.325.930,60;5.325.930,60;5.325.930,60;100,00
;;"DESPESAS DE CAPITAL";;;;1.000,00;0,00;0,00;0,00;0,00;0,00
;;;"INVERSOES FINANCEIRAS";;;1.000,00;0,00;0,00;0,00;0,00;0,00
;;;;"Contribuicoes";;1.000,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";1.000,00;0,00;0,00;0,00;0,00;0,00
;"FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL   ADMINISTRACAO DIRETA";;;;;11.537.500,00;15.973.396,00;14.803.006,95;13.274.759,58;12.797.634,18;86,45
;;"DESPESAS CORRENTES";;;;11.500.500,00;15.916.610,00;14.746.235,57;13.254.977,40;12.777.852,00;86,65
;;;"OUTRAS DESPESAS CORRENTES";;;7.531.000,00;12.185.490,00;11.089.530,86;9.598.272,69;9.121.147,29;82,25
;;;;"Auxilio Alimentacao";;109.700,00;94.750,00;94.746,95;90.546,95;90.546,95;95,57
;;;;;"SEM APLICACAO";109.700,00;94.750,00;94.746,95;90.546,95;90.546,95;95,57
;;;;"Despesas de Exercicios Anteriores";;13.000,00;25.073,00;25.071,91;25.071,91;25.071,91;100,00
;;;;;"SEM APLICACAO";13.000,00;25.073,00;25.071,91;25.071,91;25.071,91;100,00
