Categoria Econômica;Grupo de despesa;Elemento;Subelemento;Dotação Inicial;Dotação Atualizada;Empenhado (E);Liquidado;Pago (P)
;;"Contribuicoes";;130.500,00;124.110,00;123.646,96;117.146,96;117.146,96
;;;"Contribuicoes";130.500,00;124.110,00;123.646,96;117.146,96;117.146,96
;;"Subvencoes Sociais";;2.245.300,00;2.302.918,00;2.272.727,95;1.804.279,65;1.795.621,65
;;;"Subvencoes Sociais";2.245.300,00;2.302.918,00;2.272.727,95;1.804.279,65;1.795.621,65
;;"Auxilio Alimentacao";;349.000,00;2.622.730,00;2.618.103,45;2.581.946,15;2.581.946,15
;;;"Auxilio Alimentacao";349.000,00;2.622.730,00;2.618.103,45;2.581.946,15;2.581.946,15
;;"Obrigacoes Tributarias e Contributivas";;5.290.000,00;6.666.630,00;6.603.990,47;6.214.735,81;6.202.901,18
;;;"Obrigacoes Tributarias e Contributivas";5.290.000,00;6.666.630,00;6.603.990,47;6.214.735,81;6.202.901,18
;;"Outros Auxilios Financeiros a Pessoas Fisicas";;2.680.000,00;6.109.830,00;5.590.263,47;5.589.263,47;4.365.813,47
;;;"Outros Auxilios Financeiros a Pessoas Fisicas";2.680.000,00;6.109.830,00;5.590.263,47;5.589.263,47;4.365.813,47
;;"Auxilio Transporte";;11.078.400,00;5.170.450,00;5.158.187,18;4.975.019,07;4.974.778,27
;;;"Auxilio Transporte";11.078.400,00;5.170.450,00;5.158.187,18;4.975.019,07;4.974.778,27
;;"Sentencas Judiciais";;448.000,00;116.980,00;116.970,19;116.970,19;116.970,19
;;;"Sentencas Judiciais";448.000,00;116.980,00;116.970,19;116.970,19;116.970,19
;;"Despesas de Exercicios Anteriores";;2.515.500,00;5.587.984,17;5.581.561,04;5.579.959,16;5.579.959,16
;;;"Despesas de Exercicios Anteriores";2.515.500,00;5.587.984,17;5.581.561,04;5.579.959,16;5.579.959,16
;;"Indenizacoes e Restituicoes";;279.000,00;9.226.412,00;8.948.741,39;8.814.591,68;8.770.672,90
;;;"Indenizacoes e Restituicoes";279.000,00;9.226.412,00;8.948.741,39;8.814.591,68;8.770.672,90
;;"Aporte para Cobertura de Defit Atuarial do RPPS";;5.000,00;0,00;0,00;0,00;0,00
;;;"Aporte para Cobertura de Defit Atuarial do RPPS";5.000,00;0,00;0,00;0,00;0,00
"DESPESAS DE CAPITAL";;;;131.440.600,00;118.381.903,62;28.734.229,84;26.964.595,97;26.845.833,75
;"INVESTIMENTOS";;;130.920.600,00;117.802.693,62;28.189.726,46;26.420.092,59;26.301.330,37
;;"Servicos de Consultoria";;3.554.000,00;8.000,00;0,00;0,00;0,00
;;;"Servicos de Consultoria";3.554.000,00;8.000,00;0,00;0,00;0,00
;;"Outros Servicos de Terceiros   Pessoa Juridica";;4.536.000,00;11.430,00;11.421,16;11.421,16;11.421,16
;;;"Outros Servicos de Terceiros   Pessoa Juridica";4.536.000,00;11.430,00;11.421,16;11.421,16;11.421,16
;;"Contribuicoes";;6.700,00;0,00;0,00;0,00;0,00
;;;"Contribuicoes";6.700,00;0,00;0,00;0,00;0,00
;;"Obras e Instalacoes";;117.313.500,00;97.609.818,00;13.180.156,45;11.762.199,00;11.647.720,78
;;;"Obras e Instalacoes";117.313.500,00;97.609.818,00;13.180.156,45;11.762.199,00;11.647.720,78
;;"Equipamentos e Material Permanente";;5.120.800,00;18.278.149,62;13.126.335,48;12.774.659,06;12.770.375,06
;;;"Equipamentos e Material Permanente";5.120.800,00;18.278.149,62;13.126.335,48;12.774.659,06;12.770.375,06
;;"Aquisicao de Imoveis";;24.500,00;0,00;0,00;0,00;0,00
;;;"Aquisicao de Imoveis";24.500,00;0,00;0,00;0,00;0,00
;;"Despesas de Exercicios Anteriores";;228.000,00;330.446,00;312.971,29;312.971,29;312.971,29
;;;"Despesas de Exercicios Anteriores";228.000,00;330.446,00;312.971,29;312.971,29;312.971,29
;;"Indenizacoes e Restituicoes";;137.100,00;1.564.850,00;1.558.842,08;1.558.842,08;1.558.842,08
;;;"Indenizacoes e Restituicoes";137.100,00;1.564.850,00;1.558.842,08;1.558.842,08;1.558.842,08
;"INVERSOES FINANCEIRAS";;;1.000,00;0,00;0,00;0,00;0,00
;;"Contribuicoes";;1.000,00;0,00;0,00;0,00;0,00
;;;"Contribuicoes";1.000,00;0,00;0,00;0,00;0,00
;"AMORTIZACAO DA DIVIDA";;;519.000,00;579.210,00;544.503,38;544.503,38;544.503,38
;;"Principal da Divida Contratual Resgatado";;252.000,00;450.210,00;439.451,50;439.451,50;439.451,50
;;;"Principal da Divida Contratual Resgatado";252.000,00;450.210,00;439.451,50;439.451,50;439.451,50
;;"Principal Corrigido da Divida Contratual Refinanciado";;267.000,00;129.000,00;105.051,88;105.051,88;105.051,88
;;;"Principal Corrigido da Divida Contratual Refinanciado";267.000,00;129.000,00;105.051,88;105.051,88;105.051,88
"Reserva de Contingencia";;;;14.263.000,00;2.396.950,00;0,00;0,00;0,00
;"Reserva de Contingencia";;;14.263.000,00;2.396.950,00;0,00;0,00;0,00
;;"Reserva do RPPS";;10.263.000,00;2.396.950,00;0,00;0,00;0,00
;;;"Reserva do RPPS";10.263.000,00;2.396.950,00;0,00;0,00;0,00
;;"Reserva de Contingencia";;4.000.000,00;0,00;0,00;0,00;0,00
;;;"Reserva de Contingencia";4.000.000,00;0,00;0,00;0,00;0,00
