Categoria Econômica;Grupo de despesa;Elemento;Subelemento;Dotação Inicial;Dotação Atualizada;Empenhado (E);Liquidado;Pago (P)
;;"Indenizacoes e Restituicoes";;444.800,00;4.922.406,57;2.995.313,20;2.748.659,86;2.745.842,43
;;;"Indenizacoes e Restituicoes";444.800,00;4.922.406,57;2.995.313,20;2.748.659,86;2.745.842,43
;;"Aporte para Cobertura de Defit Atuarial do RPPS";;1.000,00;0,00;0,00;0,00;0,00
;;;"Aporte para Cobertura de Defit Atuarial do RPPS";1.000,00;0,00;0,00;0,00;0,00
"DESPESAS DE CAPITAL";;;;72.290.200,00;58.915.601,00;21.257.512,04;17.368.773,54;15.697.933,61
;"INVESTIMENTOS";;;71.629.200,00;58.376.541,00;20.718.460,86;16.829.722,36;15.158.882,43
;;"Servicos de Consultoria";;655.000,00;898.780,00;49.998,00;49.998,00;49.998,00
;;;"Servicos de Consultoria";655.000,00;898.780,00;49.998,00;49.998,00;49.998,00
;;"Outros Servicos de Terceiros   Pessoa Juridica";;2.048.000,00;1.250.675,00;822.246,93;50.496,93;50.496,93
;;;"Outros Servicos de Terceiros   Pessoa Juridica";2.048.000,00;1.250.675,00;822.246,93;50.496,93;50.496,93
;;"Contribuicoes";;6.700,00;0,00;0,00;0,00;0,00
;;;"Contribuicoes";6.700,00;0,00;0,00;0,00;0,00
;;"Obras e Instalacoes";;58.049.900,00;49.773.103,00;13.534.352,79;11.665.381,96;10.510.108,15
;;;"Obras e Instalacoes";58.049.900,00;49.773.103,00;13.534.352,79;11.665.381,96;10.510.108,15
;;"Equipamentos e Material Permanente";;7.881.500,00;4.807.573,00;4.668.126,57;3.947.182,22;3.431.616,10
;;;"Equipamentos e Material Permanente";7.881.500,00;4.807.573,00;4.668.126,57;3.947.182,22;3.431.616,10
;;"Aquisicao de Imoveis";;12.000,00;0,00;0,00;0,00;0,00
;;;"Aquisicao de Imoveis";12.000,00;0,00;0,00;0,00;0,00
;;"Despesas de Exercicios Anteriores";;1.608.000,00;1.645.510,00;1.643.736,57;1.116.663,25;1.116.663,25
;;;"Despesas de Exercicios Anteriores";1.608.000,00;1.645.510,00;1.643.736,57;1.116.663,25;1.116.663,25
;;"Indenizacoes e Restituicoes";;1.368.100,00;900,00;0,00;0,00;0,00
;;;"Indenizacoes e Restituicoes";1.368.100,00;900,00;0,00;0,00;0,00
;"INVERSOES FINANCEIRAS";;;1.000,00;0,00;0,00;0,00;0,00
;;"Contribuicoes";;1.000,00;0,00;0,00;0,00;0,00
;;;"Contribuicoes";1.000,00;0,00;0,00;0,00;0,00
;"AMORTIZACAO DA DIVIDA";;;660.000,00;539.060,00;539.051,18;539.051,18;539.051,18
;;"Principal da Divida Contratual Resgatado";;150.000,00;314.580,00;314.578,38;314.578,38;314.578,38
;;;"Principal da Divida Contratual Resgatado";150.000,00;314.580,00;314.578,38;314.578,38;314.578,38
;;"Principal Corrigido da Divida Contratual Refinanciado";;510.000,00;224.480,00;224.472,80;224.472,80;224.472,80
;;;"Principal Corrigido da Divida Contratual Refinanciado";510.000,00;224.480,00;224.472,80;224.472,80;224.472,80
"Reserva de Contingencia";;;;5.717.000,00;0,00;0,00;0,00;0,00
;"Reserva de Contingencia";;;5.717.000,00;0,00;0,00;0,00;0,00
;;"Reserva do RPPS";;2.667.000,00;0,00;0,00;0,00;0,00
;;;"Reserva do RPPS";2.667.000,00;0,00;0,00;0,00;0,00
;;"Reserva de Contingencia";;3.050.000,00;0,00;0,00;0,00;0,00
;;;"Reserva de Contingencia";3.050.000,00;0,00;0,00;0,00;0,00
