Órgão;Unidade;Categoria Econômica;Grupo de despesa;Elemento;Subelemento;Dotação Inicial;Dotação Atualizada;Empenhado (P);Liquidado;Pago (P);P/E
;;;"OUTRAS DESPESAS CORRENTES";;;1.432.300,00;2.087.400,00;1.932.776,04;1.087.715,12;1.087.715,12;56,28
;;;;"Diarias   Civil";;1.000,00;1.000,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";1.000,00;1.000,00;0,00;0,00;0,00;0,00
;;;;"Indenizacoes e Restituicoes";;2.000,00;2.000,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";2.000,00;2.000,00;0,00;0,00;0,00;0,00
;;;;"Material de Consumo";;30.000,00;15.000,00;12.921,18;12.921,18;12.921,18;100,00
;;;;;"SEM APLICACAO";30.000,00;15.000,00;12.921,18;12.921,18;12.921,18;100,00
;;;;"Obrigacoes Tributarias e Contributivas";;800,00;6.800,00;5.958,16;5.958,16;5.958,16;100,00
;;;;;"SEM APLICACAO";800,00;6.800,00;5.958,16;5.958,16;5.958,16;100,00
;;;;"Outros Servicos de Terceiros   Pessoa Fisica";;4.000,00;4.350,00;4.290,49;4.290,49;4.290,49;100,00
;;;;;"SEM APLICACAO";4.000,00;4.350,00;4.290,49;4.290,49;4.290,49;100,00
;;;;"Outros Servicos de Terceiros   Pessoa Juridica";;490.000,00;473.650,00;411.299,02;169.298,13;169.298,13;41,16
;;;;;"SEM APLICACAO";490.000,00;473.650,00;411.299,02;169.298,13;169.298,13;41,16
;;;;"Passagens e Despesas com Locomocao";;1.000,00;1.000,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";1.000,00;1.000,00;0,00;0,00;0,00;0,00
;;;;"Servicos de Consultoria";;1.000,00;1.000,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";1.000,00;1.000,00;0,00;0,00;0,00;0,00
;;;;"Subvencoes Sociais";;902.500,00;1.582.600,00;1.498.307,19;895.247,16;895.247,16;59,75
;;;;;"SEM APLICACAO";902.500,00;1.582.600,00;1.498.307,19;895.247,16;895.247,16;59,75
;;"DESPESAS DE CAPITAL";;;;3.700,00;18.700,00;10.480,12;10.480,12;10.480,12;100,00
;;;"INVESTIMENTOS";;;3.700,00;18.700,00;10.480,12;10.480,12;10.480,12;100,00
;;;;"Equipamentos e Material Permanente";;3.700,00;18.700,00;10.480,12;10.480,12;10.480,12;100,00
;;;;;"SEM APLICACAO";3.700,00;18.700,00;10.480,12;10.480,12;10.480,12;100,00
"Fundo de Saude da Cidade do Paulista";;;;;;90.648.500,00;90.985.920,00;85.476.320,95;81.389.760,17;75.168.264,05;87,94
;"FUNDO MUNICIPAL DE SAUDE";;;;;90.648.500,00;90.985.920,00;85.476.320,95;81.389.760,17;75.168.264,05;87,94
;;"DESPESAS CORRENTES";;;;88.053.100,00;88.940.740,00;83.519.931,29;80.443.308,48;74.518.929,70;89,22
;;;"OUTRAS DESPESAS CORRENTES";;;41.659.000,00;31.081.530,00;28.765.651,75;25.689.028,94;23.994.878,08;83,42
;;;;"Auxilio Transporte";;2.912.000,00;2.444.350,00;2.444.345,30;2.444.345,30;2.254.690,90;92,24
;;;;;"SEM APLICACAO";2.912.000,00;2.444.350,00;2.444.345,30;2.444.345,30;2.254.690,90;92,24
;;;;"Despesas de Exercicios Anteriores";;51.000,00;524.960,00;518.072,18;464.607,01;439.635,61;84,86
;;;;;"SEM APLICACAO";51.000,00;524.960,00;518.072,18;464.607,01;439.635,61;84,86
;;;;"Diarias   Civil";;68.000,00;6.070,00;5.070,00;5.070,00;5.070,00;100,00
;;;;;"SEM APLICACAO";68.000,00;6.070,00;5.070,00;5.070,00;5.070,00;100,00
;;;;"Indenizacoes e Restituicoes";;60.000,00;90.100,00;79.691,62;31.091,62;30.792,42;38,64
;;;;;"SEM APLICACAO";60.000,00;90.100,00;79.691,62;31.091,62;30.792,42;38,64
;;;;"Locacao de Mao de Obra";;1.586.000,00;2.501.800,00;2.269.362,95;2.153.568,77;1.957.176,98;86,24
;;;;;"SEM APLICACAO";1.586.000,00;2.501.800,00;2.269.362,95;2.153.568,77;1.957.176,98;86,24
;;;;"Material de Consumo";;14.618.300,00;9.504.480,00;8.396.857,02;6.909.117,93;6.013.919,58;71,62
;;;;;"SEM APLICACAO";14.618.300,00;9.504.480,00;8.396.857,02;6.909.117,93;6.013.919,58;71,62
;;;;"Obrigacoes Tributarias e Contributivas";;61.000,00;12.640,00;2.640,00;2.640,00;2.640,00;100,00
;;;;;"SEM APLICACAO";61.000,00;12.640,00;2.640,00;2.640,00;2.640,00;100,00
;;;;"Outros Auxilios Financeiros a Pessoas Fisicas";;720.000,00;788.500,00;788.500,00;788.500,00;788.500,00;100,00
;;;;;"SEM APLICACAO";720.000,00;788.500,00;788.500,00;788.500,00;788.500,00;100,00
;;;;"Outros Servicos de Terceiros   Pessoa Fisica";;686.100,00;373.800,00;363.945,20;357.341,80;329.436,51;90,52
;;;;;"SEM APLICACAO";686.100,00;373.800,00;363.945,20;357.341,80;329.436,51;90,52
;;;;"Outros Servicos de Terceiros   Pessoa Juridica";;20.793.600,00;14.804.100,00;13.885.442,70;12.521.021,73;12.161.291,30;87,58
;;;;;"SEM APLICACAO";20.793.600,00;14.804.100,00;13.885.442,70;12.521.021,73;12.161.291,30;87,58
;;;;"Passagens e Despesas com Locomocao";;81.000,00;30.730,00;11.724,78;11.724,78;11.724,78;100,00
;;;;;"SEM APLICACAO";81.000,00;30.730,00;11.724,78;11.724,78;11.724,78;100,00
;;;;"Servicos de Consultoria";;22.000,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";22.000,00;0,00;0,00;0,00;0,00;0,00
;;;"PESSOAL E ENCARGOS SOCIAIS";;;46.394.100,00;57.859.210,00;54.754.279,54;54.754.279,54;50.524.051,62;92,27
;;;;"Contratacao por Tempo Determinado";;11.848.300,00;15.911.900,00;15.052.259,04;15.052.259,04;13.907.933,90;92,40
;;;;;"SEM APLICACAO";11.848.300,00;15.911.900,00;15.052.259,04;15.052.259,04;13.907.933,90;92,40
;;;;"Indenizacoes e Restituicoes Trabalhistas";;0,00;22.040,00;22.038,82;22.038,82;22.038,82;100,00
;;;;;"SEM APLICACAO";0,00;22.040,00;22.038,82;22.038,82;22.038,82;100,00
;;;;"Obrigacoes Patronais";;8.273.200,00;9.639.740,00;9.639.714,88;9.639.714,88;8.892.319,82;92,25
;;;;;"SEM APLICACAO";4.113.200,00;3.889.150,00;3.889.131,67;3.889.131,67;3.597.660,43;92,51
;;;;;"SEM APLICACAO";4.160.000,00;5.750.590,00;5.750.583,21;5.750.583,21;5.294.659,39;92,07
;;;;"Outras Despesas Variaveis   Pessoal Civil";;2.797.000,00;809.160,00;699.742,77;699.742,77;610.810,64;87,29
;;;;;"SEM APLICACAO";2.797.000,00;809.160,00;699.742,77;699.742,77;610.810,64;87,29
;;;;"Vencimentos e Vantagens Fixas   Pessoal Civil";;23.475.600,00;31.476.370,00;29.340.524,03;29.340.524,03;27.090.948,44;92,33
;;;;;"SEM APLICACAO";23.475.600,00;31.476.370,00;29.340.524,03;29.340.524,03;27.090.948,44;92,33
;;"DESPESAS DE CAPITAL";;;;2.595.400,00;2.045.180,00;1.956.389,66;946.451,69;649.334,35;33,19
;;;"INVESTIMENTOS";;;2.595.400,00;2.045.180,00;1.956.389,66;946.451,69;649.334,35;33,19
;;;;"Aquisicao de Imoveis";;15.000,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";15.000,00;0,00;0,00;0,00;0,00;0,00
;;;;"Despesas de Exercicios Anteriores";;4.000,00;41.400,00;33.220,38;33.220,38;33.220,38;100,00
;;;;;"SEM APLICACAO";4.000,00;41.400,00;33.220,38;33.220,38;33.220,38;100,00
;;;;"Equipamentos e Material Permanente";;223.400,00;1.798.930,00;1.750.810,48;761.713,70;557.522,70;31,84
;;;;;"SEM APLICACAO";223.400,00;1.798.930,00;1.750.810,48;761.713,70;557.522,70;31,84
;;;;"Obras e Instalacoes";;2.353.000,00;204.850,00;172.358,80;151.517,61;58.591,27;33,99
;;;;;"SEM APLICACAO";2.353.000,00;204.850,00;172.358,80;151.517,61;58.591,27;33,99
"Instituto de Previdencia Social do Municipio de Paulista   Plano Financeiro";;;;;;53.935.000,00;62.109.930,00;62.091.423,99;62.089.568,54;57.278.008,39;92,25
;"INSTITUTO DE PREVIDENCIA SOCIAL DO MUNICIPIO DO PAULISTA   PREVIPAULISTA";;;;;53.935.000,00;62.109.930,00;62.091.423,99;62.089.568,54;57.278.008,39;92,25
;;"DESPESAS CORRENTES";;;;52.682.000,00;62.104.260,00;62.085.753,99;62.083.898,54;57.272.338,39;92,25
;;;"OUTRAS DESPESAS CORRENTES";;;941.000,00;1.158.680,00;1.144.193,94;1.142.338,49;1.129.538,98;98,72
;;;;"Despesas de Exercicios Anteriores";;20.000,00;17.820,00;17.816,96;17.816,96;17.816,96;100,00
;;;;;"SEM APLICACAO";20.000,00;17.820,00;17.816,96;17.816,96;17.816,96;100,00
;;;;"Diarias   Civil";;20.000,00;16.445,00;16.445,00;16.445,00;16.445,00;100,00
;;;;;"SEM APLICACAO";20.000,00;16.445,00;16.445,00;16.445,00;16.445,00;100,00
;;;;"Indenizacoes e Restituicoes";;3.000,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";3.000,00;0,00;0,00;0,00;0,00;0,00
;;;;"Material de Consumo";;40.000,00;36.470,00;36.465,47;36.465,47;36.465,47;100,00
;;;;;"SEM APLICACAO";40.000,00;36.470,00;36.465,47;36.465,47;36.465,47;100,00
;;;;"Obrigacoes Tributarias e Contributivas";;10.000,00;7.590,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";10.000,00;7.590,00;0,00;0,00;0,00;0,00
;;;;"Outros Servicos de Terceiros   Pessoa Fisica";;10.000,00;111.020,00;106.475,03;106.475,03;106.475,03;100,00
;;;;;"SEM APLICACAO";10.000,00;111.020,00;106.475,03;106.475,03;106.475,03;100,00
;;;;"Outros Servicos de Terceiros   Pessoa Juridica";;450.000,00;708.755,00;706.416,07;704.560,62;691.761,11;97,93
;;;;;"SEM APLICACAO";450.000,00;708.755,00;706.416,07;704.560,62;691.761,11;97,93
;;;;"Passagens e Despesas com Locomocao";;18.000,00;2.660,00;2.655,41;2.655,41;2.655,41;100,00
;;;;;"SEM APLICACAO";18.000,00;2.660,00;2.655,41;2.655,41;2.655,41;100,00
;;;;"Servicos de Consultoria";;370.000,00;257.920,00;257.920,00;257.920,00;257.920,00;100,00
;;;;;"SEM APLICACAO";370.000,00;257.920,00;257.920,00;257.920,00;257.920,00;100,00
;;;"PESSOAL E ENCARGOS SOCIAIS";;;51.741.000,00;60.945.580,00;60.941.560,05;60.941.560,05;56.142.799,41;92,13
;;;;"Aposentadorias  Reserva Remunerada e Reformas";;44.519.800,00;52.296.270,00;52.296.219,34;52.296.219,34;48.121.927,63;92,02
;;;;;"SEM APLICACAO";44.519.800,00;52.296.270,00;52.296.219,34;52.296.219,34;48.121.927,63;92,02
;;;;"Indenizacoes e Restituicoes Trabalhistas";;10.000,00;1.000,00;999,46;999,46;999,46;100,00
;;;;;"SEM APLICACAO";10.000,00;1.000,00;999,46;999,46;999,46;100,00
;;;;"Obrigacoes Patronais";;90.000,00;104.380,00;104.379,41;104.379,41;96.444,14;92,40
;;;;;"SEM APLICACAO";90.000,00;104.380,00;104.379,41;104.379,41;96.444,14;92,40
;;;;"Outras Despesas Variaveis   Pessoal Civil";;5.000,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";5.000,00;0,00;0,00;0,00;0,00;0,00
;;;;"Outros Benefic.Previd.Servidor ou Milita";;15.000,00;14.300,00;11.077,81;11.077,81;11.053,15;99,78
;;;;;"SEM APLICACAO";15.000,00;14.300,00;11.077,81;11.077,81;11.053,15;99,78
;;;;"Pensoes";;6.251.200,00;7.576.100,00;7.576.083,31;7.576.083,31;6.959.574,31;91,86
;;;;;"SEM APLICACAO";6.251.200,00;7.576.100,00;7.576.083,31;7.576.083,31;6.959.574,31;91,86
;;;;"Vencimentos e Vantagens Fixas   Pessoal Civil";;850.000,00;953.530,00;952.800,72;952.800,72;952.800,72;100,00
;;;;;"SEM APLICACAO";850.000,00;953.530,00;952.800,72;952.800,72;952.800,72;100,00
;;"DESPESAS DE CAPITAL";;;;40.000,00;5.670,00;5.670,00;5.670,00;5.670,00;100,00
;;;"INVESTIMENTOS";;;40.000,00;5.670,00;5.670,00;5.670,00;5.670,00;100,00
;;;;"Aquisicao de Imoveis";;10.000,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";10.000,00;0,00;0,00;0,00;0,00;0,00
;;;;"Equipamentos e Material Permanente";;20.000,00;5.670,00;5.670,00;5.670,00;5.670,00;100,00
;;;;;"SEM APLICACAO";20.000,00;5.670,00;5.670,00;5.670,00;5.670,00;100,00
;;;;"Obras e Instalacoes";;10.000,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";10.000,00;0,00;0,00;0,00;0,00;0,00
;;"Reserva de Contingencia";;;;1.213.000,00;0,00;0,00;0,00;0,00;0,00
;;;"Reserva de Contingencia";;;1.213.000,00;0,00;0,00;0,00;0,00;0,00
;;;;"Reserva do RPPS";;1.213.000,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";1.213.000,00;0,00;0,00;0,00;0,00;0,00
"Prefeitura da Cidade do Paulista";;;;;;333.285.500,00;329.998.750,00;295.153.270,74;290.389.778,98;263.419.223,92;89,25
;"ENCARGOS SOB A SUPERVISAO DA SECRETARIA DE FINANCAS";;;;;9.365.000,00;7.660.730,00;6.672.910,93;6.672.910,93;6.269.983,42;93,96
;;"DESPESAS CORRENTES";;;;8.345.000,00;6.660.730,00;6.119.266,66;6.119.266,66;5.716.339,15;93,42
;;;"JUROS E ENCARGOS DA DIVIDA";;;2.610.000,00;728.160,00;214.953,34;214.953,34;214.953,34;100,00
;;;;"Encargos sobre Operacoes de Credito por Antecipacao da Receita";;2.580.000,00;728.160,00;214.953,34;214.953,34;214.953,34;100,00
;;;;;"SEM APLICACAO";2.580.000,00;728.160,00;214.953,34;214.953,34;214.953,34;100,00
;;;;"Juros sobre a Divida por Contrato";;20.000,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";20.000,00;0,00;0,00;0,00;0,00;0,00
;;;;"Outros Encargos sobre a Divida por Contrato";;10.000,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";10.000,00;0,00;0,00;0,00;0,00;0,00
;;;"OUTRAS DESPESAS CORRENTES";;;5.735.000,00;5.932.570,00;5.904.313,32;5.904.313,32;5.501.385,81;93,18
;;;;"Despesas de Exercicios Anteriores";;2.135.000,00;1.857.570,00;1.830.636,52;1.830.636,52;1.830.636,52;100,00
;;;;;"SEM APLICACAO";2.135.000,00;1.857.570,00;1.830.636,52;1.830.636,52;1.830.636,52;100,00
;;;;"Obrigacoes Tributarias e Contributivas";;3.600.000,00;4.075.000,00;4.073.676,80;4.073.676,80;3.670.749,29;90,11
;;;;;"SEM APLICACAO";3.600.000,00;4.075.000,00;4.073.676,80;4.073.676,80;3.670.749,29;90,11
;;"DESPESAS DE CAPITAL";;;;1.020.000,00;1.000.000,00;553.644,27;553.644,27;553.644,27;100,00
;;;"AMORTIZACAO DA DIVIDA";;;1.020.000,00;1.000.000,00;553.644,27;553.644,27;553.644,27;100,00
;;;;"Principal Corrigido da Divida Contratual Refinanciado";;1.020.000,00;1.000.000,00;553.644,27;553.644,27;553.644,27;100,00
;;;;;"SEM APLICACAO";1.020.000,00;1.000.000,00;553.644,27;553.644,27;553.644,27;100,00
;"ENCARGOS SOB SUPERVISAO DA SECRETARIA DE ADMINISTRACAO";;;;;40.899.600,00;41.052.850,00;41.050.062,48;40.896.172,68;39.360.993,83;95,89
;;"DESPESAS CORRENTES";;;;40.897.600,00;41.052.850,00;41.050.062,48;40.896.172,68;39.360.993,83;95,89
;;;"OUTRAS DESPESAS CORRENTES";;;24.508.200,00;24.132.730,00;24.129.971,14;24.029.017,66;23.804.385,39;98,65
;;;;"Aporte para Cobertura de Defit Atuarial do RPPS";;20.033.000,00;19.965.000,00;19.965.000,00;19.912.292,66;19.912.292,56;99,74
;;;;;"SEM APLICACAO";20.033.000,00;19.965.000,00;19.965.000,00;19.912.292,66;19.912.292,56;99,74
;;;;"Auxilio Alimentacao";;1.700,00;1.460,00;1.458,00;1.458,00;1.458,00;100,00
;;;;;"SEM APLICACAO";1.700,00;1.460,00;1.458,00;1.458,00;1.458,00;100,00
;;;;"Auxilio Transporte";;3.345.800,00;2.912.410,00;2.909.906,02;2.909.906,02;2.692.784,52;92,54
;;;;;"SEM APLICACAO";3.345.800,00;2.912.410,00;2.909.906,02;2.909.906,02;2.692.784,52;92,54
;;;;"Despesas de Exercicios Anteriores";;55.600,00;121.010,00;120.920,37;120.920,37;120.920,37;100,00
;;;;;"SEM APLICACAO";55.600,00;121.010,00;120.920,37;120.920,37;120.920,37;100,00
;;;;"Material de Consumo";;1.000,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";1.000,00;0,00;0,00;0,00;0,00;0,00
;;;;"Outros Beneficios Assistenciais";;11.300,00;69.250,00;69.248,00;69.248,00;67.374,00;97,29
;;;;;"SEM APLICACAO";11.300,00;69.250,00;69.248,00;69.248,00;67.374,00;97,29
;;;;"Outros Servicos de Terceiros   Pessoa Juridica";;1.059.800,00;1.063.600,00;1.063.438,75;1.015.192,61;1.009.555,94;94,93
;;;;;"SEM APLICACAO";1.059.800,00;1.063.600,00;1.063.438,75;1.015.192,61;1.009.555,94;94,93
;;;"PESSOAL E ENCARGOS SOCIAIS";;;16.389.400,00;16.920.120,00;16.920.091,34;16.867.155,02;15.556.608,44;91,94
;;;;"Despesas de Exercicios Anteriores";;68.000,00;511.540,00;511.537,77;500.807,48;481.244,69;94,08
;;;;;"SEM APLICACAO";68.000,00;511.540,00;511.537,77;500.807,48;481.244,69;94,08
;;;;"Indenizacoes e Restituicoes Trabalhistas";;10.000,00;205.160,00;205.153,34;162.947,31;144.027,30;70,20
;;;;;"SEM APLICACAO";10.000,00;205.160,00;205.153,34;162.947,31;144.027,30;70,20
;;;;"Obrigacoes Patronais";;10.864.200,00;11.690.710,00;11.690.703,99;11.690.703,99;10.741.723,67;91,88
;;;;;"SEM APLICACAO";5.228.000,00;3.667.110,00;3.667.108,19;3.667.108,19;3.367.675,88;91,83
;;;;;"SEM APLICACAO";5.636.200,00;8.023.600,00;8.023.595,80;8.023.595,80;7.374.047,79;91,90
;;;;"Outras Despesas Variaveis   Pessoal Civil";;439.100,00;165.950,00;165.943,92;165.943,92;156.462,69;94,29
;;;;;"SEM APLICACAO";439.100,00;165.950,00;165.943,92;165.943,92;156.462,69;94,29
;;;;"Vencimentos e Vantagens Fixas   Pessoal Civil";;5.008.100,00;4.346.760,00;4.346.752,32;4.346.752,32;4.033.150,09;92,79
;;;;;"SEM APLICACAO";5.008.100,00;4.346.760,00;4.346.752,32;4.346.752,32;4.033.150,09;92,79
;;"DESPESAS DE CAPITAL";;;;2.000,00;0,00;0,00;0,00;0,00;0,00
;;;"INVERSOES FINANCEIRAS";;;2.000,00;0,00;0,00;0,00;0,00;0,00
;;;;"Contribuicoes";;2.000,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";2.000,00;0,00;0,00;0,00;0,00;0,00
;"FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL   ADMINISTRACAO DIRETA";;;;;12.690.000,00;10.959.390,00;8.533.504,82;8.279.285,86;7.453.218,30;87,34
;;"DESPESAS CORRENTES";;;;12.670.000,00;10.589.390,00;8.278.404,82;8.103.685,86;7.277.618,30;87,91
;;;"OUTRAS DESPESAS CORRENTES";;;9.595.900,00;7.979.140,00;5.668.260,50;5.493.541,54;4.880.943,46;86,11
;;;;"Auxilio Alimentacao";;0,00;84.500,00;84.500,00;84.500,00;76.500,00;90,53
;;;;;"SEM APLICACAO";0,00;84.500,00;84.500,00;84.500,00;76.500,00;90,53
;;;;"Despesas de Exercicios Anteriores";;0,00;65.370,00;63.405,55;63.405,55;63.255,55;99,76
;;;;;"SEM APLICACAO";0,00;65.370,00;63.405,55;63.405,55;63.255,55;99,76
;;;;"Diarias   Civil";;17.000,00;9.600,00;8.640,00;8.640,00;8.640,00;100,00
;;;;;"SEM APLICACAO";17.000,00;9.600,00;8.640,00;8.640,00;8.640,00;100,00
;;;;"Indenizacoes e Restituicoes";;2.000,00;3.280,00;2.277,60;2.277,60;2.277,60;100,00
;;;;;"SEM APLICACAO";2.000,00;3.280,00;2.277,60;2.277,60;2.277,60;100,00
;;;;"Material de Consumo";;2.290.500,00;1.102.880,00;358.633,63;255.347,16;231.477,49;64,54
;;;;;"SEM APLICACAO";2.290.500,00;1.102.880,00;358.633,63;255.347,16;231.477,49;64,54
;;;;"Material de Distribuicao Gratuita";;600.000,00;416.980,00;329.789,52;297.467,52;282.379,30;85,62
;;;;;"SEM APLICACAO";600.000,00;416.980,00;329.789,52;297.467,52;282.379,30;85,62
;;;;"Obrigacoes Tributarias e Contributivas";;90.000,00;49.860,00;45.826,10;45.666,10;44.289,43;96,65
;;;;;"SEM APLICACAO";90.000,00;49.860,00;45.826,10;45.666,10;44.289,43;96,65
;;;;"Outros Auxilios Financeiros a Pessoas Fisicas";;2.339.900,00;1.944.740,00;1.937.337,22;1.935.587,22;1.753.220,55;90,50
;;;;;"SEM APLICACAO";2.339.900,00;1.944.740,00;1.937.337,22;1.935.587,22;1.753.220,55;90,50
;;;;"Outros Servicos de Terceiros   Pessoa Fisica";;927.000,00;631.260,00;502.478,20;493.040,58;446.160,36;88,79
;;;;;"SEM APLICACAO";927.000,00;631.260,00;502.478,20;493.040,58;446.160,36;88,79
;;;;"Outros Servicos de Terceiros   Pessoa Juridica";;1.460.000,00;2.276.450,00;998.751,93;988.992,06;820.339,04;82,14
;;;;;"SEM APLICACAO";1.460.000,00;2.276.450,00;998.751,93;988.992,06;820.339,04;82,14
;;;;"Passagens e Despesas com Locomocao";;24.000,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";24.000,00;0,00;0,00;0,00;0,00;0,00
;;;;"Servicos de Consultoria";;5.500,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";5.500,00;0,00;0,00;0,00;0,00;0,00
;;;;"Subvencoes Sociais";;1.840.000,00;1.394.220,00;1.336.620,75;1.318.617,75;1.152.404,14;86,22
;;;;;"SEM APLICACAO";1.840.000,00;1.394.220,00;1.336.620,75;1.318.617,75;1.152.404,14;86,22
;;;"PESSOAL E ENCARGOS SOCIAIS";;;3.074.100,00;2.610.250,00;2.610.144,32;2.610.144,32;2.396.674,84;91,82
;;;;"Contratacao por Tempo Determinado";;1.896.600,00;899.150,00;899.080,19;899.080,19;839.937,54;93,42
;;;;;"SEM APLICACAO";1.896.600,00;899.150,00;899.080,19;899.080,19;839.937,54;93,42
;;;;"Outras Despesas Variaveis   Pessoal Civil";;27.500,00;23.010,00;23.000,34;23.000,34;18.142,97;78,88
