Órgão;Unidade;Categoria Econômica;Grupo de despesa;Elemento;Subelemento;Dotação Inicial;Dotação Atualizada;Empenhado (P);Liquidado;Pago (P);P/E
;;"DESPESAS CORRENTES";;;;1.432.800,00;1.996.010,67;1.875.524,13;1.115.910,52;1.115.910,52;59,50
;;;"OUTRAS DESPESAS CORRENTES";;;1.432.800,00;1.996.010,67;1.875.524,13;1.115.910,52;1.115.910,52;59,50
;;;;"Diarias   Civil";;2.000,00;100,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";2.000,00;100,00;0,00;0,00;0,00;0,00
;;;;"Indenizacoes e Restituicoes";;4.200,00;44.732,38;42.632,38;42.632,38;42.632,38;100,00
;;;;;"SEM APLICACAO";4.200,00;44.732,38;42.632,38;42.632,38;42.632,38;100,00
;;;;"Material de Consumo";;10.000,00;10.000,00;8.699,57;8.699,57;8.699,57;100,00
;;;;;"SEM APLICACAO";10.000,00;10.000,00;8.699,57;8.699,57;8.699,57;100,00
;;;;"Obrigacoes Tributarias e Contributivas";;2.000,00;2.000,00;520,86;520,86;520,86;100,00
;;;;;"SEM APLICACAO";2.000,00;2.000,00;520,86;520,86;520,86;100,00
;;;;"Outros Servicos de Terceiros   Pessoa Fisica";;3.000,00;7.897,92;7.794,36;7.794,36;7.794,36;100,00
;;;;;"SEM APLICACAO";3.000,00;7.897,92;7.794,36;7.794,36;7.794,36;100,00
;;;;"Outros Servicos de Terceiros   Pessoa Juridica";;377.600,00;459.444,00;449.612,59;251.220,75;251.220,75;55,87
;;;;;"SEM APLICACAO";377.600,00;459.444,00;449.612,59;251.220,75;251.220,75;55,87
;;;;"Passagens e Despesas com Locomocao";;2.000,00;100,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";2.000,00;100,00;0,00;0,00;0,00;0,00
;;;;"Servicos de Consultoria";;2.000,00;2.000,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";2.000,00;2.000,00;0,00;0,00;0,00;0,00
;;;;"Subvencoes Sociais";;1.030.000,00;1.469.736,37;1.366.264,37;805.042,60;805.042,60;58,92
;;;;;"SEM APLICACAO";1.030.000,00;1.469.736,37;1.366.264,37;805.042,60;805.042,60;58,92
;;"DESPESAS DE CAPITAL";;;;3.500,00;3.500,00;3.400,00;3.400,00;3.400,00;100,00
;;;"INVESTIMENTOS";;;3.500,00;3.500,00;3.400,00;3.400,00;3.400,00;100,00
;;;;"Equipamentos e Material Permanente";;3.500,00;3.500,00;3.400,00;3.400,00;3.400,00;100,00
;;;;;"SEM APLICACAO";3.500,00;3.500,00;3.400,00;3.400,00;3.400,00;100,00
"Fundo de Saude da Cidade do Paulista";;;;;;84.298.100,00;122.487.911,45;77.172.513,20;74.727.713,91;69.270.961,59;89,76
;"FUNDO MUNICIPAL DE SAUDE ";;;;;84.298.100,00;122.487.911,45;77.172.513,20;74.727.713,91;69.270.961,59;89,76
;;"DESPESAS CORRENTES";;;;82.988.000,00;119.585.687,85;75.482.878,76;73.749.507,09;68.335.844,77;90,53
;;;"OUTRAS DESPESAS CORRENTES";;;33.492.600,00;34.018.156,49;24.291.271,16;22.557.899,49;21.151.292,08;87,07
;;;;"Auxilio Transporte";;1.973.000,00;2.659.940,00;2.160.546,80;2.160.546,80;2.016.010,10;93,31
;;;;;"SEM APLICACAO";1.973.000,00;2.659.940,00;2.160.546,80;2.160.546,80;2.016.010,10;93,31
;;;;"Despesas de Exercicios Anteriores";;0,00;158.407,01;156.596,76;156.596,76;156.596,76;100,00
;;;;;"SEM APLICACAO";0,00;158.407,01;156.596,76;156.596,76;156.596,76;100,00
;;;;"Diarias   Civil";;83.000,00;50.590,00;2.825,00;2.825,00;2.825,00;100,00
;;;;;"SEM APLICACAO";83.000,00;50.590,00;2.825,00;2.825,00;2.825,00;100,00
;;;;"Indenizacoes e Restituicoes";;50.000,00;45.000,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";50.000,00;45.000,00;0,00;0,00;0,00;0,00
;;;;"Locacao de Mao de Obra";;1.880.000,00;1.925.314,55;1.863.051,04;1.744.496,82;1.706.935,72;91,62
;;;;;"SEM APLICACAO";1.880.000,00;1.925.314,55;1.863.051,04;1.744.496,82;1.706.935,72;91,62
;;;;"Material de Consumo";;10.964.000,00;9.112.519,64;5.089.999,52;4.784.442,14;4.581.931,02;90,02
;;;;;"SEM APLICACAO";10.964.000,00;9.112.519,64;5.089.999,52;4.784.442,14;4.581.931,02;90,02
;;;;"Obrigacoes Tributarias e Contributivas";;62.000,00;59.000,00;12.292,82;12.292,82;12.292,82;100,00
;;;;;"SEM APLICACAO";62.000,00;59.000,00;12.292,82;12.292,82;12.292,82;100,00
;;;;"Outros Auxilios Financeiros a Pessoas Fisicas";;700.000,00;785.100,00;649.800,00;649.800,00;649.800,00;100,00
;;;;;"SEM APLICACAO";700.000,00;785.100,00;649.800,00;649.800,00;649.800,00;100,00
;;;;"Outros Servicos de Terceiros   Pessoa Fisica";;369.500,00;430.900,89;376.226,07;371.651,14;339.120,37;90,14
;;;;;"SEM APLICACAO";369.500,00;430.900,89;376.226,07;371.651,14;339.120,37;90,14
;;;;"Outros Servicos de Terceiros   Pessoa Juridica";;17.263.200,00;18.701.134,40;13.973.732,97;12.669.047,83;11.679.826,51;83,58
;;;;;"SEM APLICACAO";17.263.200,00;18.701.134,40;13.973.732,97;12.669.047,83;11.679.826,51;83,58
;;;;"Passagens e Despesas com Locomocao";;120.000,00;79.250,00;6.200,18;6.200,18;5.953,78;96,03
;;;;;"SEM APLICACAO";120.000,00;79.250,00;6.200,18;6.200,18;5.953,78;96,03
;;;;"Servicos de Consultoria";;27.900,00;11.000,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";27.900,00;11.000,00;0,00;0,00;0,00;0,00
;;;"PESSOAL E ENCARGOS SOCIAIS";;;49.495.400,00;85.567.531,36;51.191.607,60;51.191.607,60;47.184.552,69;92,17
;;;;"Contratacao por Tempo Determinado";;11.893.000,00;25.681.550,56;14.085.958,29;14.085.958,29;12.939.415,75;91,86
;;;;;"SEM APLICACAO";11.893.000,00;25.681.550,56;14.085.958,29;14.085.958,29;12.939.415,75;91,86
;;;;"Contribuicoes Patronais  19  I ";;9.251.000,00;11.320.156,32;7.392.777,25;7.392.777,25;6.824.511,11;92,31
;;;;;"SEM APLICACAO";5.718.000,00;6.754.000,00;3.841.755,78;3.841.755,78;3.560.288,84;92,67
;;;;;"SEM APLICACAO";3.533.000,00;4.566.156,32;3.551.021,47;3.551.021,47;3.264.222,27;91,92
;;;;"Outras Despesas Variaveis   Pessoal Civil";;1.148.100,00;3.734.035,48;1.409.087,10;1.409.087,10;1.273.206,13;90,36
;;;;;"SEM APLICACAO";1.148.100,00;3.734.035,48;1.409.087,10;1.409.087,10;1.273.206,13;90,36
;;;;"Vencimentos e Vantagens Fixas   Pessoal Civil";;27.203.300,00;44.831.789,00;28.303.784,96;28.303.784,96;26.147.419,70;92,38
;;;;;"SEM APLICACAO";27.203.300,00;44.831.789,00;28.303.784,96;28.303.784,96;26.147.419,70;92,38
;;"DESPESAS DE CAPITAL";;;;1.310.100,00;2.902.223,60;1.689.634,44;978.206,82;935.116,82;55,34
;;;"INVESTIMENTOS";;;1.310.100,00;2.902.223,60;1.689.634,44;978.206,82;935.116,82;55,34
;;;;"Despesas de Exercicios Anteriores";;0,00;106.360,00;79.285,83;79.285,83;79.285,83;100,00
;;;;;"SEM APLICACAO";0,00;106.360,00;79.285,83;79.285,83;79.285,83;100,00
;;;;"Equipamentos e Material Permanente";;277.000,00;1.880.713,60;1.343.232,59;642.612,80;599.522,80;44,63
;;;;;"SEM APLICACAO";277.000,00;1.880.713,60;1.343.232,59;642.612,80;599.522,80;44,63
;;;;"Obras e Instalacoes";;1.032.100,00;915.150,00;267.116,02;256.308,19;256.308,19;95,95
;;;;;"SEM APLICACAO";1.032.100,00;915.150,00;267.116,02;256.308,19;256.308,19;95,95
;;;;"Servicos de Consultoria";;1.000,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";1.000,00;0,00;0,00;0,00;0,00;0,00
"Instituto de Previdencia Social do Municipio de Paulista   Plano Financeiro";;;;;;50.367.700,00;54.297.060,07;53.989.686,32;53.956.901,80;49.591.045,03;91,85
;"INSTITUTO DE PREVIDENCIA PREVIPAULISTA";;;;;50.367.700,00;54.297.060,07;53.989.686,32;53.956.901,80;49.591.045,03;91,85
;;"DESPESAS CORRENTES";;;;50.097.200,00;54.216.780,07;53.959.216,32;53.926.431,80;49.560.575,03;91,85
;;;"OUTRAS DESPESAS CORRENTES";;;965.000,00;1.184.412,92;1.162.072,13;1.129.312,27;1.082.739,86;93,17
;;;;"Despesas de Exercicios Anteriores";;64.500,00;42.580,00;39.871,36;39.871,36;39.871,36;100,00
;;;;;"SEM APLICACAO";64.500,00;42.580,00;39.871,36;39.871,36;39.871,36;100,00
;;;;"Diarias   Civil";;35.000,00;25.000,00;17.010,00;17.010,00;15.430,00;90,71
;;;;;"SEM APLICACAO";35.000,00;25.000,00;17.010,00;17.010,00;15.430,00;90,71
;;;;"Indenizacoes e Restituicoes";;3.000,00;1.923,00;1.922,23;1.922,23;1.922,23;100,00
;;;;;"SEM APLICACAO";3.000,00;1.923,00;1.922,23;1.922,23;1.922,23;100,00
;;;;"Material de Consumo";;40.000,00;33.853,32;33.601,80;33.505,80;32.977,80;98,14
;;;;;"SEM APLICACAO";40.000,00;33.853,32;33.601,80;33.505,80;32.977,80;98,14
;;;;"Obrigacoes Tributarias e Contributivas";;16.000,00;6.000,00;4.860,40;4.860,40;4.580,40;94,24
;;;;;"SEM APLICACAO";16.000,00;6.000,00;4.860,40;4.860,40;4.580,40;94,24
;;;;"Outros Servicos de Terceiros   Pessoa Fisica";;26.500,00;24.495,00;24.494,40;24.494,40;22.776,00;92,98
;;;;;"SEM APLICACAO";26.500,00;24.495,00;24.494,40;24.494,40;22.776,00;92,98
;;;;"Outros Servicos de Terceiros   Pessoa Juridica";;450.000,00;534.861,60;534.861,60;509.187,74;487.239,04;91,10
;;;;;"SEM APLICACAO";450.000,00;534.861,60;534.861,60;509.187,74;487.239,04;91,10
;;;;"Passagens e Despesas com Locomocao";;30.000,00;30.000,00;28.622,34;28.622,34;20.140,03;70,36
;;;;;"SEM APLICACAO";30.000,00;30.000,00;28.622,34;28.622,34;20.140,03;70,36
;;;;"Servicos de Consultoria";;300.000,00;485.700,00;476.828,00;469.838,00;457.803,00;96,01
;;;;;"SEM APLICACAO";300.000,00;485.700,00;476.828,00;469.838,00;457.803,00;96,01
;;;"PESSOAL E ENCARGOS SOCIAIS";;;49.132.200,00;53.032.367,15;52.797.144,19;52.797.119,53;48.477.835,17;91,82
;;;;"Aposentadorias e Reformas";;42.186.900,00;44.414.266,15;44.183.197,87;44.183.197,87;40.495.292,46;91,65
;;;;;"SEM APLICACAO";42.186.900,00;44.414.266,15;44.183.197,87;44.183.197,87;40.495.292,46;91,65
;;;;"Indenizacoes e Restituicoes Trabalhistas";;12.000,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";12.000,00;0,00;0,00;0,00;0,00;0,00
;;;;"Obrigacoes Patronais";;64.000,00;99.210,28;99.210,28;99.210,28;91.906,48;92,64
;;;;;"SEM APLICACAO";64.000,00;99.210,28;99.210,28;99.210,28;91.906,48;92,64
;;;;"Outras Despesas Variaveis   Pessoal Civil";;32.000,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";32.000,00;0,00;0,00;0,00;0,00;0,00
;;;;"Outros Benefic.Previd.Servidor ou Milita";;21.300,00;15.500,00;11.382,09;11.357,43;11.357,43;99,78
;;;;;"SEM APLICACAO";21.300,00;15.500,00;11.382,09;11.357,43;11.357,43;99,78
;;;;"Pensoes";;6.086.000,00;7.635.281,95;7.635.245,18;7.635.245,18;7.076.361,03;92,68
;;;;;"SEM APLICACAO";6.086.000,00;7.635.281,95;7.635.245,18;7.635.245,18;7.076.361,03;92,68
;;;;"Vencimentos e Vantagens Fixas   Pessoal Civil";;730.000,00;868.108,77;868.108,77;868.108,77;802.917,77;92,49
;;;;;"SEM APLICACAO";730.000,00;868.108,77;868.108,77;868.108,77;802.917,77;92,49
;;"DESPESAS DE CAPITAL";;;;270.500,00;80.280,00;30.470,00;30.470,00;30.470,00;100,00
;;;"INVESTIMENTOS";;;270.500,00;80.280,00;30.470,00;30.470,00;30.470,00;100,00
;;;;"Aquisicao de Imoveis";;80.500,00;9.810,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";80.500,00;9.810,00;0,00;0,00;0,00;0,00
;;;;"Equipamentos e Material Permanente";;150.000,00;30.470,00;30.470,00;30.470,00;30.470,00;100,00
;;;;;"SEM APLICACAO";150.000,00;30.470,00;30.470,00;30.470,00;30.470,00;100,00
;;;;"Obras e Instalacoes";;40.000,00;40.000,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";40.000,00;40.000,00;0,00;0,00;0,00;0,00
"Prefeitura da Cidade do Paulista";;;;;;327.288.900,00;483.423.171,35;312.704.762,84;280.660.137,33;249.087.404,86;79,66
;"CONTROLADORIA GERAL E OUVIDORIA   ADMINISTRACAO D";;;;;1.394.100,00;895.170,01;775.531,67;755.408,02;672.336,40;86,69
;;"DESPESAS CORRENTES";;;;976.100,00;894.090,00;774.451,67;754.328,02;671.256,40;86,68
;;;"OUTRAS DESPESAS CORRENTES";;;192.000,00;134.390,00;118.356,84;103.280,20;75.353,18;63,67
;;;;"Despesas de Exercicios Anteriores";;2.000,00;470,00;463,18;463,18;463,18;100,00
;;;;;"SEM APLICACAO";2.000,00;470,00;463,18;463,18;463,18;100,00
;;;;"Diarias   Civil";;9.000,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";9.000,00;0,00;0,00;0,00;0,00;0,00
;;;;"Material de Consumo";;10.000,00;9.670,00;8.658,21;8.658,21;4.737,30;54,71
;;;;;"SEM APLICACAO";10.000,00;9.670,00;8.658,21;8.658,21;4.737,30;54,71
;;;;"Obrigacoes Tributarias e Contributivas";;6.000,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";6.000,00;0,00;0,00;0,00;0,00;0,00
;;;;"Outros Servicos de Terceiros   Pessoa Fisica";;11.000,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";11.000,00;0,00;0,00;0,00;0,00;0,00
;;;;"Outros Servicos de Terceiros   Pessoa Juridica";;105.000,00;96.560,00;96.552,45;81.475,81;60.006,30;62,15
;;;;;"SEM APLICACAO";105.000,00;96.560,00;96.552,45;81.475,81;60.006,30;62,15
;;;;"Passagens e Despesas com Locomocao";;9.000,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";9.000,00;0,00;0,00;0,00;0,00;0,00
;;;;"Servicos de Consultoria";;40.000,00;27.690,00;12.683,00;12.683,00;10.146,40;80,00
;;;;;"SEM APLICACAO";40.000,00;27.690,00;12.683,00;12.683,00;10.146,40;80,00
;;;"PESSOAL E ENCARGOS SOCIAIS";;;784.100,00;759.700,00;656.094,83;651.047,82;595.903,22;90,83
;;;;"Outras Despesas Variaveis   Pessoal Civil";;127.900,00;106.900,00;73.551,16;68.504,15;64.558,80;87,77
;;;;;"SEM APLICACAO";127.900,00;106.900,00;73.551,16;68.504,15;64.558,80;87,77
;;;;"Vencimentos e Vantagens Fixas   Pessoal Civil";;656.200,00;652.800,00;582.543,67;582.543,67;531.344,42;91,21
;;;;;"SEM APLICACAO";656.200,00;652.800,00;582.543,67;582.543,67;531.344,42;91,21
;;"DESPESAS DE CAPITAL";;;;418.000,00;1.080,01;1.080,00;1.080,00;1.080,00;100,00
;;;"INVESTIMENTOS";;;418.000,00;1.080,01;1.080,00;1.080,00;1.080,00;100,00
;;;;"Equipamentos e Material Permanente";;53.000,00;1.080,00;1.080,00;1.080,00;1.080,00;100,00
;;;;;"SEM APLICACAO";53.000,00;1.080,00;1.080,00;1.080,00;1.080,00;100,00
;;;;"Outros Servicos de Terceiros   Pessoa Juridica";;365.000,00;0,01;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";365.000,00;0,01;0,00;0,00;0,00;0,00
;"ENCARGOS SOB A SUPERVISAO DA SECRETARIA DE FINANC";;;;;16.475.100,00;14.543.361,89;9.484.774,27;8.047.904,02;7.794.387,49;82,18
;;"DESPESAS CORRENTES";;;;12.296.400,00;11.572.311,89;8.466.796,99;7.029.926,74;6.776.410,21;80,04
;;;"JUROS E ENCARGOS DA DIVIDA";;;5.007.400,00;3.621.640,00;1.691.354,70;1.691.354,70;1.691.354,70;100,00
;;;;"Encargos sobre Operacoes de Credito por Antecipacao da Receita";;4.900.000,00;3.620.440,00;1.691.354,70;1.691.354,70;1.691.354,70;100,00
;;;;;"SEM APLICACAO";4.900.000,00;3.620.440,00;1.691.354,70;1.691.354,70;1.691.354,70;100,00
;;;;"Juros sobre a Divida por Contrato";;54.200,00;1.200,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";54.200,00;1.200,00;0,00;0,00;0,00;0,00
;;;;"Outros Encargos sobre a Divida por Contrato";;53.200,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";53.200,00;0,00;0,00;0,00;0,00;0,00
;;;"OUTRAS DESPESAS CORRENTES";;;7.289.000,00;7.950.671,89;6.775.442,29;5.338.572,04;5.085.055,51;75,05
;;;;"Despesas de Exercicios Anteriores";;3.488.000,00;3.730.671,89;2.865.703,37;1.738.833,12;1.730.013,84;60,37
;;;;;"SEM APLICACAO";3.488.000,00;3.730.671,89;2.865.703,37;1.738.833,12;1.730.013,84;60,37
;;;;"Obrigacoes Tributarias e Contributivas";;3.801.000,00;4.220.000,00;3.909.738,92;3.599.738,92;3.355.041,67;85,81
;;;;;"SEM APLICACAO";3.801.000,00;4.220.000,00;3.909.738,92;3.599.738,92;3.355.041,67;85,81
;;"DESPESAS DE CAPITAL";;;;4.178.700,00;2.971.050,00;1.017.977,28;1.017.977,28;1.017.977,28;100,00
;;;"AMORTIZACAO DA DIVIDA";;;4.178.700,00;2.971.050,00;1.017.977,28;1.017.977,28;1.017.977,28;100,00
;;;;"Principal Corrigido da Divida Contratual Refinanciado";;4.178.700,00;2.971.050,00;1.017.977,28;1.017.977,28;1.017.977,28;100,00
;;;;;"SEM APLICACAO";4.178.700,00;2.971.050,00;1.017.977,28;1.017.977,28;1.017.977,28;100,00
;"ENCARGOS SOB SUPERVISAO DA SECRETARIA DE ADMINIST";;;;;29.776.000,00;56.853.738,94;47.404.250,20;40.955.104,14;37.859.864,99;79,87
;;"DESPESAS CORRENTES";;;;29.774.000,00;56.853.738,94;47.404.250,20;40.955.104,14;37.859.864,99;79,87
;;;"OUTRAS DESPESAS CORRENTES";;;15.686.000,00;34.378.630,00;32.633.160,00;26.190.139,03;24.837.870,77;76,11
;;;;"APORTE PARA COBERTURA DE DEFICT ATUARIAL DO RPPS";;11.600.000,00;28.600.000,00;28.600.000,00;22.156.979,03;21.156.979,03;73,98
;;;;;"SEM APLICACAO";11.600.000,00;28.600.000,00;28.600.000,00;22.156.979,03;21.156.979,03;73,98
;;;;"Auxilio Alimentacao";;1.700,00;1.220,00;693,00;693,00;693,00;100,00
;;;;;"SEM APLICACAO";1.700,00;1.220,00;693,00;693,00;693,00;100,00
;;;;"Auxilio Transporte";;3.100.000,00;3.064.250,00;2.573.651,33;2.573.651,33;2.434.044,23;94,58
;;;;;"SEM APLICACAO";3.100.000,00;3.064.250,00;2.573.651,33;2.573.651,33;2.434.044,23;94,58
;;;;"Despesas de Exercicios Anteriores";;35.000,00;55.970,00;55.963,54;55.963,54;55.963,54;100,00
;;;;;"SEM APLICACAO";35.000,00;55.970,00;55.963,54;55.963,54;55.963,54;100,00
;;;;"Material de Consumo";;5.000,00;3.770,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";5.000,00;3.770,00;0,00;0,00;0,00;0,00
;;;;"Outros Beneficios Assistenciais";;110.000,00;91.500,00;91.492,00;91.492,00;73.892,00;80,76
;;;;;"SEM APLICACAO";110.000,00;91.500,00;91.492,00;91.492,00;73.892,00;80,76
;;;;"Outros Servicos de Terceiros   Pessoa Juridica";;834.300,00;2.561.920,00;1.311.360,13;1.311.360,13;1.116.298,97;85,13
;;;;;"SEM APLICACAO";834.300,00;2.561.920,00;1.311.360,13;1.311.360,13;1.116.298,97;85,13
;;;"PESSOAL E ENCARGOS SOCIAIS";;;14.088.000,00;22.475.108,94;14.771.090,20;14.764.965,11;13.021.994,22;88,16
;;;;"Contribuicoes Patronais  19  I ";;9.368.000,00;14.829.419,06;9.436.552,36;9.436.552,36;8.123.644,41;86,09
;;;;;"SEM APLICACAO";4.768.000,00;9.624.188,26;5.012.094,13;5.012.094,13;4.610.030,86;91,98
;;;;"Despesas de Exercicios Anteriores";;1.050.000,00;505.848,40;275.726,90;272.837,58;239.910,47;87,01
;;;;;"SEM APLICACAO";1.050.000,00;505.848,40;275.726,90;272.837,58;239.910,47;87,01
;;;;"Indenizacoes e Restituicoes Trabalhistas";;100.000,00;124.830,00;124.825,56;121.589,79;101.869,49;81,61
;;;;;"SEM APLICACAO";100.000,00;124.830,00;124.825,56;121.589,79;101.869,49;81,61
;;;;"Obrigacoes Patronais";;9.368.000,00;14.829.419,06;9.436.552,36;9.436.552,36;8.123.644,41;86,09
;;;;;"SEM APLICACAO";4.600.000,00;5.205.230,80;4.424.458,23;4.424.458,23;3.513.613,55;79,41
;;;;"Outras Despesas Variaveis   Pessoal Civil";;370.000,00;478.819,48;399.796,49;399.796,49;360.764,96;90,24
;;;;;"SEM APLICACAO";370.000,00;478.819,48;399.796,49;399.796,49;360.764,96;90,24
;;;;"Vencimentos e Vantagens Fixas   Pessoal Civil";;3.200.000,00;6.536.192,00;4.534.188,89;4.534.188,89;4.195.804,89;92,54
;;;;;"SEM APLICACAO";3.200.000,00;6.536.192,00;4.534.188,89;4.534.188,89;4.195.804,89;92,54
;;"DESPESAS DE CAPITAL";;;;2.000,00;0,00;0,00;0,00;0,00;0,00
;;;"INVERSOES FINANCEIRAS";;;2.000,00;0,00;0,00;0,00;0,00;0,00
;;;;"";;2.000,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";2.000,00;0,00;0,00;0,00;0,00;0,00
;"FUNDO MUNICIPAL DE ASSITENCIA SOCIAL   ADMINISTRA";;;;;12.151.100,00;12.959.391,96;9.936.900,60;9.731.672,56;8.337.748,50;83,91
;;"DESPESAS CORRENTES";;;;12.131.100,00;12.523.986,96;9.505.255,60;9.320.872,56;8.105.998,50;85,28
;;;"OUTRAS DESPESAS CORRENTES";;;8.350.300,00;8.303.606,96;6.504.520,08;6.320.997,04;5.338.368,76;82,07
;;;;"Auxilio Alimentacao";;0,00;9.000,00;9.000,00;9.000,00;9.000,00;100,00
;;;;;"SEM APLICACAO";0,00;9.000,00;9.000,00;9.000,00;9.000,00;100,00
;;;;"Despesas de Exercicios Anteriores";;0,00;11.290,00;11.279,80;11.279,80;11.279,80;100,00
;;;;;"SEM APLICACAO";0,00;11.290,00;11.279,80;11.279,80;11.279,80;100,00
;;;;"Diarias   Civil";;18.700,00;18.400,00;14.735,00;14.735,00;14.615,00;99,19
;;;;;"SEM APLICACAO";18.700,00;18.400,00;14.735,00;14.735,00;14.615,00;99,19
;;;;"Indenizacoes e Restituicoes";;2.000,00;2.310,00;2.302,50;2.302,50;2.302,50;100,00
