Categoria Econômica;Grupo de despesa;Elemento;Subelemento;Dotação Inicial;Dotação Atualizada;Empenhado (E);Liquidado;Pago (P)
;;;"Servicos de Tecnologia da Informacao e Comunicacao";220.000,00;220.000,00;0,00;0,00;0,00
;;"Contribuicoes";;130.500,00;130.500,00;0,00;0,00;0,00
;;;"Contribuicoes";130.500,00;130.500,00;0,00;0,00;0,00
;;"Subvencoes Sociais";;2.487.300,00;2.487.300,00;972.039,14;0,00;0,00
;;;"Subvencoes Sociais";2.487.300,00;2.487.300,00;972.039,14;0,00;0,00
;;"Auxilio Alimentacao";;1.464.500,00;1.464.500,00;0,00;0,00;0,00
;;;"Auxilio Alimentacao";1.464.500,00;1.464.500,00;0,00;0,00;0,00
;;"Obrigacoes Tributarias e Contributivas";;5.255.000,00;5.255.000,00;0,00;0,00;0,00
;;;"Obrigacoes Tributarias e Contributivas";5.255.000,00;5.255.000,00;0,00;0,00;0,00
;;"Outros Auxilios Financeiros a Pessoas Fisicas";;2.800.600,00;2.800.600,00;0,00;0,00;0,00
;;;"Outros Auxilios Financeiros a Pessoas Fisicas";2.800.600,00;2.800.600,00;0,00;0,00;0,00
;;"Auxilio Transporte";;6.225.000,00;6.225.000,00;0,00;0,00;0,00
;;;"Auxilio Transporte";6.225.000,00;6.225.000,00;0,00;0,00;0,00
;;"Sentencas Judiciais";;198.000,00;198.000,00;0,00;0,00;0,00
;;;"Sentencas Judiciais";198.000,00;198.000,00;0,00;0,00;0,00
;;"Despesas de Exercicios Anteriores";;799.000,00;799.000,00;0,00;0,00;0,00
;;;"Despesas de Exercicios Anteriores";799.000,00;799.000,00;0,00;0,00;0,00
;;"Indenizacoes e Restituicoes";;554.000,00;554.000,00;0,00;0,00;0,00
;;;"Indenizacoes e Restituicoes";554.000,00;554.000,00;0,00;0,00;0,00
;;"Aporte para Cobertura de Defit Atuarial do RPPS";;5.000,00;5.000,00;0,00;0,00;0,00
;;;"Aporte para Cobertura de Defit Atuarial do RPPS";5.000,00;5.000,00;0,00;0,00;0,00
"DESPESAS DE CAPITAL";;;;104.160.800,00;104.160.800,00;0,00;0,00;0,00
;"INVESTIMENTOS";;;99.533.800,00;99.533.800,00;0,00;0,00;0,00
;;"Servicos de Consultoria";;63.000,00;63.000,00;0,00;0,00;0,00
;;;"Servicos de Consultoria";63.000,00;63.000,00;0,00;0,00;0,00
;;"Outros Servicos de Terceiros   Pessoa Juridica";;449.000,00;449.000,00;0,00;0,00;0,00
;;;"Outros Servicos de Terceiros   Pessoa Juridica";449.000,00;449.000,00;0,00;0,00;0,00
;;"Contribuicoes";;15.700,00;15.700,00;0,00;0,00;0,00
;;;"Contribuicoes";15.700,00;15.700,00;0,00;0,00;0,00
;;"Obras e Instalacoes";;92.927.000,00;92.927.000,00;0,00;0,00;0,00
;;;"Obras e Instalacoes";92.927.000,00;92.927.000,00;0,00;0,00;0,00
;;"Equipamentos e Material Permanente";;5.250.500,00;5.250.500,00;0,00;0,00;0,00
;;;"Equipamentos e Material Permanente";5.250.500,00;5.250.500,00;0,00;0,00;0,00
;;"Aquisicao de Imoveis";;24.500,00;24.500,00;0,00;0,00;0,00
;;;"Aquisicao de Imoveis";24.500,00;24.500,00;0,00;0,00;0,00
;;"Despesas de Exercicios Anteriores";;310.800,00;310.800,00;0,00;0,00;0,00
;;;"Despesas de Exercicios Anteriores";310.800,00;310.800,00;0,00;0,00;0,00
;;"Indenizacoes e Restituicoes";;493.300,00;493.300,00;0,00;0,00;0,00
;;;"Indenizacoes e Restituicoes";493.300,00;493.300,00;0,00;0,00;0,00
;"INVERSOES FINANCEIRAS";;;1.000,00;1.000,00;0,00;0,00;0,00
;;"Contribuicoes";;1.000,00;1.000,00;0,00;0,00;0,00
;;;"Contribuicoes";1.000,00;1.000,00;0,00;0,00;0,00
;"AMORTIZACAO DA DIVIDA";;;4.626.000,00;4.626.000,00;0,00;0,00;0,00
;;"Principal da Divida Contratual Resgatado";;4.395.000,00;4.395.000,00;0,00;0,00;0,00
;;;"Principal da Divida Contratual Resgatado";4.395.000,00;4.395.000,00;0,00;0,00;0,00
;;"Principal Corrigido da Divida Contratual Refinanciado";;231.000,00;231.000,00;0,00;0,00;0,00
;;;"Principal Corrigido da Divida Contratual Refinanciado";231.000,00;231.000,00;0,00;0,00;0,00
"Reserva de Contingencia";;;;24.771.100,00;24.771.100,00;0,00;0,00;0,00
;"Reserva de Contingencia";;;24.771.100,00;24.771.100,00;0,00;0,00;0,00
;;"Reserva do RPPS";;15.771.100,00;15.771.100,00;0,00;0,00;0,00
;;;"Reserva do RPPS";15.771.100,00;15.771.100,00;0,00;0,00;0,00
;;"Reserva de Contingencia";;9.000.000,00;9.000.000,00;0,00;0,00;0,00
;;;"Reserva de Contingencia";9.000.000,00;9.000.000,00;0,00;0,00;0,00
