Categoria Econômica;Grupo de despesa;Elemento;Subelemento;Dotação Inicial;Dotação Atualizada;Empenhado (E);Liquidado;Pago (P)
;;"Outras Despesas Variaveis   Pessoal Civil";;16.649.500,00;9.223.170,00;9.073.984,42;9.073.984,42;8.226.602,28
;;;"Outras Despesas Variaveis   Pessoal Civil";16.649.500,00;9.223.170,00;9.073.984,42;9.073.984,42;8.226.602,28
;;"Sentencas Judiciais";;4.599.000,00;10.452.150,00;10.387.690,43;10.387.690,43;10.385.788,15
;;;"Sentencas Judiciais";4.599.000,00;10.452.150,00;10.387.690,43;10.387.690,43;10.385.788,15
;;"Despesas de Exercicios Anteriores";;317.800,00;593.580,00;593.527,82;555.230,47;511.741,65
;;;"Despesas de Exercicios Anteriores";317.800,00;593.580,00;593.527,82;555.230,47;511.741,65
;;"Indenizacoes e Restituicoes Trabalhistas";;20.000,00;228.200,00;228.191,62;185.985,59;167.065,58
;;;"Indenizacoes e Restituicoes Trabalhistas";20.000,00;228.200,00;228.191,62;185.985,59;167.065,58
;;"Ressarcimento de Despesas de Pessoal Requisitado";;984.800,00;476.620,00;474.588,04;474.588,04;291.664,00
;;;"Ressarcimento de Despesas de Pessoal Requisitado";984.800,00;476.620,00;474.588,04;474.588,04;291.664,00
;"JUROS E ENCARGOS DA DIVIDA";;;2.610.000,00;728.160,00;214.953,34;214.953,34;214.953,34
;;"Juros sobre a Divida por Contrato";;20.000,00;0,00;0,00;0,00;0,00
;;;"Juros sobre a Divida por Contrato";20.000,00;0,00;0,00;0,00;0,00
;;"Outros Encargos sobre a Divida por Contrato";;10.000,00;0,00;0,00;0,00;0,00
;;;"Outros Encargos sobre a Divida por Contrato";10.000,00;0,00;0,00;0,00;0,00
;;"Encargos sobre Operacoes de Credito por Antecipacao da Receita";;2.580.000,00;728.160,00;214.953,34;214.953,34;214.953,34
;;;"Encargos sobre Operacoes de Credito por Antecipacao da Receita";2.580.000,00;728.160,00;214.953,34;214.953,34;214.953,34
;"OUTRAS DESPESAS CORRENTES";;;169.849.900,00;166.336.820,00;157.567.902,08;150.031.209,24;134.885.590,28
;;"Outros Beneficios Assistenciais";;31.300,00;69.250,00;69.248,00;69.248,00;67.374,00
;;;"Outros Beneficios Assistenciais";31.300,00;69.250,00;69.248,00;69.248,00;67.374,00
;;"Diarias   Civil";;621.900,00;308.115,00;268.305,70;268.305,70;268.305,70
;;;"Diarias   Civil";621.900,00;308.115,00;268.305,70;268.305,70;268.305,70
;;"Outras Desp. Variaveis Pessoal Civil";;0,00;0,00;0,00;0,00;0,00
;;;"Outras Desp. Variaveis Pessoal Civil";0,00;0,00;0,00;0,00;0,00
;;"Material de Consumo";;24.335.200,00;17.114.730,00;14.592.895,10;12.497.685,44;10.862.377,05
;;;"Material de Consumo";24.335.200,00;17.114.730,00;14.592.895,10;12.497.685,44;10.862.377,05
;;"Premiacoes Culturais  Artisticas  Cientificas  Desportivas e Outras  6  I ";;10.000,00;0,00;0,00;0,00;0,00
;;;"Premiacoes Culturais  Artisticas  Cientificas  Desportivas e Outras  6  I ";10.000,00;0,00;0,00;0,00;0,00
;;"Material de Distribuicao Gratuita";;4.081.200,00;1.708.610,00;1.616.940,09;1.584.618,09;1.285.660,74
;;;"Material de Distribuicao Gratuita";4.081.200,00;1.708.610,00;1.616.940,09;1.584.618,09;1.285.660,74
;;"Passagens e Despesas com Locomocao";;356.500,00;93.410,00;72.378,88;72.378,88;54.100,07
;;;"Passagens e Despesas com Locomocao";356.500,00;93.410,00;72.378,88;72.378,88;54.100,07
;;"Servicos de Consultoria";;2.424.700,00;3.448.020,00;3.347.175,60;3.132.842,27;2.664.375,61
;;;"Servicos de Consultoria";2.424.700,00;3.448.020,00;3.347.175,60;3.132.842,27;2.664.375,61
;;"Outros Servicos de Terceiros   Pessoa Fisica";;2.526.700,00;1.753.560,00;1.568.789,41;1.548.658,41;1.437.602,00
;;;"Outros Servicos de Terceiros   Pessoa Fisica";2.526.700,00;1.753.560,00;1.568.789,41;1.548.658,41;1.437.602,00
;;"Locacao de Mao de Obra";;1.586.000,00;2.501.800,00;2.269.362,95;2.153.568,77;1.957.176,98
;;;"Locacao de Mao de Obra";1.586.000,00;2.501.800,00;2.269.362,95;2.153.568,77;1.957.176,98
;;"Outros Servicos de Terceiros   Pessoa Juridica";;90.022.500,00;92.291.645,00;86.986.741,69;84.486.797,01;73.794.169,27
;;;"Outros Servicos de Terceiros   Pessoa Juridica";90.022.500,00;92.291.645,00;86.986.741,69;84.486.797,01;73.794.169,27
;;"Contribuicoes";;28.000,00;114.110,00;107.514,04;107.514,04;107.514,04
;;;"Contribuicoes";28.000,00;114.110,00;107.514,04;107.514,04;107.514,04
;;"Subvencoes Sociais";;3.006.500,00;3.288.890,00;3.146.987,94;2.525.924,91;2.221.593,30
;;;"Subvencoes Sociais";3.006.500,00;3.288.890,00;3.146.987,94;2.525.924,91;2.221.593,30
;;"Auxilio Alimentacao";;43.300,00;384.140,00;384.101,00;384.101,00;344.871,00
;;;"Auxilio Alimentacao";43.300,00;384.140,00;384.101,00;384.101,00;344.871,00
;;"Obrigacoes Tributarias e Contributivas";;3.781.000,00;4.166.100,00;4.141.754,98;4.141.594,98;3.736.714,80
;;;"Obrigacoes Tributarias e Contributivas";3.781.000,00;4.166.100,00;4.141.754,98;4.141.594,98;3.736.714,80
;;"Outros Auxilios Financeiros a Pessoas Fisicas";;3.064.900,00;2.733.240,00;2.725.837,22;2.724.087,22;2.541.720,55
;;;"Outros Auxilios Financeiros a Pessoas Fisicas";3.064.900,00;2.733.240,00;2.725.837,22;2.724.087,22;2.541.720,55
;;"Auxilio Transporte";;10.298.700,00;8.633.020,00;8.630.505,54;8.630.505,54;8.185.643,24
;;;"Auxilio Transporte";10.298.700,00;8.633.020,00;8.630.505,54;8.630.505,54;8.185.643,24
;;"Sentencas Judiciais";;98.000,00;120,00;113,39;113,39;113,39
;;;"Sentencas Judiciais";98.000,00;120,00;113,39;113,39;113,39
;;"Despesas de Exercicios Anteriores";;3.181.900,00;6.746.960,00;6.699.364,53;4.864.686,91;4.541.275,13
;;;"Despesas de Exercicios Anteriores";3.181.900,00;6.746.960,00;6.699.364,53;4.864.686,91;4.541.275,13
;;"Indenizacoes e Restituicoes";;318.600,00;1.016.100,00;974.886,02;926.286,02;902.710,85
;;;"Indenizacoes e Restituicoes";318.600,00;1.016.100,00;974.886,02;926.286,02;902.710,85
;;"Aporte para Cobertura de Defit Atuarial do RPPS";;20.033.000,00;19.965.000,00;19.965.000,00;19.912.292,66;19.912.292,56
;;;"Aporte para Cobertura de Defit Atuarial do RPPS";20.033.000,00;19.965.000,00;19.965.000,00;19.912.292,66;19.912.292,56
"DESPESAS DE CAPITAL";;;;52.841.100,00;45.304.420,00;20.633.366,69;18.553.594,00;15.992.689,63
;"INVESTIMENTOS";;;51.819.100,00;44.304.420,00;20.079.722,42;17.999.949,73;15.439.045,36
;;"Servicos de Consultoria";;3.738.700,00;3.085.330,00;177.097,89;148.757,17;138.807,17
;;;"Servicos de Consultoria";3.738.700,00;3.085.330,00;177.097,89;148.757,17;138.807,17
;;"Outros Servicos de Terceiros   Pessoa Juridica";;4.653.600,00;3.714.470,00;423.981,28;423.981,28;423.981,28
;;;"Outros Servicos de Terceiros   Pessoa Juridica";4.653.600,00;3.714.470,00;423.981,28;423.981,28;423.981,28
;;"Contribuicoes";;12.000,00;0,00;0,00;0,00;0,00
;;;"Contribuicoes";12.000,00;0,00;0,00;0,00;0,00
;;"Obras e Instalacoes";;37.681.400,00;34.298.400,00;16.876.318,79;15.896.784,60;13.690.025,23
;;;"Obras e Instalacoes";37.681.400,00;34.298.400,00;16.876.318,79;15.896.784,60;13.690.025,23
;;"Equipamentos e Material Permanente";;2.528.700,00;3.114.820,00;2.519.104,08;1.447.206,30;1.103.011,30
;;;"Equipamentos e Material Permanente";2.528.700,00;3.114.820,00;2.519.104,08;1.447.206,30;1.103.011,30
;;"Aquisicao de Imoveis";;40.600,00;0,00;0,00;0,00;0,00
;;;"Aquisicao de Imoveis";40.600,00;0,00;0,00;0,00;0,00
;;"Despesas de Exercicios Anteriores";;1.746.000,00;41.400,00;33.220,38;33.220,38;33.220,38
;;;"Despesas de Exercicios Anteriores";1.746.000,00;41.400,00;33.220,38;33.220,38;33.220,38
;;"Indenizacoes e Restituicoes";;1.418.100,00;50.000,00;50.000,00;50.000,00;50.000,00
;;;"Indenizacoes e Restituicoes";1.418.100,00;50.000,00;50.000,00;50.000,00;50.000,00
;"INVERSOES FINANCEIRAS";;;2.000,00;0,00;0,00;0,00;0,00
;;"Contribuicoes";;2.000,00;0,00;0,00;0,00;0,00
;;;"Contribuicoes";2.000,00;0,00;0,00;0,00;0,00
;"AMORTIZACAO DA DIVIDA";;;1.020.000,00;1.000.000,00;553.644,27;553.644,27;553.644,27
;;"Principal Corrigido da Divida Contratual Refinanciado";;1.020.000,00;1.000.000,00;553.644,27;553.644,27;553.644,27
;;;"Principal Corrigido da Divida Contratual Refinanciado";1.020.000,00;1.000.000,00;553.644,27;553.644,27;553.644,27
"Reserva de Contingencia";;;;3.823.700,00;0,00;0,00;0,00;0,00
;"Reserva de Contingencia";;;3.823.700,00;0,00;0,00;0,00;0,00
;;"Reserva do RPPS";;1.213.000,00;0,00;0,00;0,00;0,00
;;;"Reserva do RPPS";1.213.000,00;0,00;0,00;0,00;0,00
;;"Reserva de Contingencia";;2.610.700,00;0,00;0,00;0,00;0,00
;;;"Reserva de Contingencia";2.610.700,00;0,00;0,00;0,00;0,00
