Função;Subfunção;Programa;Projeto/Atividade/Operações Especiais;Ação;Dotação Inicial;Dotação Atualizada;Empenhado (E);Liquidado;Pago (P);P/E
;;;"APOIO AS ATIVIDADES PESQUEIRAS";;20.000,00;20.000,00;0,00;0,00;0,00;0,00
;;;;"APOIO AS ATIVIDADES PESQUEIRAS";20.000,00;20.000,00;0,00;0,00;0,00;0,00
;"Extensao Rural";;;;25.000,00;25.000,00;0,00;0,00;0,00;0,00
;;"ESTIMULO AO DESENVOLVIMENTO ECONOMICO DO MUNICIPIO";;;25.000,00;25.000,00;0,00;0,00;0,00;0,00
;;;"INCENTIVO E APOIO AO PEQUENO PRODUTOR RURAL";;25.000,00;25.000,00;0,00;0,00;0,00;0,00
;;;;"INCENTIVO E APOIO AO PEQUENO PRODUTOR RURAL";25.000,00;25.000,00;0,00;0,00;0,00;0,00
"Assistencia Social";;;;;12.393.900,00;12.393.900,00;1.241.027,24;0,00;0,00;0,00
;"Administracao Geral";;;;932.700,00;932.700,00;0,00;0,00;0,00;0,00
;;"APOIO E ASSISTENCIA AS ACOES DA SECRETARIA ESPECIAL DE POLITICAS PARA A MULHER";;;174.600,00;174.600,00;0,00;0,00;0,00;0,00
;;;"DIRECAO  SUPERVISAO E COORDENACAO DAS ACOES DA SECRETARIA EXECUTIVA DE POLITICAS PARA AS MULHERES";;174.600,00;174.600,00;0,00;0,00;0,00;0,00
;;;;"DIRECAO  SUPERVISAO E COORDENACAO DAS ACOES DA SECRETARIA EXECUTIVA DE POLITICAS PARA AS MULHERES";174.600,00;174.600,00;0,00;0,00;0,00;0,00
;;"GESTAO DA POLITICA DE ACAO DE ASSISTENCIA SOCIAL DO MUNICIPIO";;;758.100,00;758.100,00;0,00;0,00;0,00;0,00
;;;"DIRECAO  SUPERVISAO E COORDENACAO DAS ACOES DO FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL";;758.100,00;758.100,00;0,00;0,00;0,00;0,00
;;;;"DIRECAO  SUPERVISAO E COORDENACAO DAS ACOES DO FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL";758.100,00;758.100,00;0,00;0,00;0,00;0,00
;"Assistencia a Crianca a ao Adolescente";;;;3.266.100,00;3.266.100,00;1.241.027,24;0,00;0,00;0,00
;;"ASSISTENCIA A CRIANCA E AO ADOLESCENTE";;;1.435.300,00;1.435.300,00;1.241.027,24;0,00;0,00;0,00
;;;"ATIVIDADES DO FUNDO DA CRIANCA E DO ADOLESCENTE";;1.003.800,00;1.003.800,00;972.039,14;0,00;0,00;0,00
;;;;"ATIVIDADES DO FUNDO DA CRIANCA E DO ADOLESCENTE";1.003.800,00;1.003.800,00;972.039,14;0,00;0,00;0,00
;;;"ATVIDADES DO CONSELHO MUNICIPAL DA CRIANCA E DO ADOLESCENTE";;430.500,00;430.500,00;268.988,10;0,00;0,00;0,00
;;;;"ATVIDADES DO CONSELHO MUNICIPAL DA CRIANCA E DO ADOLESCENTE";430.500,00;430.500,00;268.988,10;0,00;0,00;0,00
;;;"REGULARIZACAO DE SALDOS DE CONVENIOS DO CONSELHO MUNICIPAL DA CRIANCA E DO ADOLESCENTE";;1.000,00;1.000,00;0,00;0,00;0,00;0,00
;;;;"REGULARIZACAO DE SALDOS DE CONVENIOS DO CONSELHO MUNICIPAL DA CRIANCA E DO ADOLESCENTE";1.000,00;1.000,00;0,00;0,00;0,00;0,00
;;"PROTECAO A CRIANCA E AO ADOLESCENTE";;;1.830.800,00;1.830.800,00;0,00;0,00;0,00;0,00
;;;"ACOES DE APOIO A CRIANCA E AO ADOLESCENTE";;859.300,00;859.300,00;0,00;0,00;0,00;0,00
;;;;"ACOES DE APOIO A CRIANCA E AO ADOLESCENTE";859.300,00;859.300,00;0,00;0,00;0,00;0,00
;;;"APOIO E MANUTENCAO AO ACOLHIMENTO PARA CRIANCA E JOVENS DE 0 A 18 ANOS";;971.500,00;971.500,00;0,00;0,00;0,00;0,00
;;;;"APOIO E MANUTENCAO AO ACOLHIMENTO PARA CRIANCA E JOVENS DE 0 A 18 ANOS";971.500,00;971.500,00;0,00;0,00;0,00;0,00
;"Assistencia ao Idoso";;;;156.000,00;156.000,00;0,00;0,00;0,00;0,00
;;"APOIO E ASSISTENCIA A PESSOA IDOSA";;;156.000,00;156.000,00;0,00;0,00;0,00;0,00
;;;"PROMOCAO E PROTECAO DA INTEGRACAO SOCIAL DA PESSOA IDOSA";;156.000,00;156.000,00;0,00;0,00;0,00;0,00
;;;;"PROMOCAO E PROTECAO DA INTEGRACAO SOCIAL DA PESSOA IDOSA";156.000,00;156.000,00;0,00;0,00;0,00;0,00
;"Assistencia ao Portador de Deficiencia";;;;143.000,00;143.000,00;0,00;0,00;0,00;0,00
;;"APOIO E INTEGRACAO SOCIAL DAS PESSOAS COM DEFICIENCIA";;;143.000,00;143.000,00;0,00;0,00;0,00;0,00
;;;"ACOES EDUCATIVAS E INTEGRACAO SOCIAL PARA PESSOAS COM DEFICIENCIA";;143.000,00;143.000,00;0,00;0,00;0,00;0,00
;;;;"ACOES EDUCATIVAS E INTEGRACAO SOCIAL PARA PESSOAS COM DEFICIENCIA";143.000,00;143.000,00;0,00;0,00;0,00;0,00
;"Assistencia Comunitaria";;;;7.885.100,00;7.885.100,00;0,00;0,00;0,00;0,00
;;"CIDADE SEGURA PARA AS MULHERES";;;152.100,00;152.100,00;0,00;0,00;0,00;0,00
;;;"PREVENCAO E ENFRENTAMENTO A VIOLENCIA CONTRA AS MULHERES";;152.100,00;152.100,00;0,00;0,00;0,00;0,00
;;;;"PREVENCAO E ENFRENTAMENTO A VIOLENCIA CONTRA AS MULHERES";152.100,00;152.100,00;0,00;0,00;0,00;0,00
;;"GESTAO DA POLITICA DE ACAO DE ASSISTENCIA SOCIAL DO MUNICIPIO";;;1.206.500,00;1.206.500,00;0,00;0,00;0,00;0,00
;;;"APOIO E MANUTENCAO DAS ACOES DOS CONSELHOS";;1.206.500,00;1.206.500,00;0,00;0,00;0,00;0,00
;;;;"APOIO E MANUTENCAO DAS ACOES DOS CONSELHOS";1.206.500,00;1.206.500,00;0,00;0,00;0,00;0,00
;;"SE LIGA MULHER";;;87.300,00;87.300,00;0,00;0,00;0,00;0,00
;;;"PROMOCAO E VALORIZACAO DA MULHER";;87.300,00;87.300,00;0,00;0,00;0,00;0,00
;;;;"PROMOCAO E VALORIZACAO DA MULHER";87.300,00;87.300,00;0,00;0,00;0,00;0,00
;;"SERVICO DE ASSISTENCIA SOCIAL GERAL";;;6.439.200,00;6.439.200,00;0,00;0,00;0,00;0,00
;;;"ACOES DE ASSISTENCIA SOCIAL";;5.323.300,00;5.323.300,00;0,00;0,00;0,00;0,00
;;;;"ACOES DE ASSISTENCIA SOCIAL";5.323.300,00;5.323.300,00;0,00;0,00;0,00;0,00
;;;"ACOES DE ASSISTENCIA SOCIAL BASICA";;1.035.400,00;1.035.400,00;0,00;0,00;0,00;0,00
;;;;"ACOES DE ASSISTENCIA SOCIAL BASICA";1.035.400,00;1.035.400,00;0,00;0,00;0,00;0,00
;;;"ACOES DE ASSISTENCIA SOCIAL ESPECIAL";;80.500,00;80.500,00;0,00;0,00;0,00;0,00
;;;;"ACOES DE ASSISTENCIA SOCIAL ESPECIAL";80.500,00;80.500,00;0,00;0,00;0,00;0,00
;"Planejamento e Orcamento";;;;11.000,00;11.000,00;0,00;0,00;0,00;0,00
;;"GESTAO DA POLITICA DE ACAO DE ASSISTENCIA SOCIAL DO MUNICIPIO";;;11.000,00;11.000,00;0,00;0,00;0,00;0,00
;;;"PLANEJAMENTO  ORCAMENTACAO E MONITORAMENTO DAS ACOES DA SECRETARIA DE POLITICAS SOCIAIS E ESPORTES";;11.000,00;11.000,00;0,00;0,00;0,00;0,00
;;;;"PLANEJAMENTO  ORCAMENTACAO E MONITORAMENTO DAS ACOES DA SECRETARIA DE POLITICAS SOCIAIS E ESPORTES";11.000,00;11.000,00;0,00;0,00;0,00;0,00
"Ciencia e Tecnologia";;;;;20.000,00;20.000,00;0,00;0,00;0,00;0,00
;"Difusao do Conhecimento Cient. e Tec.";;;;20.000,00;20.000,00;0,00;0,00;0,00;0,00
;;"PROGRAMA DE INCLUSAO DIGITAL";;;20.000,00;20.000,00;0,00;0,00;0,00;0,00
;;;"IMPLANTACAO DO CENTRO DE TECNOLOGIA DA INFORMACAO";;20.000,00;20.000,00;0,00;0,00;0,00;0,00
;;;;"IMPLANTACAO DO CENTRO DE TECNOLOGIA DA INFORMACAO";20.000,00;20.000,00;0,00;0,00;0,00;0,00
"Comercio e Servicos";;;;;1.076.000,00;1.076.000,00;0,00;0,00;0,00;0,00
;"Planejamento e Orcamento";;;;25.000,00;25.000,00;0,00;0,00;0,00;0,00
;;"GESTAO DAS POLITICAS DE ACAO DE TURISMO E CULTURA DO MUNICIPIO";;;25.000,00;25.000,00;0,00;0,00;0,00;0,00
;;;"PLANEJAMENTO  ORCAMENTO E MONITORAMENTO DAS ACOES DAS SEC. DE DESENVOLVIMENTO ECONOMICO  TURISMO E CULTURA";;25.000,00;25.000,00;0,00;0,00;0,00;0,00
;;;;"PLANEJAMENTO  ORCAMENTO E MONITORAMENTO DAS ACOES DAS SEC. DE DESENVOLVIMENTO ECONOMICO  TURISMO E CULTURA";25.000,00;25.000,00;0,00;0,00;0,00;0,00
;"Promocao Comercial";;;;50.000,00;50.000,00;0,00;0,00;0,00;0,00
;;"PROMOCAO E APOIO AS ATIVIDADES COMERCIAIS";;;50.000,00;50.000,00;0,00;0,00;0,00;0,00
;;;"APOIO AO DESENVOLVIMENTO DO COMERCIO DO MUNICIPIO";;50.000,00;50.000,00;0,00;0,00;0,00;0,00
;;;;"APOIO AO DESENVOLVIMENTO DO COMERCIO DO MUNICIPIO";50.000,00;50.000,00;0,00;0,00;0,00;0,00
;"Turismo";;;;1.001.000,00;1.001.000,00;0,00;0,00;0,00;0,00
;;"PROMOCAO DO TURISMO DO MUNICIPIO";;;1.001.000,00;1.001.000,00;0,00;0,00;0,00;0,00
;;;"PROMOCAO DE EVENTOS E ACOES TURISTICAS";;1.001.000,00;1.001.000,00;0,00;0,00;0,00;0,00
;;;;"PROMOCAO DE EVENTOS E ACOES TURISTICAS";1.001.000,00;1.001.000,00;0,00;0,00;0,00;0,00
"Cultura";;;;;210.000,00;210.000,00;0,00;0,00;0,00;0,00
;"Difusao Cultural";;;;110.000,00;110.000,00;0,00;0,00;0,00;0,00
;;"PROMOCAO E PRESERVACAO DA CULTURA MUNICIPAL";;;110.000,00;110.000,00;0,00;0,00;0,00;0,00
;;;"PROMOCAO DE ACOES CULTURAIS";;110.000,00;110.000,00;0,00;0,00;0,00;0,00
;;;;"PROMOCAO DE ACOES CULTURAIS";110.000,00;110.000,00;0,00;0,00;0,00;0,00
;"Pat. Historico  Artistico e Arqueologico";;;;100.000,00;100.000,00;0,00;0,00;0,00;0,00
;;"PROMOCAO E PRESERVACAO DA CULTURA MUNICIPAL";;;100.000,00;100.000,00;0,00;0,00;0,00;0,00
