Função;Subfunção;Programa;Projeto/Atividade/Operações Especiais;Ação;Dotação Inicial;Dotação Atualizada;Empenhado (E);Liquidado;Pago (P);P/E
;;;;"SUPERVISAO E COORDENACAO DAS ACOES DA SECRETARIA DE FINANCAS";885.900,00;612.750,00;609.721,36;609.721,36;567.290,36;93,04
;;"GESTAO DA POLITICA DE ACAO DE ASSISTENCIA SOCIAL DO MUNICIPIO";;;472.100,00;497.980,00;497.957,70;497.957,70;463.598,70;93,10
;;;"DIRECAO  SUPERVISAO E COORDENACAO DAS ACOES DA SECRETARIA DE POLITICAS SOCIAIS E ESPORTES";;472.100,00;497.980,00;497.957,70;497.957,70;463.598,70;93,10
;;;;"DIRECAO  SUPERVISAO E COORDENACAO DAS ACOES DA SECRETARIA DE POLITICAS SOCIAIS E ESPORTES";472.100,00;497.980,00;497.957,70;497.957,70;463.598,70;93,10
;;"GESTAO DA POLITICA DE DESENVOLVIMENTO ECONOMICO DO MUNICIPIO";;;680.400,00;635.220,00;629.499,07;627.987,07;578.676,86;91,93
;;;"DIRECAO  SUPERVISAO E COORDENACAO DAS ACOES DA SECRETARIA DE DESENVOLVIMENTO ECONOMICO  TURISMO E CULTURA";;680.400,00;635.220,00;629.499,07;627.987,07;578.676,86;91,93
;;;;"DIRECAO  SUPERVISAO E COORDENACAO DAS ACOES DA SECRETARIA DE DESENVOLVIMENTO ECONOMICO  TURISMO E CULTURA";680.400,00;635.220,00;629.499,07;627.987,07;578.676,86;91,93
;;"GESTAO DAS ACOES ADMINISTRATIVAS NO MUNICIPIO";;;735.800,00;530.820,00;530.765,58;523.274,33;408.890,16;77,04
;;;"DIRECAO  SUPERVISAO E COORDENACAO DAS ACOES DA SECRETARIA DE ADMINISTRACAO.";;735.800,00;530.820,00;530.765,58;523.274,33;408.890,16;77,04
;;;;"DIRECAO  SUPERVISAO E COORDENACAO DAS ACOES DA SECRETARIA DE ADMINISTRACAO.";735.800,00;530.820,00;530.765,58;523.274,33;408.890,16;77,04
;;"GESTAO DAS ACOES DAS ADMINISTRACOES REGIONAIS";;;1.995.200,00;1.731.090,00;1.731.075,44;1.727.808,44;1.591.796,55;91,95
;;;"APOIO AS ADMINISTRACOES REGIONAIS DO MUNICIPIO";;1.995.200,00;1.731.090,00;1.731.075,44;1.727.808,44;1.591.796,55;91,95
;;;;"APOIO AS ADMINISTRACOES REGIONAIS DO MUNICIPIO";1.995.200,00;1.731.090,00;1.731.075,44;1.727.808,44;1.591.796,55;91,95
;;"GESTAO DAS ACOES DA SECRETARIA DE ASSUNTOS JURIDICOS";;;745.200,00;814.630,00;807.851,73;807.851,73;731.288,71;90,52
;;;"DIRECAO  SUPERVISAO E COORDENACAO DAS ACOES DA SECRETARIA DE ASSUNTOS JURIDICOS";;745.200,00;814.630,00;807.851,73;807.851,73;731.288,71;90,52
;;;;"DIRECAO  SUPERVISAO E COORDENACAO DAS ACOES DA SECRETARIA DE ASSUNTOS JURIDICOS";745.200,00;814.630,00;807.851,73;807.851,73;731.288,71;90,52
;;"GESTAO DOS PROCESSOS ADMINISTRATIVOS DO MUNICIPIO";;;3.338.200,00;3.020.660,00;2.174.868,72;2.131.405,39;1.905.833,46;87,63
;;;"ADMINISTRACAO DE PESSOAL";;1.606.400,00;1.405.840,00;1.394.579,91;1.352.246,58;1.175.555,21;84,29
;;;;"ADMINISTRACAO DE PESSOAL";1.606.400,00;1.405.840,00;1.394.579,91;1.352.246,58;1.175.555,21;84,29
;;;"ADMINISTRACAO E CONTROLE DO PATRIMONIO DO MUNICIPIO";;400.700,00;326.500,00;326.487,66;325.357,66;300.553,75;92,06
;;;;"ADMINISTRACAO E CONTROLE DO PATRIMONIO DO MUNICIPIO";400.700,00;326.500,00;326.487,66;325.357,66;300.553,75;92,06
;;;"GESTAO DOS PROCESSOS DE COMPRAS E SUPRIMENTOS";;494.600,00;453.820,00;453.801,15;453.801,15;429.724,50;94,69
;;;;"GESTAO DOS PROCESSOS DE COMPRAS E SUPRIMENTOS";494.600,00;453.820,00;453.801,15;453.801,15;429.724,50;94,69
;;;"MODERNIZACAO ADMINISTRATIVA DA SECRETARIA DE ADMINISTRACAO   PMAT";;836.500,00;834.500,00;0,00;0,00;0,00;0,00
;;;;"MODERNIZACAO ADMINISTRATIVA DA SECRETARIA DE ADMINISTRACAO   PMAT";836.500,00;834.500,00;0,00;0,00;0,00;0,00
;;"GESTAO SUPERIOR DA ADMINISTRACAO MUNICIPAL";;;4.999.900,00;3.296.860,00;3.290.225,96;3.281.861,86;2.905.035,34;88,29
;;;"COMUNICACAO SOCIAL E DIVULGACAO OFICIAL DOS ATOS GOVERNAMENTAIS";;1.121.700,00;293.460,00;293.451,01;293.451,01;208.447,25;71,03
;;;;"COMUNICACAO SOCIAL E DIVULGACAO OFICIAL DOS ATOS GOVERNAMENTAIS";1.121.700,00;293.460,00;293.451,01;293.451,01;208.447,25;71,03
;;;"DIRECAO  SUPERVISAO E COORDENACAO DAS ACOES DO GABINETE DO PREFEITO E RELACOES INSTITUCIONAIS";;3.860.200,00;3.003.400,00;2.996.774,95;2.988.410,85;2.696.588,09;89,98
;;;;"DIRECAO  SUPERVISAO E COORDENACAO DAS ACOES DO GABINETE DO PREFEITO E RELACOES INSTITUCIONAIS";3.860.200,00;3.003.400,00;2.996.774,95;2.988.410,85;2.696.588,09;89,98
;;;"SERVICO DE PROTOCOLO DO GABINETE DO PREFEITO";;18.000,00;0,00;0,00;0,00;0,00;0,00
;;;;"SERVICO DE PROTOCOLO DO GABINETE DO PREFEITO";18.000,00;0,00;0,00;0,00;0,00;0,00
;;"MELHORIA DOS PREDIOS PUBLICOS";;;285.000,00;294.190,00;293.782,54;254.693,39;225.857,57;76,88
;;;"CONSERVACAO DE PREDIOS PUBLICOS";;285.000,00;294.190,00;293.782,54;254.693,39;225.857,57;76,88
;;;;"CONSERVACAO DE PREDIOS PUBLICOS";285.000,00;294.190,00;293.782,54;254.693,39;225.857,57;76,88
;;"PLANEJAMENTO DA POLITICA DE ACAO DE SAUDE DO MUNICIPIO";;;1.000,00;0,00;0,00;0,00;0,00;0,00
;;;"REGULARIZACAO DE SALDOS DE RECURSOS DE CONVENIOS DA SECRETARIA DE SAUDE";;1.000,00;0,00;0,00;0,00;0,00;0,00
;;;;"REGULARIZACAO DE SALDOS DE RECURSOS DE CONVENIOS DA SECRETARIA DE SAUDE";1.000,00;0,00;0,00;0,00;0,00;0,00
;"Controle Interno";;;;1.353.200,00;737.420,00;331.883,95;331.011,34;300.966,43;90,68
;;"GESTAO DAS ACOES DA CONTROLADORIA GERAL E OUVIDORIA";;;1.336.200,00;737.420,00;331.883,95;331.011,34;300.966,43;90,68
;;;"GESTAO DAS ACOES DA CONTROLADORIA GERAL E OUVIDORIA   PMAT";;400.000,00;400.000,00;0,00;0,00;0,00;0,00
;;;;"GESTAO DAS ACOES DA CONTROLADORIA GERAL E OUVIDORIA   PMAT";400.000,00;400.000,00;0,00;0,00;0,00;0,00
;;;"GESTAO DAS ACOES DE CONTROLADORIA";;936.200,00;337.420,00;331.883,95;331.011,34;300.966,43;90,68
;;;;"GESTAO DAS ACOES DE CONTROLADORIA";936.200,00;337.420,00;331.883,95;331.011,34;300.966,43;90,68
;;"GESTAO DO SISTEMA DE CONTROLE INTERNO DO MUNICIPIO";;;17.000,00;0,00;0,00;0,00;0,00;0,00
;;;"MODERNIZACAO DO SISTEMA FINANCEIRO E CONTABIL DO MUNICIPIO";;17.000,00;0,00;0,00;0,00;0,00;0,00
;;;;"MODERNIZACAO DO SISTEMA FINANCEIRO E CONTABIL DO MUNICIPIO";17.000,00;0,00;0,00;0,00;0,00;0,00
;"Formacao de Recursos Humanos";;;;7.600,00;2.280,00;2.275,00;0,00;0,00;0,00
;;"GESTAO DOS PROCESSOS ADMINISTRATIVOS DO MUNICIPIO";;;7.600,00;2.280,00;2.275,00;0,00;0,00;0,00
;;;"CAPACITACAO DE RECURSOS HUMANOS PARA OS ORGAOS MUNICIPAIS";;7.600,00;2.280,00;2.275,00;0,00;0,00;0,00
;;;;"CAPACITACAO DE RECURSOS HUMANOS PARA OS ORGAOS MUNICIPAIS";7.600,00;2.280,00;2.275,00;0,00;0,00;0,00
;"Normatizacao e Fiscalizacao";;;;8.070.100,00;8.119.930,00;6.374.813,70;6.258.908,35;5.768.066,45;90,48
;;"GESTAO DO SISTEMA TRIBUTARIO DO MUNICIPIO";;;7.940.400,00;7.809.340,00;6.082.230,51;5.971.550,16;5.538.873,60;91,07
;;;"ADMINISTRACAO TRIBUTARIA DO MUNICIPIO";;7.786.400,00;7.655.340,00;6.082.230,51;5.971.550,16;5.538.873,60;91,07
;;;;"ADMINISTRACAO TRIBUTARIA DO MUNICIPIO";7.786.400,00;7.655.340,00;6.082.230,51;5.971.550,16;5.538.873,60;91,07
;;;"MODERNIZACAO DO SISTEMA TRIBUTARIO DO MUNICIPIO   PMAT";;154.000,00;154.000,00;0,00;0,00;0,00;0,00
;;;;"MODERNIZACAO DO SISTEMA TRIBUTARIO DO MUNICIPIO   PMAT";154.000,00;154.000,00;0,00;0,00;0,00;0,00
;;"OTIMIZACAO DAS FEIRAS E MERCADOS PUBLICOS";;;129.700,00;310.590,00;292.583,19;287.358,19;229.192,85;78,33
;;;"MANUTENCAO E ORDENAMENTO DE FEIRAS E MERCADOS PUBLICOS";;129.700,00;310.590,00;292.583,19;287.358,19;229.192,85;78,33
;;;;"MANUTENCAO E ORDENAMENTO DE FEIRAS E MERCADOS PUBLICOS";129.700,00;310.590,00;292.583,19;287.358,19;229.192,85;78,33
;"Planejamento e Orcamento";;;;1.484.600,00;1.742.500,00;973.662,07;973.662,07;884.731,43;90,87
;;"FORTALECIMENTO DAS ACOES DE PLANEJAMENTO ESTRATEGICO";;;1.484.600,00;1.742.500,00;973.662,07;973.662,07;884.731,43;90,87
;;;"DIRECAO  SUPERVISAO E COORDENACAO DAS ACOES DA SECRETARIA DA CONTROLADORIA  PLANEJAMENTO E GESTAO";;568.500,00;822.070,00;822.037,90;822.037,90;747.558,76;90,94
;;;;"DIRECAO  SUPERVISAO E COORDENACAO DAS ACOES DA SECRETARIA DA CONTROLADORIA  PLANEJAMENTO E GESTAO";568.500,00;822.070,00;822.037,90;822.037,90;747.558,76;90,94
;;;"ELABORACAO E GESTAO DOS INSTRUMENTOS DE PLANEJAMENTO DO MUNICIPIO";;99.300,00;74.020,00;74.014,17;74.014,17;69.512,67;93,92
;;;;"ELABORACAO E GESTAO DOS INSTRUMENTOS DE PLANEJAMENTO DO MUNICIPIO";99.300,00;74.020,00;74.014,17;74.014,17;69.512,67;93,92
;;;"OTIMIZACAO DO PLANEJAMENTO ESTRATEGICO   PMAT";;816.800,00;846.410,00;77.610,00;77.610,00;67.660,00;87,18
;;;;"OTIMIZACAO DO PLANEJAMENTO ESTRATEGICO   PMAT";816.800,00;846.410,00;77.610,00;77.610,00;67.660,00;87,18
;"Tecnologia da Informatizacao";;;;762.400,00;1.001.160,00;1.001.012,73;991.562,73;870.783,85;86,99
;;"GESTAO DOS PROCESSOS ADMINISTRATIVOS DO MUNICIPIO";;;762.400,00;1.001.160,00;1.001.012,73;991.562,73;870.783,85;86,99
;;;"GESTAO DA POLITICA DE INFORMATICA MUNICIPAL";;762.400,00;1.001.160,00;1.001.012,73;991.562,73;870.783,85;86,99
;;;;"GESTAO DA POLITICA DE INFORMATICA MUNICIPAL";762.400,00;1.001.160,00;1.001.012,73;991.562,73;870.783,85;86,99
;"Turismo";;;;3.000,00;0,00;0,00;0,00;0,00;0,00
;;"PROMOCAO DO TURISMO DO MUNICIPIO";;;3.000,00;0,00;0,00;0,00;0,00;0,00
;;;"ACOES DE FOMENTO AO TURISMO";;3.000,00;0,00;0,00;0,00;0,00;0,00
;;;;"ACOES DE FOMENTO AO TURISMO";3.000,00;0,00;0,00;0,00;0,00;0,00
"Agricultura";;;;;23.000,00;6.920,00;6.912,00;6.912,00;6.336,00;91,67
;"Abastecimento";;;;12.000,00;0,00;0,00;0,00;0,00;0,00
;;"DESENVOLVIMENTO DA PESCA NO MUNICIPIO";;;12.000,00;0,00;0,00;0,00;0,00;0,00
;;;"APOIO AS ATIVIDADES PESQUEIRAS";;12.000,00;0,00;0,00;0,00;0,00;0,00
;;;;"APOIO AS ATIVIDADES PESQUEIRAS";12.000,00;0,00;0,00;0,00;0,00;0,00
;"Extensao Rural";;;;11.000,00;6.920,00;6.912,00;6.912,00;6.336,00;91,67
;;"ESTIMULO AO DESENVOLVIMENTO ECONOMICO DO MUNICIPIO";;;11.000,00;6.920,00;6.912,00;6.912,00;6.336,00;91,67
;;;"INCENTIVO E APOIO AO PEQUENO PRODUTOR RURAL";;11.000,00;6.920,00;6.912,00;6.912,00;6.336,00;91,67
;;;;"INCENTIVO E APOIO AO PEQUENO PRODUTOR RURAL";11.000,00;6.920,00;6.912,00;6.912,00;6.336,00;91,67
"Assistencia Social";;;;;13.273.400,00;12.006.390,00;9.264.380,97;8.152.467,70;7.443.573,32;80,35
;"Administracao Geral";;;;302.800,00;202.530,00;202.460,99;202.460,99;188.460,99;93,09
;;"APOIO E ASSISTENCIA AS ACOES DA SECRETARIA ESPECIAL DE POLITICAS PARA A MULHER";;;302.800,00;202.530,00;202.460,99;202.460,99;188.460,99;93,09
;;;"DIRECAO  SUPERVISAO E COORDENACAO DAS ACOES DA SECRETARIA EXECUTIVA DE POLITICAS PARA AS MULHERES";;302.800,00;202.530,00;202.460,99;202.460,99;188.460,99;93,09
;;;;"DIRECAO  SUPERVISAO E COORDENACAO DAS ACOES DA SECRETARIA EXECUTIVA DE POLITICAS PARA AS MULHERES";302.800,00;202.530,00;202.460,99;202.460,99;188.460,99;93,09
;"Assistencia a Crianca a ao Adolescente";;;;4.583.300,00;4.536.650,00;3.631.917,56;2.713.967,61;2.490.835,21;68,58
;;"ACOES JOVENS";;;30.000,00;0,00;0,00;0,00;0,00;0,00
;;;"PROMOCAO DE EVENTOS E ACOES PARA O PUBLICO JOVEM";;30.000,00;0,00;0,00;0,00;0,00;0,00
;;;;"PROMOCAO DE EVENTOS E ACOES PARA O PUBLICO JOVEM";30.000,00;0,00;0,00;0,00;0,00;0,00
;;"ASSISTENCIA A CRIANCA E AO ADOLESCENTE";;;1.436.000,00;2.106.100,00;1.943.256,16;1.098.195,24;1.098.195,24;56,51
;;;"ATIVIDADES DO FUNDO DA CRIANCA E DO ADOLESCENTE";;902.500,00;1.582.600,00;1.498.307,19;895.247,16;895.247,16;59,75
;;;;"ATIVIDADES DO FUNDO DA CRIANCA E DO ADOLESCENTE";902.500,00;1.582.600,00;1.498.307,19;895.247,16;895.247,16;59,75
;;;"ATVIDADES DO CONSELHO MUNICIPAL DA CRIANCA E DO ADOLESCENTE";;532.500,00;522.500,00;444.948,97;202.948,08;202.948,08;45,61
;;;;"ATVIDADES DO CONSELHO MUNICIPAL DA CRIANCA E DO ADOLESCENTE";532.500,00;522.500,00;444.948,97;202.948,08;202.948,08;45,61
;;;"REGULARIZACAO DE SALDOS DE CONVENIOS DO CONSELHO MUNICIPAL DA CRIANCA E DO ADOLESCENTE";;1.000,00;1.000,00;0,00;0,00;0,00;0,00
;;;;"REGULARIZACAO DE SALDOS DE CONVENIOS DO CONSELHO MUNICIPAL DA CRIANCA E DO ADOLESCENTE";1.000,00;1.000,00;0,00;0,00;0,00;0,00
;;"PROTECAO A CRIANCA E AO ADOLESCENTE";;;3.117.300,00;2.430.550,00;1.688.661,40;1.615.772,37;1.392.639,97;82,47
;;;"ACOES DE APOIO A CRIANCA E AO ADOLESCENTE";;2.045.300,00;1.454.370,00;991.506,00;991.503,00;896.912,42;90,46
;;;;"ACOES DE APOIO A CRIANCA E AO ADOLESCENTE";2.045.300,00;1.454.370,00;991.506,00;991.503,00;896.912,42;90,46
;;;"APOIO E MANUTENCAO AO ACOLHIMENTO PARA CRIANCA E JOVENS DE 0 A 18 ANOS";;1.072.000,00;976.180,00;697.155,40;624.269,37;495.727,55;71,11
;;;;"APOIO E MANUTENCAO AO ACOLHIMENTO PARA CRIANCA E JOVENS DE 0 A 18 ANOS";1.072.000,00;976.180,00;697.155,40;624.269,37;495.727,55;71,11
;"Assistencia ao Idoso";;;;653.000,00;231.000,00;224.580,00;206.580,00;187.800,00;83,62
;;"APOIO E ASSISTENCIA A PESSOA IDOSA";;;653.000,00;231.000,00;224.580,00;206.580,00;187.800,00;83,62
;;;"PROMOCAO E PROTECAO DA INTEGRACAO SOCIAL DA PESSOA IDOSA";;653.000,00;231.000,00;224.580,00;206.580,00;187.800,00;83,62
;;;;"PROMOCAO E PROTECAO DA INTEGRACAO SOCIAL DA PESSOA IDOSA";653.000,00;231.000,00;224.580,00;206.580,00;187.800,00;83,62
;"Assistencia ao Portador de Deficiencia";;;;521.000,00;191.320,00;190.475,89;190.475,89;170.011,54;89,26
;;"APOIO E INTEGRACAO SOCIAL DAS PESSOAS COM DEFICIENCIA";;;521.000,00;191.320,00;190.475,89;190.475,89;170.011,54;89,26
;;;"ACOES EDUCATIVAS E INTEGRACAO SOCIAL PARA PESSOAS COM DEFICIENCIA";;521.000,00;191.320,00;190.475,89;190.475,89;170.011,54;89,26
;;;;"ACOES EDUCATIVAS E INTEGRACAO SOCIAL PARA PESSOAS COM DEFICIENCIA";521.000,00;191.320,00;190.475,89;190.475,89;170.011,54;89,26
;"Assistencia Comunitaria";;;;7.210.300,00;6.844.890,00;5.014.946,53;4.838.983,21;4.406.465,58;87,87
;;"CIDADE SEGURA PARA AS MULHERES";;;102.100,00;62.160,00;58.913,01;46.279,62;40.459,22;68,68
;;;"PREVENCAO E ENFRENTAMENTO A VIOLENCIA CONTRA AS MULHERES";;102.100,00;62.160,00;58.913,01;46.279,62;40.459,22;68,68
;;;;"PREVENCAO E ENFRENTAMENTO A VIOLENCIA CONTRA AS MULHERES";102.100,00;62.160,00;58.913,01;46.279,62;40.459,22;68,68
;;"GESTAO DA POLITICA DE ACAO DE ASSISTENCIA SOCIAL DO MUNICIPIO";;;709.900,00;623.480,00;622.502,85;622.220,47;556.612,30;89,42
;;;"APOIO E MANUTENCAO DAS ACOES DOS CONSELHOS";;709.900,00;623.480,00;622.502,85;622.220,47;556.612,30;89,42
;;;;"APOIO E MANUTENCAO DAS ACOES DOS CONSELHOS";709.900,00;623.480,00;622.502,85;622.220,47;556.612,30;89,42
;;"SE LIGA MULHER";;;99.000,00;424.640,00;264.254,00;264.254,00;244.879,08;92,67
;;;"PROMOCAO E VALORIZACAO DA MULHER";;99.000,00;424.640,00;264.254,00;264.254,00;244.879,08;92,67
;;;;"PROMOCAO E VALORIZACAO DA MULHER";99.000,00;424.640,00;264.254,00;264.254,00;244.879,08;92,67
;;"SERVICO DE ASSISTENCIA SOCIAL GERAL";;;6.299.300,00;5.734.610,00;4.069.276,67;3.906.229,12;3.564.514,98;87,60
