Função;Subfunção;Programa;Projeto/Atividade/Operações Especiais;Ação;Dotação Inicial;Dotação Atualizada;Empenhado (E);Liquidado;Pago (P);P/E
;;;;"REGULARIZACAO DE SALDOS DE RECURSOS DE CONVENIOS DA SECRETARIA DE SAUDE";5.000,00;0,00;0,00;0,00;0,00;0,00
;"Comunicacao Social";;;;816.000,00;447.121,70;408.261,33;408.261,33;408.261,33;100,00
;;"GESTAO SUPERIOR DA ADMINISTRACAO MUNICIPAL";;;816.000,00;447.121,70;408.261,33;408.261,33;408.261,33;100,00
;;;"COMUNICACAO SOCIAL E DIVULGACAO OFICIAL DOS ATOS GOVERNAMENTAIS";;816.000,00;447.121,70;408.261,33;408.261,33;408.261,33;100,00
;;;;"COMUNICACAO SOCIAL E DIVULGACAO OFICIAL DOS ATOS GOVERNAMENTAIS";816.000,00;447.121,70;408.261,33;408.261,33;408.261,33;100,00
;"Controle Interno";;;;4.258.200,00;407.528,00;400.917,10;392.041,60;392.041,60;97,79
;;"GESTAO DAS ACOES DA CONTROLADORIA GERAL E OUVIDORIA";;;4.250.200,00;407.528,00;400.917,10;392.041,60;392.041,60;97,79
;;;"GESTAO DAS ACOES DE CONTROLADORIA";;530.200,00;407.528,00;400.917,10;392.041,60;392.041,60;97,79
;;;;"GESTAO DAS ACOES DE CONTROLADORIA";530.200,00;407.528,00;400.917,10;392.041,60;392.041,60;97,79
;;;"MODERNIZACAO ACOES DA CONTROLADORIA GERAL E OUVIDORIA  OPERACAO DE CREDITO  PMAT";;3.720.000,00;0,00;0,00;0,00;0,00;0,00
;;;;"MODERNIZACAO ACOES DA CONTROLADORIA GERAL E OUVIDORIA  OPERACAO DE CREDITO  PMAT";3.720.000,00;0,00;0,00;0,00;0,00;0,00
;;"GESTAO DO SISTEMA DE CONTROLE INTERNO DO MUNICIPIO";;;8.000,00;0,00;0,00;0,00;0,00;0,00
;;;"MODERNIZACAO DO SISTEMA FINANCEIRO E CONTABIL DO MUNICIPIO";;8.000,00;0,00;0,00;0,00;0,00;0,00
;;;;"MODERNIZACAO DO SISTEMA FINANCEIRO E CONTABIL DO MUNICIPIO";8.000,00;0,00;0,00;0,00;0,00;0,00
;"Formacao de Recursos Humanos";;;;21.000,00;0,00;0,00;0,00;0,00;0,00
;;"GESTAO DOS PROCESSOS ADMINISTRATIVOS DO MUNICIPIO";;;21.000,00;0,00;0,00;0,00;0,00;0,00
;;;"CAPACITACAO DE RECURSOS HUMANOS PARA OS ORGAOS MUNICIPAIS";;21.000,00;0,00;0,00;0,00;0,00;0,00
;;;;"CAPACITACAO DE RECURSOS HUMANOS PARA OS ORGAOS MUNICIPAIS";21.000,00;0,00;0,00;0,00;0,00;0,00
;"Normatizacao e Fiscalizacao";;;;10.852.500,00;11.394.430,00;11.392.701,01;11.317.427,21;11.317.427,21;99,34
;;"GESTAO DO SISTEMA TRIBUTARIO DO MUNICIPIO";;;10.475.500,00;11.087.430,00;11.085.701,01;11.041.223,10;11.041.223,10;99,60
;;;"ADMINISTRACAO TRIBUTARIA DO MUNICIPIO";;10.475.500,00;11.087.430,00;11.085.701,01;11.041.223,10;11.041.223,10;99,60
;;;;"ADMINISTRACAO TRIBUTARIA DO MUNICIPIO";10.475.500,00;11.087.430,00;11.085.701,01;11.041.223,10;11.041.223,10;99,60
;;"OTIMIZACAO DAS FEIRAS E MERCADOS PUBLICOS";;;377.000,00;307.000,00;307.000,00;276.204,11;276.204,11;89,97
;;;"MANUTENCAO E ORDENAMENTO DE FEIRAS E MERCADOS PUBLICOS";;377.000,00;307.000,00;307.000,00;276.204,11;276.204,11;89,97
;;;;"MANUTENCAO E ORDENAMENTO DE FEIRAS E MERCADOS PUBLICOS";377.000,00;307.000,00;307.000,00;276.204,11;276.204,11;89,97
;"Planejamento e Orcamento";;;;5.531.400,00;757.600,00;757.556,85;745.880,97;745.880,97;98,46
;;"FORTALECIMENTO DAS ACOES DE PLANEJAMENTO ESTRATEGICO";;;5.531.400,00;757.600,00;757.556,85;745.880,97;745.880,97;98,46
;;;"DIRECAO  SUPERVISAO E COORDENACAO DAS ACOES DA SECRETARIA DA CONTROLADORIA  PLANEJAMENTO E GESTAO";;765.900,00;736.380,00;736.340,87;724.664,99;724.664,99;98,41
;;;;"DIRECAO  SUPERVISAO E COORDENACAO DAS ACOES DA SECRETARIA DA CONTROLADORIA  PLANEJAMENTO E GESTAO";765.900,00;736.380,00;736.340,87;724.664,99;724.664,99;98,41
;;;"ELABORACAO E GESTAO DOS INSTRUMENTOS DE PLANEJAMENTO DO MUNICIPIO";;113.200,00;21.220,00;21.215,98;21.215,98;21.215,98;100,00
;;;;"ELABORACAO E GESTAO DOS INSTRUMENTOS DE PLANEJAMENTO DO MUNICIPIO";113.200,00;21.220,00;21.215,98;21.215,98;21.215,98;100,00
;;;"OTIMIZACAO DO PLANEJAMENTO ESTRATEGICO   OPERACAO DE CREDITO PMAT";;4.652.300,00;0,00;0,00;0,00;0,00;0,00
;;;;"OTIMIZACAO DO PLANEJAMENTO ESTRATEGICO   OPERACAO DE CREDITO PMAT";4.652.300,00;0,00;0,00;0,00;0,00;0,00
;"Tecnologia da Informatizacao";;;;833.000,00;750.530,00;750.145,95;720.145,95;720.145,95;96,00
;;"GESTAO DOS PROCESSOS ADMINISTRATIVOS DO MUNICIPIO";;;833.000,00;750.530,00;750.145,95;720.145,95;720.145,95;96,00
;;;"GESTAO DA POLITICA DE INFORMATICA MUNICIPAL";;833.000,00;750.530,00;750.145,95;720.145,95;720.145,95;96,00
;;;;"GESTAO DA POLITICA DE INFORMATICA MUNICIPAL";833.000,00;750.530,00;750.145,95;720.145,95;720.145,95;96,00
;"Turismo";;;;180.000,00;0,00;0,00;0,00;0,00;0,00
;;"PROMOCAO DO TURISMO DO MUNICIPIO";;;180.000,00;0,00;0,00;0,00;0,00;0,00
;;;"ACOES DE FOMENTO AO TURISMO";;180.000,00;0,00;0,00;0,00;0,00;0,00
;;;;"ACOES DE FOMENTO AO TURISMO";180.000,00;0,00;0,00;0,00;0,00;0,00
"Agricultura";;;;;100.000,00;0,00;0,00;0,00;0,00;0,00
;"Abastecimento";;;;40.000,00;0,00;0,00;0,00;0,00;0,00
;;"DESENVOLVIMENTO DA PESCA NO MUNICIPIO";;;40.000,00;0,00;0,00;0,00;0,00;0,00
;;;"APOIO AS ATIVIDADES PESQUEIRAS";;40.000,00;0,00;0,00;0,00;0,00;0,00
;;;;"APOIO AS ATIVIDADES PESQUEIRAS";40.000,00;0,00;0,00;0,00;0,00;0,00
;"Extensao Rural";;;;60.000,00;0,00;0,00;0,00;0,00;0,00
;;"ESTIMULO AO DESENVOLVIMENTO ECONOMICO DO MUNICIPIO";;;60.000,00;0,00;0,00;0,00;0,00;0,00
;;;"INCENTIVO E APOIO AO PEQUENO PRODUTOR RURAL";;60.000,00;0,00;0,00;0,00;0,00;0,00
;;;;"INCENTIVO E APOIO AO PEQUENO PRODUTOR RURAL";60.000,00;0,00;0,00;0,00;0,00;0,00
"Assistencia Social";;;;;11.357.800,00;15.708.340,00;14.312.410,52;12.779.925,44;12.285.451,30;85,84
;"Administracao Geral";;;;694.900,00;703.770,00;703.756,50;703.756,50;703.756,50;100,00
;;"APOIO E ASSISTENCIA AS ACOES DA SECRETARIA ESPECIAL DE POLITICAS PARA A MULHER";;;298.300,00;109.890,00;109.887,09;109.887,09;109.887,09;100,00
;;;"DIRECAO  SUPERVISAO E COORDENACAO DAS ACOES DA SECRETARIA EXECUTIVA DE POLITICAS PARA AS MULHERES";;298.300,00;109.890,00;109.887,09;109.887,09;109.887,09;100,00
;;;;"DIRECAO  SUPERVISAO E COORDENACAO DAS ACOES DA SECRETARIA EXECUTIVA DE POLITICAS PARA AS MULHERES";298.300,00;109.890,00;109.887,09;109.887,09;109.887,09;100,00
;;"GESTAO DA POLITICA DE ACAO DE ASSISTENCIA SOCIAL DO MUNICIPIO";;;396.600,00;593.880,00;593.869,41;593.869,41;593.869,41;100,00
;;;"DIRECAO  SUPERVISAO E COORDENACAO DAS ACOES DO FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL";;396.600,00;593.880,00;593.869,41;593.869,41;593.869,41;100,00
;;;;"DIRECAO  SUPERVISAO E COORDENACAO DAS ACOES DO FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL";396.600,00;593.880,00;593.869,41;593.869,41;593.869,41;100,00
;"Assistencia a Crianca a ao Adolescente";;;;3.239.200,00;3.161.309,21;2.894.453,42;2.277.669,63;2.260.320,89;78,09
;;"ASSISTENCIA A CRIANCA E AO ADOLESCENTE";;;1.525.100,00;1.540.530,00;1.318.033,77;1.304.442,61;1.287.093,87;97,65
;;;"ATIVIDADES DO FUNDO DA CRIANCA E DO ADOLESCENTE";;989.300,00;989.300,00;959.111,95;959.111,95;959.111,95;100,00
;;;;"ATIVIDADES DO FUNDO DA CRIANCA E DO ADOLESCENTE";989.300,00;989.300,00;959.111,95;959.111,95;959.111,95;100,00
;;;"ATVIDADES DO CONSELHO MUNICIPAL DA CRIANCA E DO ADOLESCENTE";;534.800,00;550.230,00;358.921,82;345.330,66;327.981,92;91,38
;;;;"ATVIDADES DO CONSELHO MUNICIPAL DA CRIANCA E DO ADOLESCENTE";534.800,00;550.230,00;358.921,82;345.330,66;327.981,92;91,38
;;;"REGULARIZACAO DE SALDOS DE CONVENIOS DO CONSELHO MUNICIPAL DA CRIANCA E DO ADOLESCENTE";;1.000,00;1.000,00;0,00;0,00;0,00;0,00
;;;;"REGULARIZACAO DE SALDOS DE CONVENIOS DO CONSELHO MUNICIPAL DA CRIANCA E DO ADOLESCENTE";1.000,00;1.000,00;0,00;0,00;0,00;0,00
;;"PROTECAO A CRIANCA E AO ADOLESCENTE";;;1.714.100,00;1.620.779,21;1.576.419,65;973.227,02;973.227,02;61,74
;;;"ACOES DE APOIO A CRIANCA E AO ADOLESCENTE";;698.000,00;779.496,00;779.496,00;341.430,00;341.430,00;43,80
;;;;"ACOES DE APOIO A CRIANCA E AO ADOLESCENTE";698.000,00;779.496,00;779.496,00;341.430,00;341.430,00;43,80
;;;"APOIO E MANUTENCAO AO ACOLHIMENTO PARA CRIANCA E JOVENS DE 0 A 18 ANOS";;1.016.100,00;841.283,21;796.923,65;631.797,02;631.797,02;79,28
;;;;"APOIO E MANUTENCAO AO ACOLHIMENTO PARA CRIANCA E JOVENS DE 0 A 18 ANOS";1.016.100,00;841.283,21;796.923,65;631.797,02;631.797,02;79,28
;"Assistencia ao Idoso";;;;156.000,00;70.000,00;70.000,00;70.000,00;70.000,00;100,00
;;"APOIO E ASSISTENCIA A PESSOA IDOSA";;;156.000,00;70.000,00;70.000,00;70.000,00;70.000,00;100,00
;;;"PROMOCAO E PROTECAO DA INTEGRACAO SOCIAL DA PESSOA IDOSA";;156.000,00;70.000,00;70.000,00;70.000,00;70.000,00;100,00
;;;;"PROMOCAO E PROTECAO DA INTEGRACAO SOCIAL DA PESSOA IDOSA";156.000,00;70.000,00;70.000,00;70.000,00;70.000,00;100,00
;"Assistencia ao Portador de Deficiencia";;;;143.000,00;95.238,00;95.238,00;87.301,50;78.643,50;82,58
;;"APOIO E INTEGRACAO SOCIAL DAS PESSOAS COM DEFICIENCIA";;;143.000,00;95.238,00;95.238,00;87.301,50;78.643,50;82,58
;;;"ACOES EDUCATIVAS E INTEGRACAO SOCIAL PARA PESSOAS COM DEFICIENCIA";;143.000,00;95.238,00;95.238,00;87.301,50;78.643,50;82,58
;;;;"ACOES EDUCATIVAS E INTEGRACAO SOCIAL PARA PESSOAS COM DEFICIENCIA";143.000,00;95.238,00;95.238,00;87.301,50;78.643,50;82,58
;"Assistencia Comunitaria";;;;7.113.700,00;11.678.022,79;10.548.962,60;9.641.197,81;9.172.730,41;86,95
;;"CIDADE SEGURA PARA AS MULHERES";;;147.200,00;18.410,00;18.299,93;18.299,93;18.299,93;100,00
;;;"PREVENCAO E ENFRENTAMENTO A VIOLENCIA CONTRA AS MULHERES";;147.200,00;18.410,00;18.299,93;18.299,93;18.299,93;100,00
;;;;"PREVENCAO E ENFRENTAMENTO A VIOLENCIA CONTRA AS MULHERES";147.200,00;18.410,00;18.299,93;18.299,93;18.299,93;100,00
;;"GESTAO DA POLITICA DE ACAO DE ASSISTENCIA SOCIAL DO MUNICIPIO";;;964.700,00;1.082.429,00;1.062.294,46;1.038.478,35;1.038.195,45;97,73
;;;"APOIO E MANUTENCAO DAS ACOES DOS CONSELHOS";;964.700,00;1.082.429,00;1.062.294,46;1.038.478,35;1.038.195,45;97,73
;;;;"APOIO E MANUTENCAO DAS ACOES DOS CONSELHOS";964.700,00;1.082.429,00;1.062.294,46;1.038.478,35;1.038.195,45;97,73
;;"SE LIGA MULHER";;;86.200,00;12.772,00;9.749,93;9.749,93;9.749,93;100,00
;;;"PROMOCAO E VALORIZACAO DA MULHER";;86.200,00;12.772,00;9.749,93;9.749,93;9.749,93;100,00
;;;;"PROMOCAO E VALORIZACAO DA MULHER";86.200,00;12.772,00;9.749,93;9.749,93;9.749,93;100,00
;;"SERVICO DE ASSISTENCIA SOCIAL GERAL";;;5.915.600,00;10.564.411,79;9.458.618,28;8.574.669,60;8.106.485,10;85,70
;;;"ACOES DE ASSISTENCIA SOCIAL";;4.716.000,00;9.450.791,79;8.412.626,70;7.528.678,02;7.060.493,52;83,93
;;;;"ACOES DE ASSISTENCIA SOCIAL";4.716.000,00;9.450.791,79;8.412.626,70;7.528.678,02;7.060.493,52;83,93
;;;"ACOES DE ASSISTENCIA SOCIAL BASICA";;1.085.800,00;995.230,00;995.218,25;995.218,25;995.218,25;100,00
;;;;"ACOES DE ASSISTENCIA SOCIAL BASICA";1.085.800,00;995.230,00;995.218,25;995.218,25;995.218,25;100,00
;;;"ACOES DE ASSISTENCIA SOCIAL ESPECIAL";;113.800,00;118.390,00;50.773,33;50.773,33;50.773,33;100,00
;;;;"ACOES DE ASSISTENCIA SOCIAL ESPECIAL";113.800,00;118.390,00;50.773,33;50.773,33;50.773,33;100,00
;"Planejamento e Orcamento";;;;11.000,00;0,00;0,00;0,00;0,00;0,00
;;"GESTAO DA POLITICA DE ACAO DE ASSISTENCIA SOCIAL DO MUNICIPIO";;;11.000,00;0,00;0,00;0,00;0,00;0,00
;;;"PLANEJAMENTO  ORCAMENTACAO E MONITORAMENTO DAS ACOES DA SECRETARIA DE POLITICAS SOCIAIS E ESPORTES";;11.000,00;0,00;0,00;0,00;0,00;0,00
;;;;"PLANEJAMENTO  ORCAMENTACAO E MONITORAMENTO DAS ACOES DA SECRETARIA DE POLITICAS SOCIAIS E ESPORTES";11.000,00;0,00;0,00;0,00;0,00;0,00
"Ciencia e Tecnologia";;;;;30.000,00;0,00;0,00;0,00;0,00;0,00
;"Difusao do Conhecimento Cient. e Tec.";;;;30.000,00;0,00;0,00;0,00;0,00;0,00
;;"PROGRAMA DE INCLUSAO DIGITAL";;;30.000,00;0,00;0,00;0,00;0,00;0,00
;;;"IMPLANTACAO DO CENTRO DE TECNOLOGIA DA INFORMACAO";;30.000,00;0,00;0,00;0,00;0,00;0,00
;;;;"IMPLANTACAO DO CENTRO DE TECNOLOGIA DA INFORMACAO";30.000,00;0,00;0,00;0,00;0,00;0,00
"Comercio e Servicos";;;;;2.030.000,00;3.638.460,00;3.204.389,00;3.204.389,00;3.204.389,00;100,00
;"Planejamento e Orcamento";;;;46.000,00;0,00;0,00;0,00;0,00;0,00
